,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.007000001147389412,-0.0030000004917383177,0.0,0.03499999642372129,-0.007999997586011894,-0.0067999958992004395,2.0,6.0,01-17,0.002420000359416005
01-03,0.0,0.0,0.0,0.0,0.0,-0.0030000004917383177,0.0,0.03499999642372129,-0.007999997586011894,-0.0067999958992004395,1.0,7.0,01-18,0.001720000244677064
01-04,0.0,0.0,0.0,0.0,0.0,-0.0030000004917383177,0.0,0.03499999642372129,-0.007999997586011894,0.015000000596046448,2.0,6.0,01-19,0.003899999894201753
01-05,0.0,0.0,0.0,0.0,-0.004000000655651094,-0.0030000004917383177,0.0,0.03499999642372129,0.0,0.015000000596046448,2.0,6.0,01-20,0.004299999587237833
01-06,0.0,0.0,0.0,0.0,-0.004000000655651094,-0.0030000004917383177,0.0,0.005499996244907365,0.0,0.015000000596046448,2.0,6.0,01-21,0.0013499995693564402
01-07,0.0,0.0,0.0,0.0,-0.004000000655651094,-0.0030000004917383177,0.0,0.005499996244907365,0.0,-0.0010000020265579224,1.0,7.0,01-22,-0.0002500006929039969
01-08,0.0,0.0,0.0,0.0,-0.004000000655651094,-0.0030000004917383177,0.0,0.005499996244907365,0.0,0.0,1.0,7.0,01-23,-0.00015000049024820468
01-09,0.0,0.0,0.0,0.0,-0.004000000655651094,-0.0030000004917383177,0.0,0.005499996244907365,0.0,0.0,1.0,7.0,01-24,-0.00015000049024820468
01-10,0.0,0.0,0.0,0.0,-0.004000000655651094,-0.0030000004917383177,0.0,0.005499996244907365,0.0,0.0,1.0,7.0,01-25,-0.00015000049024820468
01-11,0.0,0.0,0.0,0.0,-0.004000000655651094,-0.0030000004917383177,0.0,0.005499996244907365,0.0,0.0,1.0,7.0,01-26,-0.00015000049024820468
01-12,0.0,0.0,0.0,0.0,-0.004000000655651094,-0.0030000004917383177,0.0,0.0,0.0,0.0,0.0,8.0,01-27,-0.0007000001147389412
01-13,0.0,0.0,0.0,0.0,-0.004000000655651094,0.0,0.0,0.0,0.0,0.0,0.0,8.0,01-28,-0.0004000000655651094
01-14,0.0,0.0,0.0,0.0,-0.004000000655651094,0.0,0.0,0.0,0.0,0.0,0.0,8.0,01-29,-0.0004000000655651094
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004000000655651079,0.0,8.0,01-30,-0.0004000000655651079
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004000000655651079,0.0,8.0,01-31,-0.0004000000655651079
01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004000000655651079,0.0,8.0,02-01,-0.0004000000655651079
01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004000000655651079,0.0,8.0,02-02,-0.0004000000655651079
01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004000000655651079,0.0,8.0,02-03,-0.0004000000655651079
01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004000000655651079,0.0,8.0,02-04,-0.0004000000655651079
01-21,0.0,0.0,0.0,0.0,0.0,0.007999999448657036,0.0,0.0,0.0,-0.004000000655651079,1.0,7.0,02-05,0.0003999998793005957
01-22,0.0,0.0,0.0,0.0,0.0010000001639127766,0.007999999448657036,0.0,0.0,0.0,-0.004000000655651079,2.0,6.0,02-06,0.0004999998956918734
