,2010,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.04200000315904619,0.0,0.09749999642372131,2.0,5.0,01-17,0.015499999953640832
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.027600005269050598,0.0,0.09749999642372131,2.0,5.0,01-18,0.013900000188085768
01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.04569999873638153,0.0,0.09749999642372131,2.0,5.0,01-19,0.01591111057334476
01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04569999873638153,0.0,0.09749999642372131,2.0,5.0,01-20,0.01591111057334476
01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.04569999873638153,0.0,0.12724998593330383,2.0,5.0,01-21,0.019216664963298373
01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.03900000452995299,0.0,0.11800000071525574,2.0,5.0,01-22,0.017444445027245417
01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.03900000452995299,0.0,0.1867499947547912,2.0,5.0,01-23,0.025083333253860467
01-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.005399994552135495,0.0,0.18749999999999994,1.0,6.0,01-24,0.020233333938651607
01-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.006699994206428542,0.0,0.12250000238418574,1.0,6.0,01-25,0.012866667575306355
01-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.003600001335144057,0.0,0.07799997925758356,1.0,6.0,01-26,0.00826666421360439
01-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.003600001335144057,0.0,0.07400000095367426,1.0,6.0,01-27,0.00782222217983669
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.010799996554851532,0.0,0.07400000095367426,2.0,5.0,01-28,0.009422221945391754
01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.010799996554851532,0.0,0.043500006198883,2.0,5.0,01-29,0.006033333639303837
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.005899995565414443,0.0,0.07100000977516169,2.0,5.0,01-30,0.008544445037841792
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.005899995565414443,0.0,-0.014249980449676514,1.0,6.0,01-31,-0.0009277760982513413
01-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.017299994826316833,0.0,-0.004999995231628418,0.0,7.0,02-01,-0.002477776673105028
01-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.010600000619888292,0.0,-0.07374998927116388,0.0,7.0,02-02,-0.009372221099005797
01-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.010600000619888292,0.0,-0.07374998927116388,0.0,7.0,02-03,-0.009372221099005797
01-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.010600000619888292,0.0,-0.07374998927116388,0.0,7.0,02-04,-0.009372221099005797
01-21,0.0,0.0,0.0,0.0,0.0,0.0,-0.01330000162124631,-0.0023000016808509827,-0.05974999070167536,0.0,7.0,02-05,-0.00837222155597474
01-22,0.0,0.0,0.0,0.0,0.0,0.0,-0.027100004255771623,-0.0023000016808509827,-0.10850000381469715,0.0,7.0,02-06,-0.015322223305702197
01-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.027100004255771623,0.0016999989748001099,-0.12900000810623163,1.0,6.0,02-07,-0.017155557043022573
01-24,0.0,0.0,0.0,0.0,0.0,0.022099999710917473,-0.026500001549720764,0.0016999989748001099,-0.12900000810623163,2.0,5.0,02-08,-0.014633334552248313
01-25,0.0,0.0,0.0,0.0,0.0,0.022099999710917473,-0.026500001549720764,0.0016999989748001099,-0.12900000810623163,2.0,5.0,02-09,-0.014633334552248313
01-26,0.0,0.0,0.0,0.0,0.0,0.022099999710917473,-0.021600000560283675,0.0016999989748001099,-0.14350000023841852,2.0,5.0,02-10,-0.015700000234776065
01-27,0.0,0.0,0.0,0.0,0.0,0.022099999710917473,-0.021600000560283675,0.0016999989748001099,-0.09350001811981196,2.0,5.0,02-11,-0.010144446666042006
01-28,0.0,0.0,0.0,0.0,0.0,0.022099999710917473,-0.021600000560283675,0.0016999989748001099,-0.09350001811981196,2.0,5.0,02-12,-0.010144446666042006
01-29,0.0,0.0,0.0,0.0,0.0,0.022099999710917473,-0.021600000560283675,0.026699997484684004,-0.038000017404556274,2.0,5.0,02-13,-0.0012000023076931636
01-30,0.0,0.0,0.0,0.0,0.0,0.022099999710917473,-0.01650000363588333,0.03170000016689299,-0.08700001239776611,2.0,6.0,02-14,-0.0055222240173154425
