,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,41.176475099832295,-30.000005587935558,0.0,37.23404002356918,-24.999991268851304,-8.71794328064149,2.0,6.0,1.4692574985973126
01-03,0.0,0.0,0.0,0.0,0.0,-30.000005587935558,0.0,37.23404002356918,-24.999991268851304,-8.71794328064149,1.0,7.0,-2.648390011385917
01-04,0.0,0.0,0.0,0.0,0.0,-30.000005587935558,0.0,37.23404002356918,-24.999991268851304,19.230769598154854,2.0,6.0,0.14648127649371717
01-05,0.0,0.0,0.0,0.0,-30.769235177858267,-30.000005587935558,0.0,37.23404002356918,0.0,19.230769598154854,2.0,6.0,-0.4304431144069792
01-06,0.0,0.0,0.0,0.0,-30.769235177858267,-30.000005587935558,0.0,5.851060035353785,0.0,19.230769598154854,2.0,6.0,-3.568741113228519
01-07,0.0,0.0,0.0,0.0,-30.769235177858267,-30.000005587935558,0.0,5.851060035353785,0.0,-1.282053853750646,1.0,7.0,-5.620023458419069
01-08,0.0,0.0,0.0,0.0,-30.769235177858267,-30.000005587935558,0.0,5.851060035353785,0.0,0.0,1.0,7.0,-5.491818073044004
01-09,0.0,0.0,0.0,0.0,-30.769235177858267,-30.000005587935558,0.0,5.851060035353785,0.0,0.0,1.0,7.0,-5.491818073044004
01-10,0.0,0.0,0.0,0.0,-30.769235177858267,-30.000005587935558,0.0,5.851060035353785,0.0,0.0,1.0,7.0,-5.491818073044004
01-11,0.0,0.0,0.0,0.0,-30.769235177858267,-30.000005587935558,0.0,5.851060035353785,0.0,0.0,1.0,7.0,-5.491818073044004
01-12,0.0,0.0,0.0,0.0,-30.769235177858267,-30.000005587935558,0.0,0.0,0.0,0.0,0.0,8.0,-6.076924076579383
01-13,0.0,0.0,0.0,0.0,-30.769235177858267,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-3.0769235177858265
01-14,0.0,0.0,0.0,0.0,-30.769235177858267,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-3.0769235177858265
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.405406221758253,0.0,8.0,-0.5405406221758253
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.405406221758253,0.0,8.0,-0.5405406221758253
01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.405406221758253,0.0,8.0,-0.5405406221758253
01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.405406221758253,0.0,8.0,-0.5405406221758253
01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.405406221758253,0.0,8.0,-0.5405406221758253
01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.405406221758253,0.0,8.0,-0.5405406221758253
01-21,0.0,0.0,0.0,0.0,0.0,44.44444329466344,0.0,0.0,0.0,-5.405406221758253,1.0,7.0,3.9039037072905183
01-22,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,0.0,0.0,0.0,-5.405406221758253,2.0,6.0,4.618189516609148
01-23,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,29.305551013920585,0.0,0.0,-5.405406221758253,3.0,5.0,7.548744618001206
01-24,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,29.305551013920585,0.0,0.0,-5.405406221758253,3.0,5.0,7.548744618001206
01-25,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,28.611499140414065,0.0,0.0,-5.405406221758253,3.0,5.0,7.479339430650555
01-26,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,28.611499140414065,0.0,0.0,3.4653407829306455,4.0,4.0,8.366414131119445
01-27,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,28.611499140414065,0.0,0.0,3.4653407829306455,4.0,4.0,8.366414131119445
01-28,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,28.611499140414065,0.0,0.0,8.415836836704644,4.0,4.0,8.861463736496844
01-29,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,28.611499140414065,-39.465868548104034,0.0,8.415836836704644,4.0,4.0,4.914876881686441
01-30,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,28.611499140414065,-39.465868548104034,0.0,8.415836836704644,4.0,4.0,4.914876881686441
01-31,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,28.611499140414065,-39.465868548104034,0.0,8.415836836704644,4.0,4.0,4.914876881686441
02-01,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,28.611499140414065,-39.465868548104034,0.0,8.415836836704644,4.0,4.0,4.914876881686441
02-02,0.0,0.0,0.0,0.0,7.1428580931862955,44.44444329466344,28.611499140414065,-39.465868548104034,0.0,8.415836836704644,4.0,4.0,4.914876881686441
02-03,0.0,0.0,0.0,0.0,7.1428580931862955,0.0,-0.9817629014170302,-39.465868548104034,0.0,8.415836836704644,2.0,6.0,-2.488893651963012
02-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.9817629014170302,-39.465868548104034,0.0,8.415836836704644,1.0,7.0,-3.2031794612816418
02-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.9817629014170302,-39.465868548104034,0.0,8.415836836704644,1.0,7.0,-3.2031794612816418
02-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.9817629014170302,-39.465868548104034,0.0,0.0,0.0,8.0,-4.044763144952106
02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.465868548104034,0.0,0.0,0.0,8.0,-3.9465868548104033
02-08,0.0,0.0,0.0,0.0,0.0,0.0,7.1614628050154225,-39.465868548104034,0.0,0.0,1.0,7.0,-3.2304405743088607
