,2010,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,-11.111108351636943,0.0,47.36841960792064,0.0,0.0,1.0,6.0,4.028590139587077
01-03,0.0,0.0,0.0,0.0,-11.111108351636943,0.0,47.36841960792064,0.0,0.0,1.0,6.0,4.028590139587077
01-04,0.0,0.0,0.0,0.0,-11.111108351636943,0.0,47.36841960792064,0.0,0.0,1.0,6.0,4.028590139587077
01-05,0.0,0.0,0.0,0.0,-11.111108351636943,0.0,47.36841960792064,0.0,0.0,1.0,6.0,4.028590139587077
01-06,0.0,0.0,0.0,0.0,-11.111108351636943,0.0,47.36841960792064,0.0,0.0,1.0,6.0,4.028590139587077
01-07,0.0,0.0,0.0,0.0,-11.111108351636943,0.0,47.36841960792064,0.0,0.0,1.0,6.0,4.028590139587077
01-08,0.0,0.0,0.0,0.0,-11.111108351636943,0.0,47.36841960792064,0.0,0.0,1.0,6.0,4.028590139587077
01-09,0.0,0.0,0.0,0.0,0.0,0.0,47.36841960792064,0.0,0.0,1.0,6.0,5.263157734213404
01-10,0.0,0.0,0.0,0.0,0.0,0.0,47.36841960792064,0.0,0.0,1.0,6.0,5.263157734213404
01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
01-14,0.0,0.0,0.0,-59.680645205424874,0.0,0.0,-88.11880297058326,0.0,0.0,0.0,7.0,-16.42216090844535
01-15,0.0,0.0,0.0,-59.680645205424874,0.0,0.0,-88.11880297058326,0.0,0.0,0.0,7.0,-16.42216090844535
01-16,0.0,0.0,-38.650868157677486,-59.680645205424874,0.0,0.0,-88.11880297058326,0.0,0.0,0.0,7.0,-20.71670181485396
01-17,0.0,0.0,-38.650868157677486,-59.680645205424874,9.999997764825869,0.0,-88.11880297058326,0.0,0.0,1.0,6.0,-19.60559095209553
01-18,0.0,0.0,-38.650868157677486,-59.680645205424874,9.999997764825869,0.0,-88.11880297058326,0.0,0.0,1.0,6.0,-19.60559095209553
01-19,0.0,0.0,-38.650868157677486,-59.680645205424874,9.999997764825869,0.0,-88.11880297058326,0.0,0.0,1.0,6.0,-19.60559095209553
01-20,0.0,0.0,-20.522984959131144,-59.680645205424874,9.999997764825869,0.0,-88.11880297058326,0.0,0.0,1.0,6.0,-17.5913817078126
01-21,0.0,0.0,-20.522984959131144,-59.680645205424874,9.999997764825869,0.0,-88.11880297058326,0.0,0.0,1.0,6.0,-17.5913817078126
01-22,0.0,0.0,-20.522984959131144,-59.680645205424874,9.999997764825869,0.0,-88.11880297058326,0.0,0.0,1.0,6.0,-17.5913817078126
01-23,0.0,0.0,-20.522984959131144,-59.680645205424874,9.999997764825869,0.0,-88.11880297058326,0.0,0.0,1.0,6.0,-17.5913817078126
01-24,0.0,0.0,-20.522984959131144,-59.680645205424874,9.999997764825869,0.0,-88.11880297058326,0.0,0.0,1.0,6.0,-17.5913817078126
01-25,0.0,0.0,-20.522984959131144,-59.680645205424874,9.999997764825869,0.0,0.0,0.0,0.0,1.0,6.0,-7.800403599970017
01-26,0.0,0.0,-20.522984959131144,-59.680645205424874,9.999997764825869,0.0,0.0,0.0,0.0,1.0,6.0,-7.800403599970017
01-27,0.0,0.0,-27.815122228584503,0.0,9.999997764825869,0.0,0.0,0.0,0.0,1.0,6.0,-1.9794582737509596
01-28,0.0,0.0,-27.815122228584503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-3.090569136509389
01-29,0.0,0.0,7.8151302426540035,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,1.0,6.0,-5.909429534282042
01-30,0.0,0.0,7.8151302426540035,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,1.0,7.0,-5.909429534282042
01-31,0.0,0.0,-6.050412103488885,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,0.0,8.0,-7.45004535052014
02-01,0.0,0.0,-6.050412103488885,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,0.0,8.0,-7.45004535052014
02-02,0.0,0.0,-6.050412103488885,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,0.0,8.0,-7.45004535052014
02-03,0.0,0.0,-6.050412103488885,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,0.0,8.0,-7.45004535052014
02-04,0.0,0.0,-6.050412103488885,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,0.0,8.0,-7.45004535052014
02-05,0.0,58.1375839177872,-6.050412103488885,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,1.0,7.0,-0.99031380409934
02-06,0.0,58.1375839177872,-6.050412103488885,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,1.0,7.0,-0.99031380409934
02-07,0.0,58.1375839177872,0.0,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,1.0,7.0,-0.31804579260057547
02-08,0.0,58.1375839177872,0.0,0.0,0.0,-60.999996051192376,0.0,0.0,0.0,1.0,7.0,-0.31804579260057547
02-09,0.0,58.1375839177872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.4597315464208
02-10,0.0,55.762411028972714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.195823447663635
02-11,0.0,55.762411028972714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.195823447663635
02-12,0.0,55.762411028972714,-3.478267990573966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.80934922648875
02-13,0.0,55.762411028972714,-3.478267990573966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.80934922648875
02-14,0.0,54.6363634491755,-3.478267990573966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.684232828733503
02-15,0.0,-8.363636875940736,-3.478267990573966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.3157672073905227
02-16,0.0,-8.363636875940736,-3.478267990573966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.3157672073905227
02-17,0.0,-8.363636875940736,-3.478267990573966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.3157672073905227
02-18,0.0,-13.849090155351215,-3.478267990573966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.9252620162139091
02-19,0.0,-13.849090155351215,-3.478267990573966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.9252620162139091
02-20,0.0,-13.849090155351215,-3.478267990573966,0.0,0.0,0.0,-1.0000020116567312,0.0,0.0,0.0,8.0,-2.036373350842435
02-21,0.0,-5.420557540705793,-3.478267990573966,0.0,0.0,0.0,-1.0000020116567312,0.0,0.0,0.0,8.0,-1.0998697269929432
02-22,0.0,-5.420557540705793,-3.478267990573966,0.0,0.0,0.0,-1.0000020116567312,0.0,0.0,0.0,8.0,-1.0998697269929432
02-23,0.0,-5.420557540705793,21.192048692968815,0.0,0.0,0.0,-1.0000020116567312,0.0,0.0,1.0,7.0,1.6412765711784767
02-24,0.0,-5.420557540705793,21.192048692968815,0.0,0.0,0.0,-1.0000020116567312,0.0,98.38969398300236,2.0,6.0,12.573464791512073
02-25,0.0,-5.223879933118253,23.841060700581156,0.0,0.0,0.0,-1.0000020116567312,0.0,98.38969398300236,2.0,6.0,12.889652526534283
02-26,0.0,3.424654318570909,13.273001684572932,0.0,0.0,0.0,-1.0000020116567312,0.0,98.38969398300236,3.0,5.0,12.676371997165496
02-27,0.0,5.821914382825534,13.207552092658274,0.0,0.0,0.0,-1.0000020116567312,0.0,98.38969398300236,3.0,5.0,12.935462049647716
02-28,0.0,5.821914382825534,13.207552092658274,0.0,0.0,0.0,-1.0000020116567312,0.0,98.38969398300236,3.0,5.0,12.935462049647716
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.38969398300236,1.0,1.0,10.932188220333595
03-01,0.0,10.359583396186975,13.207552092658274,0.0,0.0,0.0,-1.0000020116567312,0.0,98.38969398300236,3.0,5.0,13.439647495576764
03-02,0.0,10.359583396186975,13.207552092658274,0.0,0.0,0.0,-1.0000020116567312,0.0,98.38969398300236,3.0,5.0,13.439647495576764
03-03,0.0,7.345127879392269,13.207552092658274,0.0,0.0,0.0,0.0,0.0,98.38969398300236,3.0,5.0,13.215819328339212
03-04,0.0,7.345127879392269,13.207552092658274,0.0,0.0,0.0,0.0,0.0,98.38969398300236,3.0,5.0,13.215819328339212
