,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.940000057220459,0.6999998092651367,-0.20000004768371582,-0.030000001192092896,0.0,0.0,-0.0480999946594238,-0.085999995470047,2.0,6.0,01-17,0.12758998274803163
01-03,0.0,0.0,0.940000057220459,0.6399998664855966,-0.20000004768371582,-0.030000001192092896,0.0,0.0,-0.0480999946594238,-0.085999995470047,2.0,6.0,01-18,0.1215899884700776
01-04,0.0,0.0,1.049999713897705,0.28599977493286133,-0.20000004768371582,-0.030000001192092896,0.0,0.0,0.0032000094652175903,-0.085999995470047,3.0,5.0,01-19,0.10231994539499283
01-05,0.0,0.0,0.6399998664855957,0.28599977493286133,-0.20000004768371582,-0.030000001192092896,0.0,0.0,0.0,-0.085999995470047,2.0,6.0,01-20,0.06099995970726013
01-06,0.0,0.0,0.6399998664855957,0.28599977493286133,-0.2960000038146977,-0.030000001192092896,0.0,0.0,0.0,-0.085999995470047,2.0,6.0,01-21,0.05139996409416194
01-07,0.0,0.0,0.6399998664855957,0.34599971771240234,-0.2960000038146977,-0.01199999451637268,0.0,0.0,0.05279999971389773,-0.01500000059604642,3.0,5.0,01-22,0.0715799584984779
01-08,0.0,0.0,0.6799998283386222,0.1359996795654297,-0.11000001430511475,0.02799999713897705,0.0,0.0,0.05279999971389773,-0.01500000059604642,4.0,4.0,01-23,0.07717994898557654
01-09,0.0,0.0,0.6799998283386222,0.5199999809265146,-0.07999992370605424,0.02799999713897705,0.0,0.0,0.05279999971389773,0.04500001668930054,5.0,3.0,01-24,0.12457998991012578
01-10,0.0,0.0,0.440000057220459,0.010000228881835938,-0.07999992370605424,0.02799999713897705,0.0,0.0,0.05279999971389773,0.13100001215934753,5.0,3.0,01-25,0.0581800371408463
01-11,0.0,0.0,-0.10500001907348633,0.010000228881835938,-0.2300000190734861,-0.06000000238418579,0.0,0.03999999910593034,0.05279999971389773,0.13100001215934753,4.0,4.0,01-26,-0.01611998006701467
01-12,0.0,0.0,-0.09999990463256836,0.010000228881835938,-0.2300000190734861,-0.06000000238418579,0.0,0.03999999910593034,0.05279999971389773,0.13100001215934753,4.0,4.0,01-27,-0.015619968622922874
