,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.06309926509857178,-0.005440652370452881,0.13966429233551025,0.015268206596374512,0.13779544830322266,0.20316457748413086,-0.3827824592590341,0.004993438720703569,-0.13719606399536133,0.17335796356201172,-0.5337610244750977,1.083825111389162,-1.3019027709960938,-0.512791633605957,-0.3684177398681605,-0.21007919311523438,-0.2849082946777344,0.8004016876220703,-1.1160297393798828,-2.4116954803466797,0.04910469055175781,-0.6000118255615234,0.7407150268554652,-0.2260208129882919,-1.0162696838379048,-0.27860260009765625,-4.906375885009766,0.584312438964858,8.740928649902344,2.543678283691392,-0.9236526489257812,13.0,18.0,01-17,-0.001994450246134857
01-03,-0.05487161874771118,0.005752742290496826,0.13682949542999268,0.026821255683898926,0.17854642868041992,0.27336740493774414,-0.3944628238677992,-0.006814241409301314,-0.10750293731689364,0.17335796356201172,-0.6419076919555664,-0.6743793487548846,-1.2286834716796857,0.42779064178466797,-0.3179912567138672,-0.5759677886962891,-0.3239288330078125,1.0672092437744105,-0.04464149475097301,-2.669132232666019,0.04910469055175781,-0.5083408355712855,0.6811180114746094,-0.06955528259277699,-0.5832557678222727,1.1772842407226562,-4.906375885009766,1.112968444824233,8.46661376953125,2.688209533691392,-0.07861328125,14.0,17.0,01-18,0.10575964758473023
01-04,-0.046619951725006104,0.005752742290496826,0.11698395013809204,0.0499272346496582,0.18436145782470703,0.37859368324279785,-0.47672319412231445,0.20570325851440474,-0.10750293731689364,0.11340522766113281,0.2709836959838867,-1.05318069458008,-1.5184307098388654,0.5903606414794904,-0.3179912567138672,0.06206321716308594,-0.3551483154296875,0.8394527435302734,0.4935932159423828,-2.669132232666019,0.024557113647460938,0.46044349670410156,0.2809619903564453,0.16516685485839488,0.02651596069335227,1.1772842407226562,-4.897270202636719,0.5286483764648438,8.457145690917969,0.08671569824217329,-0.8155517578125,21.0,10.0,01-19,0.072937717360834
01-05,-0.04935455322265625,0.005752742290496826,0.13121634721755993,0.06148028373718262,0.23082470893859863,0.37859368324279785,-0.18327641487121582,0.2175276279449463,-0.1669588088989249,-0.04245853424072443,0.11476802825927734,-0.703948974609375,-1.3059539794921857,0.5903606414794904,-0.2520027160644531,0.47062110900878906,-0.2968349456787003,1.1454792022705043,0.4698410034179723,-1.8774051666259801,0.24566650390625,0.3688087463378906,0.9280223846435547,0.8780403137207031,0.02651596069335227,0.24264907836914062,-5.629203796386719,0.287506103515625,6.565162658691406,-1.6283264160156392,-0.8155517578125,19.0,12.0,01-20,0.013147131089240786
01-06,-0.057558298110961914,0.03933370113372803,0.1112908124923706,0.11915171146392822,0.2481701374053955,0.4019606113433838,0.0045299530029296875,0.20570325851440474,-0.0005092620849609375,-0.198178291320799,0.06667900085449041,-0.23428916931152344,-1.3059539794921857,0.5206365585327148,-0.9231948852539062,0.2799491882324219,0.003681182861338783,1.216104507446289,0.4698410034179723,-1.4734611511230504,0.18011665344237926,0.3165168762207031,0.9535617828369141,0.8780403137207031,-0.07069778442382812,1.7942543029785156,-3.8308982849121094,0.3988189697265767,7.5395355224609375,-1.6283264160156392,-1.0611877441406108,20.0,11.0,01-21,0.16011679941608134
01-07,-0.049318552017211914,0.06451922655105591,0.08289390802383423,0.08458638191223145,0.20747923851013184,0.35522317886352583,-0.04249739646911621,0.17022991180419966,0.1717982292175293,-0.30592060089111683,-0.1614885330200213,-0.6199197769165039,-1.0547199249267507,-0.08734321594238104,-1.132808685302738,0.19826698303222656,-0.144622802734375,1.5226078033447266,0.6049175262451243,-1.7509498596191406,-0.614862442016598,0.4331932067871094,1.1578998565673793,1.9473381042480469,-0.5226821899414062,-1.301849365234375,-3.3982505798339844,0.287506103515625,7.236824035644517,-3.4686431884765625,2.6824798583984375,16.0,15.0,01-22,0.08231891739752965
01-08,-0.04107868671417236,0.08409243822097778,0.09987032413482666,0.09034490585327148,0.02328705787658647,0.23821902275085494,-0.04249739646911621,0.26477146148681596,0.24902725219726474,-0.47369098663330256,-0.4737243652343768,-0.9573516845703125,-0.30879783630371094,-0.5791931152343768,0.1439533233642578,-0.2607135772705078,-0.12119102478026988,1.6169033050537074,1.389739990234375,-1.2991447448730469,-0.5739383697509766,0.16651535034179688,1.0472297668456996,2.0609226226806747,-0.48662567138671875,-1.8745384216308594,-2.3129920959472656,0.49153900146482954,10.632911682128906,-2.5533218383789205,-0.05303192138671875,15.0,16.0,01-23,0.19959663767968364
01-09,-0.043837666511535645,0.07566684484481812,0.10559743642807007,0.08664774894714355,0.0,0.2616193294525151,-0.07767391204833984,0.17030096054077104,0.36185407638549894,-0.19807052612304865,-0.8822946548461914,-0.4874839782714844,0.2978229522705078,-1.2566919326782227,0.4776020050048828,-0.6032485961914062,-0.7383918762207138,1.2634601593017543,3.1461639404296946,-0.6877250671386719,-0.4102287292480504,0.9199123382568359,0.3661060333251953,2.366895675659176,-0.7254676818847727,-0.6972274780273509,-3.9545478820800923,0.6399459838867188,11.881629943847656,-4.822319030761719,0.40329742431640625,16.0,15.0,01-24,0.23352625293116278
01-10,-0.041198790073394775,0.07005494832992554,0.08858710527420044,0.0808713436126709,0.1047880649566646,0.1872038841247563,-0.10112977027893022,-0.08944153785705566,0.3737316131591779,-0.3059835433959961,-1.5312061309814435,-0.4751749038696307,0.5954360961914062,-1.2683029174804688,1.0556373596191406,-0.7355899810791016,-1.0232505798339915,0.9576702117919957,4.2430419921875,0.08458900451660512,-0.3362770080566406,0.6771526336669922,0.033779144287109375,2.1686058044433594,-1.5473289489746094,-0.2658500671386719,-2.809997558593757,1.6005630493164205,12.630462646484375,-3.5491561889648438,1.4350280761718892,17.0,14.0,01-25,0.3970101629534082
01-11,-0.0247189998626709,0.06727182865142822,0.05123680830001831,0.10975277423858643,-0.07567906379699663,0.023402452468871626,-0.054082632064819336,-0.018603324890137163,0.3915696144103986,-0.07816791534423828,-1.3151168823242188,-0.49933338165283203,1.0397148132324183,-1.1134748458862305,1.4476814270019531,-0.9536342620849574,-1.0229301452636754,0.4632663726806605,4.615058898925781,0.11689376831055043,-0.8128795623779332,0.6607093811035156,0.4193897247314453,1.9251766204833984,-0.64593505859375,1.7452392578125,-1.7295532226562784,2.877655029296875,10.774894714355483,-4.820991516113281,1.385894775390625,17.0,14.0,01-26,0.48224862737040297
