,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,25.003396699990404,0.0,0.0,33.33333333333333,0.0,13.04348037351055,-19.999995529651695,3.0,5.0,5.138021487718258
01-03,0.0,0.0,0.0,25.003396699990404,0.0,0.0,33.33333333333333,0.0,13.04348037351055,9.999997764825869,4.0,4.0,8.138020817166014
01-04,0.0,0.0,0.0,25.003396699990404,0.0,0.0,0.0,0.0,13.04348037351055,90.39999968707562,3.0,5.0,12.844687676057656
01-05,0.0,0.0,0.0,25.003396699990404,0.0,0.0,0.0,0.0,13.04348037351055,90.39999968707562,3.0,5.0,12.844687676057656
01-06,0.0,0.0,0.0,40.0043476578462,0.0,0.0,0.0,0.0,13.04348037351055,90.39999968707562,3.0,5.0,14.344782771843237
01-07,0.0,0.0,0.0,40.0043476578462,0.0,0.0,-49.999999999999986,0.0,15.789474509759632,4.600003293156547,3.0,5.0,1.0393825460762396
01-08,0.0,0.0,0.0,0.0,0.0,0.0,-49.999999999999986,0.0,15.789474509759632,90.60000027567148,2.0,6.0,5.638947478543112
01-09,0.0,0.0,0.0,-25.003396699990404,0.0,0.0,-49.999999999999986,0.0,15.789474509759632,-941.6666327121998,1.0,7.0,-100.08805549024305
01-10,0.0,0.0,0.0,-10.006798464957528,0.0,0.0,-49.999999999999986,0.0,15.789474509759632,-941.6666327121998,1.0,7.0,-98.58839566673977
01-11,0.0,0.0,0.0,25.003396699990404,0.0,0.0,-49.999999999999986,0.0,15.789474509759632,-941.6666327121998,2.0,6.0,-95.08737615024498
01-12,0.0,0.0,0.0,25.003396699990404,0.0,0.0,-49.999999999999986,0.0,57.894737254879814,-941.6666327121998,2.0,6.0,-90.87684987573296
01-13,0.0,0.0,0.0,25.003396699990404,0.0,90.00000072759572,-49.999999999999986,0.0,57.894737254879814,-941.6666327121998,3.0,5.0,-81.87684980297338
01-14,0.0,0.0,0.0,0.0,0.0,90.00000072759572,0.0,0.0,57.894737254879814,19.3548361899701,3.0,5.0,16.724957417244564
01-15,0.0,0.0,0.0,0.0,0.0,90.00000072759572,0.0,0.0,3.157893333408638,19.3548361899701,3.0,5.0,11.251273025097445
01-16,0.0,0.0,0.0,-25.003396699990404,0.0,90.00000072759572,0.0,0.0,3.157893333408638,-941.6666327121998,2.0,6.0,-87.35121353511859
01-17,0.0,0.0,0.0,-25.003396699990404,0.0,90.00000072759572,0.0,0.0,0.0,-941.6666327121998,1.0,7.0,-87.66700286845943
01-18,0.0,0.0,0.0,-25.003396699990404,0.0,90.00000072759572,0.0,0.0,0.0,-941.6666327121998,1.0,7.0,-87.66700286845943
01-19,0.0,0.0,0.0,-25.003396699990404,0.0,90.00000072759572,0.0,0.0,0.0,-941.6666327121998,1.0,7.0,-87.66700286845943
01-20,0.0,0.0,0.0,-66.6787443691792,0.0,90.00000072759572,0.0,0.0,0.0,61.389961312213494,2.0,6.0,8.471121767063002
01-21,0.0,0.0,0.0,-66.6787443691792,0.0,90.00000072759572,0.0,0.0,0.0,61.389961312213494,2.0,6.0,8.471121767063002
01-22,0.0,0.0,0.0,-33.3393721845896,0.0,90.00000072759572,0.0,0.0,0.0,96.29343616515227,2.0,6.0,15.29540647081584
01-23,0.0,0.0,0.0,-33.3393721845896,0.0,90.00000072759572,33.33333333333333,0.0,0.0,96.29343616515227,3.0,5.0,18.62873980414917
01-24,0.0,0.0,0.0,-33.3393721845896,0.0,90.00000072759572,33.33333333333333,0.0,0.0,96.29343616515227,3.0,5.0,18.62873980414917
01-25,0.0,0.0,0.0,-33.3393721845896,0.0,90.00000072759572,33.33333333333333,0.0,0.0,52.12355352301417,3.0,5.0,14.211751539935364
01-26,0.0,0.0,0.0,-33.3393721845896,0.0,0.0,33.33333333333333,0.0,0.0,-1178.3504568665164,1.0,7.0,-117.83564957177728
01-27,0.0,0.0,0.0,-100.02718995833173,0.0,0.0,33.33333333333333,0.0,-508.9743678528453,-1178.3504568665164,1.0,7.0,-175.40186813443603
01-28,0.0,0.0,0.0,9.09652730976002,0.0,0.0,33.33333333333333,0.0,5.000002607703171,-1178.3504568665164,3.0,5.0,-113.092059361572
01-29,0.0,0.0,0.0,0.0,0.0,0.0,60.0000014901161,0.0,26.92307515962583,1.030926053373843,3.0,5.0,8.795400270311578
01-30,0.0,0.0,0.0,-33.3393721845896,0.0,0.0,37.500004365574334,0.0,26.92307515962583,1.030926053373843,3.0,5.0,3.2114633393984406
01-31,0.0,0.0,0.0,0.0,0.0,0.0,37.500004365574334,0.0,-271.0937547180039,-2570.1030484395255,1.0,7.0,-280.36967987919553
02-01,0.0,0.0,0.0,0.0,0.0,0.0,37.500004365574334,0.0,-271.0937547180039,-2570.1030484395255,1.0,7.0,-280.36967987919553
02-02,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,-271.0937547180039,-2570.1030484395255,1.0,7.0,-280.7863469824196
02-03,0.0,0.0,0.0,25.003396699990404,90.00000072759572,0.0,0.0,0.0,-271.0937547180039,-2570.1030484395255,2.0,6.0,-272.6193405729943
02-04,0.0,0.0,-33.33736274261855,25.003396699990404,0.0,0.0,0.0,0.0,-271.0937547180039,-2570.1030484395255,1.0,7.0,-284.95307692001575
02-05,0.0,0.0,-33.33736274261855,25.003396699990404,0.0,0.0,0.0,0.0,-271.0937547180039,-2570.1030484395255,1.0,7.0,-284.95307692001575
02-06,0.0,0.0,-20.002183958601243,25.003396699990404,0.0,0.0,0.0,33.99999737739563,-271.0937547180039,0.0,2.0,6.0,-23.209254459921908
02-07,0.0,0.0,0.0,50.00679656559126,0.0,0.0,25.00000000000001,17.499997951090364,39.062500113686845,0.0,4.0,4.0,13.15692946303685
02-08,0.0,0.0,0.0,-10.006798464957528,0.0,0.0,25.00000000000001,17.499997951090364,-290.625015688784,0.0,2.0,6.0,-25.81318162026512
02-09,0.0,0.0,0.0,-10.006798464957528,0.0,0.0,-25.00000465661298,17.499997951090364,-407.8124942019711,88.72093028292713,2.0,6.0,-33.659836908952414
02-10,0.0,0.0,0.0,-10.006798464957528,0.0,0.0,19.999994412064463,17.499997951090364,-407.8124942019711,88.72093028292713,3.0,5.0,-29.159837002084668
02-11,0.0,0.0,14.286822313973346,0.0,0.0,0.0,19.999994412064463,17.499997951090364,-407.8124942019711,88.72093028292713,4.0,4.0,-26.730474924191583
02-12,0.0,0.0,14.286822313973346,25.003396699990404,0.0,0.0,19.999994412064463,17.499997951090364,-407.8124942019711,88.72093028292713,5.0,3.0,-24.23013525419254
02-13,0.0,0.0,14.286822313973346,0.0,-900.0000727595774,0.0,-6.666674117247397,17.499997951090364,0.0,88.72093028292713,3.0,5.0,-78.61589963288338
02-14,0.0,0.0,35.717059402562946,0.0,0.0,0.0,-6.666674117247397,17.499997951090364,0.0,88.72093028292713,3.0,5.0,13.527131351933303
02-15,0.0,0.0,35.717059402562946,0.0,0.0,0.0,0.0,17.499997951090364,0.0,88.72093028292713,3.0,5.0,14.193798763658043
02-16,0.0,0.0,28.57365186320586,0.0,90.00000072759572,0.0,0.0,-24.99999813735488,0.0,88.72093028292713,3.0,5.0,18.229458473637383
02-17,0.0,0.0,28.57365186320586,0.0,90.00000072759572,50.0,-33.33333333333335,0.0,69.88235401880368,88.72093028292713,5.0,3.0,29.384360355919902
02-18,0.0,0.0,23.07885545928016,0.0,90.00000072759572,50.0,-33.33333333333335,0.0,-81.56027572431796,-1.041664847677386,3.0,5.0,4.714358228154717
02-19,0.0,0.0,37.500426551503146,0.0,0.0,50.0,-33.33333333333335,0.0,-81.56027572431796,83.833332495143,3.0,5.0,5.644014998899483
02-20,0.0,0.0,14.286822313973346,0.0,0.0,50.0,-33.33333333333335,0.0,-64.10256440871879,-43.333341404795846,2.0,6.0,-7.648241683287464
02-21,0.0,0.0,14.286822313973346,0.0,0.0,50.0,-33.33333333333335,0.0,-64.10256440871879,-43.333341404795846,2.0,6.0,-7.648241683287464
02-22,0.0,0.0,0.0,0.0,0.0,50.0,-33.33333333333335,0.0,-64.10256440871879,-43.333341404795846,1.0,7.0,-9.076923914684798
02-23,0.0,0.0,0.0,0.0,0.0,50.0,-100.0,0.0,-64.10256440871879,-43.333341404795846,1.0,7.0,-15.743590581351464
02-24,0.0,0.0,6.663761474983793,0.0,0.0,50.0,-49.999999999999986,0.0,-64.10256440871879,-43.333341404795846,2.0,6.0,-10.077214433853083
02-25,0.0,0.0,6.663761474983793,0.0,0.0,50.0,-49.999999999999986,0.0,60.61538416570459,-43.333341404795846,3.0,5.0,2.394580423589255
02-26,0.0,0.0,6.663761474983793,0.0,0.0,50.0,-49.999999999999986,0.0,60.61538416570459,-43.333341404795846,3.0,5.0,2.394580423589255
02-27,0.0,0.0,0.0,-33.3393721845896,-900.0000727595774,50.0,50.0,16.666663562258023,48.80000205636021,-43.333341404795846,4.0,4.0,-81.12061207303447
02-28,0.0,0.0,0.0,-33.3393721845896,-900.0000727595774,50.0,50.0,16.666663562258023,-69.99999925494194,-43.333341404795846,3.0,5.0,-93.00061220416468
02-29,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,83.9999988824129,2.0,0.0,13.399999888241291
03-01,0.0,0.0,7.143414774616251,-33.3393721845896,-900.0000727595774,0.0,50.0,16.666663562258023,71.79999989569187,83.9999988824129,5.0,3.0,-70.3729367829188
03-02,0.0,0.0,-14.282936979807465,-33.3393721845896,-900.0000727595774,-1900.0001455191548,50.0,16.666663562258023,71.79999989569187,83.9999988824129,4.0,4.0,-262.5155865102766
03-03,0.0,0.0,-14.282936979807465,-33.3393721845896,-900.0000727595774,-1900.0001455191548,50.0,16.666663562258023,64.74999855644997,25.00000000000001,4.0,4.0,-269.1205865324421
03-04,0.0,0.0,-14.282936979807465,-33.3393721845896,0.0,-1900.0001455191548,50.0,16.666663562258023,64.74999855644997,25.00000000000001,4.0,4.0,-179.1205792564844
03-05,0.0,0.0,0.0,42.8604741771792,0.0,-1900.0001455191548,25.00000000000001,16.666663562258023,75.99999977075136,25.00000000000001,5.0,3.0,-171.4473008008966
03-06,0.0,0.0,0.0,42.8604741771792,0.0,-1900.0001455191548,25.00000000000001,16.666663562258023,75.99999977075136,25.00000000000001,5.0,3.0,-171.4473008008966
03-07,0.0,0.0,-7.1395222051912395,42.8604741771792,0.0,-1900.0001455191548,25.00000000000001,13.043478542555048,75.99999977075136,25.00000000000001,5.0,3.0,-172.52357152338604
03-08,0.0,0.0,-7.1395222051912395,42.8604741771792,0.0,-1900.0001455191548,50.0,16.666663562258023,0.0,25.00000000000001,4.0,4.0,-177.26125299849087
03-09,0.0,0.0,-7.1395222051912395,78.98571468257174,0.0,-1900.0001455191548,33.33333333333333,16.666663562258023,0.0,25.00000000000001,4.0,4.0,-175.3153956146183
03-10,0.0,0.0,-7.1395222051912395,78.98571468257174,0.0,-1900.0001455191548,-100.0,0.0,0.0,25.00000000000001,2.0,6.0,-190.31539530417743
03-11,0.0,0.0,-7.1395222051912395,78.98571468257174,0.0,-1900.0001455191548,-100.0,0.0,0.0,-172.72726810914415,1.0,7.0,-210.08812211509183
03-12,0.0,0.0,17.645548504330442,72.41999892339108,0.0,-1900.0001455191548,-100.0,0.0,9.090907243657693,-172.72726810914415,3.0,5.0,-207.35709589569197
03-13,0.0,0.0,26.315185915847977,72.41999892339108,0.0,-1900.0001455191548,-100.0,-9.090907243657705,9.090907243657693,-172.72726810914415,3.0,5.0,-207.399222878906
03-14,0.0,0.0,26.315185915847977,72.41999892339108,0.0,-1900.0001455191548,-100.0,-9.090907243657705,27.272728504228205,-263.63635747885894,3.0,5.0,-214.67194968982045
03-15,0.0,0.0,26.315185915847977,72.41999892339108,0.0,0.0,-100.0,-9.090907243657705,27.272728504228205,-263.63635747885894,3.0,5.0,-24.67193513790494
