symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs
BEAV,B/E Aerospace Inc,$64.47 ,TRUE,,'Date',,,,
BTOHF,B2Holding ASA,$1.15 ,TRUE,,No data fetched for symbol BTOHF using YahooDailyReader,,,,
BZWHF,B2W - Companhia Digital,$12.34 ,TRUE,,No data fetched for symbol BZWHF using YahooDailyReader,,,,
BADG,Badger State Ethanol LLC,"$5,000.00 ",TRUE,,No data fetched for symbol BADG using YahooDailyReader,,,,
BADGA,Badger State Ethanol LLC,"$4,625.00 ",TRUE,,No data fetched for symbol BADGA using YahooDailyReader,,,,
BSHPY,Bahamas Petroleum Co PLC,$1.06 ,TRUE,,No data fetched for symbol BSHPY using YahooDailyReader,,,,
BAOOF,BAIOO Family Interactive Ltd,$0.10 ,TRUE,,No data fetched for symbol BAOOF using YahooDailyReader,,,,
BKKN,Bakken Resources Inc,$0.08 ,TRUE,,No data fetched for symbol BKKN using YahooDailyReader,,,,
BLLY,Bally Total Fitness Holding Corp,$0.50 ,TRUE,,No data fetched for symbol BLLY using YahooDailyReader,,,,
BALMF,Balmoral Resources Ltd,$0.58 ,TRUE,,No data fetched for symbol BALMF using YahooDailyReader,,,,
BWPPF,Balwin Properties Limited,$0.16 ,TRUE,,No data fetched for symbol BWPPF using YahooDailyReader,,,,
MDLAY,Banca Mediolanum,$13.80 ,TRUE,,No data fetched for symbol MDLAY using YahooDailyReader,,,,
BPMLF,Banca Popolare di Milano BPM Bipiemme,$0.39 ,TRUE,,'Date',,,,
BPMLY,Banca Popolare di Milano BPM Bipiemme,$2.42 ,TRUE,,'Date',,,,
BBSPY,Banco BPI SA,$2.65 ,TRUE,,No data fetched for symbol BBSPY using YahooDailyReader,,,,
BPSAY,Banco BPM SpA,$1.70 ,TRUE,,No data fetched for symbol BPSAY using YahooDailyReader,,,,
BPCGY,Banco Comercial Portugues SA,$2.17 ,TRUE,,No data fetched for symbol BPCGY using YahooDailyReader,,,,
BDYVY,Banco Daycoval S.A.,$4.09 ,TRUE,,No data fetched for symbol BDYVY using YahooDailyReader,,,,
BCCDF,Banco de Credito del Peru,$1.85 ,TRUE,,'Date',,,,
BHPTY,Banco Hipotecario SA,$2.80 ,TRUE,,No data fetched for symbol BHPTY using YahooDailyReader,,,,
BCVMF,Banco Macro SA,$2.35 ,TRUE,,No data fetched for symbol BCVMF using YahooDailyReader,,,,
BPATL,Banco Patagonia SA,$18.21 ,TRUE,,No data fetched for symbol BPATL using YahooDailyReader,,,,
BPESF,Banco Popular Espanol SA,$0.04 ,TRUE,,'Date',,,,
BKJ,Bancorp of New Jersey Inc,$17.89 ,TRUE,,No data fetched for symbol BKJ using YahooDailyReader,,,,
BANAF,Bandanna Energy Ltd,$0.10 ,TRUE,,No data fetched for symbol BANAF using YahooDailyReader,,,,
BKENF,Bangkok Expressway PLC,$1.10 ,TRUE,,No data fetched for symbol BKENF using YahooDailyReader,,,,
BGLAF,Bangkok Life Assurance PCL,$0.40 ,TRUE,,No data fetched for symbol BGLAF using YahooDailyReader,,,,
BGOPF,Bango PLC,$1.24 ,TRUE,,No data fetched for symbol BGOPF using YahooDailyReader,,,,
BKSNF,Bank J Safra Sarasin Ltd,$27.35 ,TRUE,,No data fetched for symbol BKSNF using YahooDailyReader,,,,
BKMU,Bank Mutual Corp,$10.40 ,TRUE,,'Date',,,,
AOCN,Bank Ocean City,$0.01 ,TRUE,,No data fetched for symbol AOCN using YahooDailyReader,,,,
BACPY,Bank of Cyprus Public Company Ltd,$25.10 ,TRUE,,No data fetched for symbol BACPY using YahooDailyReader,,,,
ILDBY,Bank of Ireland Group PLC,$13.30 ,TRUE,,No data fetched for symbol ILDBY using YahooDailyReader,,,,
BNNP,Bank of Napa NA,$20.65 ,TRUE,,'Date',,,,
PKSKY,Bank Polska Kasa Opieki SA,$16.45 ,TRUE,,'Date',,,,
BNKJF,Bankers Petroleum Ltd,$1.68 ,TRUE,,'Date',,,,
RATE,Bankrate Inc,$14.00 ,TRUE,,'Date',,,,
BKFY,Bankshares Fayetteville Inc,$50.00 ,TRUE,,'Date',,,,
BAPUF,Banpu PCL,$0.45 ,TRUE,,No data fetched for symbol BAPUF using YahooDailyReader,,,,
BNPJF,Banpu PCL,$0.96 ,TRUE,,No data fetched for symbol BNPJF using YahooDailyReader,,,,
BQNBF,Banque Nationale de Belgique SA,"$3,000.00 ",TRUE,,No data fetched for symbol BQNBF using YahooDailyReader,,,,
BAA,Banro Corp,$0.11 ,TRUE,,'Date',,,,
BHAC,Barington/Hilco Acquisition Corp,$10.90 ,TRUE,,No data fetched for symbol BHAC using YahooDailyReader,,,,
BPTNF,Barito Pacific Tbk,$0.12 ,TRUE,,'Date',,,,
BGMZF,Barkerville Gold Mines Ltd,$0.30 ,TRUE,,No data fetched for symbol BGMZF using YahooDailyReader,,,,
BKS,Barnes & Noble Inc,$6.49 ,TRUE,,No data fetched for symbol BKS using YahooDailyReader,,,,
BDEYF,Baron de Ley SA,$97.00 ,TRUE,,'Date',,,,
GDOLF,Baron Oil PLC,$0.03 ,TRUE,,No data fetched for symbol GDOLF using YahooDailyReader,,,,
