symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
ZCOR,Zyla Life Sciences,$2.05 ,True,,No data fetched for symbol ZCOR using YahooDailyReader,,,,,,,,,
ZAHLY,Zuoan Fashion Ltd,$0.01 ,True,,'Date',,,,,,,,,
ZMTBF,Zumtobel Group AG,$6.84 ,True,,No data fetched for symbol ZMTBF using YahooDailyReader,,,,,,,,,
ZUGFF,Zug Estates Holding AG,"$1,420.00 ",True,,No data fetched for symbol ZUGFF using YahooDailyReader,,,,,,,,,
ZSPH,ZS Pharma Inc,$89.98 ,True,,'Date',,,,,,,,,
ZMMM,Zoom Companies Inc,$3.20 ,True,,No data fetched for symbol ZMMM using YahooDailyReader,,,,,,,,,
ZRESF,Zone Resources Inc,$0.01 ,True,,No data fetched for symbol ZRESF using YahooDailyReader,,,,,,,,,
ZOLRZ,Zoeller Co,$18.50 ,True,,No data fetched for symbol ZOLRZ using YahooDailyReader,,,,,,,,,
ZODFY,Zodiac Aerospace,$6.20 ,True,,No data fetched for symbol ZODFY using YahooDailyReader,,,,,,,,,
ZODFF,Zodiac Aerospace,$30.37 ,True,,No data fetched for symbol ZODFF using YahooDailyReader,,,,,,,,,
ZIMFF,Zinco Mining Corp,$0.03 ,True,,No data fetched for symbol ZIMFF using YahooDailyReader,,,,,,,,,
ZIGNY,Zignago Vetro SpA,$0.01 ,True,,No data fetched for symbol ZIGNY using YahooDailyReader,,,,,,,,,
ZIGGF,Ziggo Holding B.V.,$43.39 ,True,,No data fetched for symbol ZIGGF using YahooDailyReader,,,,,,,,,
ZHULF,Zhulian Corp Bhd,$0.68 ,True,,No data fetched for symbol ZHULF using YahooDailyReader,,,,,,,,,
ZDAOF,Zhidao International (Holdings) Ltd,$0.23 ,True,,No data fetched for symbol ZDAOF using YahooDailyReader,,,,,,,,,
ZHEXY,Zhejiang Expressway Co Ltd,$12.15 ,True,,No data fetched for symbol ZHEXY using YahooDailyReader,,,,,,,,,
ZPIN,Zhaopin Ltd,$18.20 ,True,,'Date',,,,,,,,,
ZHAOY,Zhaojin Mining Industry Co Ltd,$0.01 ,True,,No data fetched for symbol ZHAOY using YahooDailyReader,,,,,,,,,
ZSHOF,Zensho Holdings Co Ltd,$10.50 ,True,,No data fetched for symbol ZSHOF using YahooDailyReader,,,,,,,,,
CANIF,Zenith Energy Ltd,$0.03 ,True,,No data fetched for symbol CANIF using YahooDailyReader,,,,,,,,,
ZBISF,Zenabis Global Inc,$0.06 ,True,,'Date',,,,,,,,,
ZLTQ,ZELTIQ Aesthetics Inc,$56.48 ,True,,'Date',,,,,,,,,
AMOO,Zeecol International Inc,$0.03 ,True,,No data fetched for symbol AMOO using YahooDailyReader,,,,,,,,,
ZDGE,Zedge Inc,$3.51 ,True,,'Date',,,,,,,,,
ZBRA,Zebra Technologies Corp,$336.29 ,True,,'Date',,,,,,,,,
ZCLCF,ZCL Composites Inc,$7.55 ,True,,No data fetched for symbol ZCLCF using YahooDailyReader,,,,,,,,,
ZCCMF,ZCCM Investments Holdings PLC,$1.50 ,True,,No data fetched for symbol ZCCMF using YahooDailyReader,,,,,,,,,
ZAZUF,Zazu Metals Corp,$0.23 ,True,,No data fetched for symbol ZAZUF using YahooDailyReader,,,,,,,,,
ZAYO,Zayo Group Holdings Inc,$34.99 ,True,,No data fetched for symbol ZAYO using YahooDailyReader,,,,,,,,,
ZFPPF,Zambeef Products PLC,$0.07 ,True,,No data fetched for symbol ZFPPF using YahooDailyReader,,,,,,,,,
ZFGN,Zafgen Inc,$0.99 ,True,,No data fetched for symbol ZFGN using YahooDailyReader,,,,,,,,,
