symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
NZRIF,Nzuri Copper Ltd,$0.18 ,True,,No data fetched for symbol NZRIF using YahooDailyReader,,,,,,,,,
NZMEF,NZME Ltd,$0.30 ,True,,No data fetched for symbol NZMEF using YahooDailyReader,,,,,,,,,
NZWFF,NZ Windfarms Ltd,$0.08 ,True,,No data fetched for symbol NZWFF using YahooDailyReader,,,,,,,,,
NXXYF,NYX Gaming Group Ltd,$1.89 ,True,,No data fetched for symbol NXXYF using YahooDailyReader,,,,,,,,,
NYRSF,Nyrstar NV,$0.39 ,True,,No data fetched for symbol NYRSF using YahooDailyReader,,,,,,,,,
NXTM,NxStage Medical Inc,$30.00 ,True,,No data fetched for symbol NXTM using YahooDailyReader,,,,,,,,,
NXCN,NXChain Inc,$0.21 ,True,,No data fetched for symbol NXCN using YahooDailyReader,,,,,,,,,
BEKSF,NV Bekaert SA,$30.00 ,True,,No data fetched for symbol BEKSF using YahooDailyReader,,,,,,,,,
BEKAY,NV Bekaert SA,$2.61 ,True,,No data fetched for symbol BEKAY using YahooDailyReader,,,,,,,,,
NESCQ,Nuverra Environmental Solutions Inc,$0.02 ,True,,'Date',,,,,,,,,
NXZ,Nuveen Dividend Advantage Muni Fund 2,$14.96 ,True,,'Date',,,,,,,,,
CFD,Nuveen Diversified Commodity Fund,$9.67 ,True,,'Date',,,,,,,,,
NZH,Nuveen California Dividend Advantage Municipal Fun,$13.82 ,True,,'Date',,,,,,,,,
NVX,Nuveen CA Dividend Advantage Muni Fund 2,$14.95 ,True,,'Date',,,,,,,,,
NVTRQ,Nuvectra Corp,$0.02 ,True,,No data fetched for symbol NVTRQ using YahooDailyReader,,,,,,,,,
NUUVF,Nuuvera Inc,$4.09 ,True,,No data fetched for symbol NUUVF using YahooDailyReader,,,,,,,,,
LVIFF,NutryFarm International Ltd,$0.05 ,True,,No data fetched for symbol LVIFF using YahooDailyReader,,,,,,,,,
NUTR,Nutraceutical International Corp,$41.80 ,True,,'Date',,,,,,,,,
NRNMF,Nurminen Logistics Oyj,$1.79 ,True,,No data fetched for symbol NRNMF using YahooDailyReader,,,,,,,,,
NQST,Nuquest Inc,$0.05 ,True,,No data fetched for symbol NQST using YahooDailyReader,,,,,,,,,
NUNAF,NunaMinerals A/S,$0.45 ,True,,No data fetched for symbol NUNAF using YahooDailyReader,,,,,,,,,
NMRX,Numerex Corp,$3.83 ,True,,'Date',,,,,,,,,
NHCIF,Nuh Cimento Sanayii AS,$1.21 ,True,,No data fetched for symbol NHCIF using YahooDailyReader,,,,,,,,,
NFTGF,NuFlare Technology Inc,$108.80 ,True,,No data fetched for symbol NFTGF using YahooDailyReader,,,,,,,,,
NTUBF,NTT Urban Development Corp,$9.40 ,True,,No data fetched for symbol NTUBF using YahooDailyReader,,,,,,,,,
NTTBF,NTN Corp,$3.80 ,True,,'Date',,,,,,,,,
NEUSF,NTG Nordic Transport Group AS,$0.38 ,True,,No data fetched for symbol NEUSF using YahooDailyReader,,,,,,,,,
NTLS,NTELOS Holdings Corp,$9.26 ,True,,'Date',,,,,,,,,
NSJU,NSJ-US Co Ltd,$0.15 ,True,,No data fetched for symbol NSJU using YahooDailyReader,,,,,,,,,
NRWWF,NRW Holdings Ltd,$0.15 ,True,,No data fetched for symbol NRWWF using YahooDailyReader,,,,,,,,,
NRCG,NRC Group Holdings Corp,$12.24 ,True,,No data fetched for symbol NRCG using YahooDailyReader,,,,,,,,,
NNRRF,NRC Group ASA,$6.76 ,True,,No data fetched for symbol NNRRF using YahooDailyReader,,,,,,,,,
NVTP,NOVT Corp,$450.25 ,True,,No data fetched for symbol NVTP using YahooDailyReader,,,,,,,,,
NVSKL,Novorossiysk Commercial Sea Port PJSC,$13.01 ,True,,'Date',,,,,,,,,
NISQY,Novolipetsk Steel PJSC,$8.10 ,True,,No data fetched for symbol NISQY using YahooDailyReader,,,,,,,,,
NVLNF,Novelion Therapeutics Inc,$0.70 ,True,,No data fetched for symbol NVLNF using YahooDailyReader,,,,,,,,,
NSTKF,NOVATEK PJSC,$20.42 ,True,,No data fetched for symbol NSTKF using YahooDailyReader,,,,,,,,,
NVDL,NovaDel Pharma Inc,$0.01 ,True,,'Date',,,,,,,,,
NVDQ,Novadaq Technologies Inc,$11.75 ,True,,'Date',,,,,,,,,
ELXMY,Nova Eye Medical Ltd,$6.50 ,True,,No data fetched for symbol ELXMY using YahooDailyReader,,,,,,,,,
NTSMF,Nostrum Oil & Gas PLC,$1.39 ,True,,No data fetched for symbol NTSMF using YahooDailyReader,,,,,,,,,
ZONNF,Nos Sgps SA,$6.27 ,True,,No data fetched for symbol ZONNF using YahooDailyReader,,,,,,,,,
ZONMY,Nos Sgps SA,$6.37 ,True,,'Date',,,,,,,,,
NRWGF,Norwegian Property ASA,$0.99 ,True,,'Date',,,,,,,,,
NRWEF,Norwegian Energy Co ASA,$13.14 ,True,,No data fetched for symbol NRWEF using YahooDailyReader,,,,,,,,,
NRF,NorthStar Realty Finance Corp,$16.13 ,True,,'Date',,,,,,,,,
NRE,NorthStar Realty Europe Corp,$17.02 ,True,,No data fetched for symbol NRE using YahooDailyReader,,,,,,,,,
NSAM,NorthStar Asset Management Group Inc,$15.84 ,True,,'Date',,,,,,,,,
NASGF,Northstar Aerospace,$0.22 ,True,,'Date',,,,,,,,,
NOTQF,Northquest Ltd,$0.19 ,True,,No data fetched for symbol NOTQF using YahooDailyReader,,,,,,,,,
