symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
XPWR,XZERES Corp,$0.04 ,True,,'Date',,,,,,,,,
XDSC,XXXX Dormant Shell Corp,$0.03 ,True,,No data fetched for symbol XDSC using YahooDailyReader,,,,,,,,,
XXLLY,XXL ASA,$9.80 ,True,,No data fetched for symbol XXLLY using YahooDailyReader,,,,,,,,,
MESG,Xura Inc,$25.00 ,True,,'Date',,,,,,,,,
XUE,Xueda Education Group,$5.44 ,True,,'Date',,,,,,,,,
XTMCF,Xtreme Drilling Corp,$1.55 ,True,,No data fetched for symbol XTMCF using YahooDailyReader,,,,,,,,,
XTEPY,Xtep International Holdings Ltd,$49.89 ,True,,No data fetched for symbol XTEPY using YahooDailyReader,,,,,,,,,
XRFSF,XRF Scientific Ltd,$0.14 ,True,,No data fetched for symbol XRFSF using YahooDailyReader,,,,,,,,,
XPOI,Xponential Inc,$1.45 ,True,,'Date',,,,,,,,,
XPDLF,Xpediator PLC,$0.35 ,True,,No data fetched for symbol XPDLF using YahooDailyReader,,,,,,,,,
XOOM,Xoom Corp,$24.91 ,True,,'Date',,,,,,,,,
XLSCF,Xlife Sciences AG,$34.81 ,True,,No data fetched for symbol XLSCF using YahooDailyReader,,,,,,,,,
CZCGF,Xinyang Maojian Group Ltd,$0.03 ,True,,No data fetched for symbol CZCGF using YahooDailyReader,,,,,,,,,
XJXNF,Xinjiang Xinxin Mining Industry Co Ltd,$0.20 ,True,,No data fetched for symbol XJXNF using YahooDailyReader,,,,,,,,,
XJGTF,Xinjiang Tianye Water Saving Irrigation System Co,$0.08 ,True,,No data fetched for symbol XJGTF using YahooDailyReader,,,,,,,,,
SHXWF,Xinhua Winshare Publishing & Media Co Ltd,$0.70 ,True,,No data fetched for symbol SHXWF using YahooDailyReader,,,,,,,,,
XIAMF,Xiamen International Port Co Ltd,$0.09 ,True,,No data fetched for symbol XIAMF using YahooDailyReader,,,,,,,,,
XNPT,XenoPort Inc,$7.07 ,True,,'Date',,,,,,,,,
XBKS,Xenith Bankshares Inc,$33.83 ,True,,'Date',,,,,,,,,
XDRC,Xedar Corp,$0.70 ,True,,No data fetched for symbol XDRC using YahooDailyReader,,,,,,,,,
XANAF,Xanadu Mines Ltd,$0.03 ,True,,No data fetched for symbol XANAF using YahooDailyReader,,,,,,,,,
XTLY,Xactly Corp,$15.65 ,True,,'Date',,,,,,,,,
