symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
TYRA,TyraTech Inc,$0.02 ,True,,No data fetched for symbol TYRA using YahooDailyReader,,,,,,,,,
LPUSY,Tyman PLC,$0.15 ,True,,No data fetched for symbol LPUSY using YahooDailyReader,,,,,,,,,
LPUSF,Tyman PLC,$3.79 ,True,,'Date',,,,,,,,,
TYC,Tyco International PLC,$47.74 ,True,,'Date',,,,,,,,,
TRCB,Two River Bancorp,$22.40 ,True,,No data fetched for symbol TRCB using YahooDailyReader,,,,,,,,,
TFOXL,Twenty-First Century Fox Inc,$34.70 ,True,,No data fetched for symbol TFOXL using YahooDailyReader,,,,,,,,,
FOXVV,Twenty-First Century Fox Inc,$29.02 ,True,,No data fetched for symbol FOXVV using YahooDailyReader,,,,,,,,,
FOXAV,Twenty-First Century Fox Inc,$41.70 ,True,,No data fetched for symbol FOXAV using YahooDailyReader,,,,,,,,,
TFCFA,Twenty-First Century Fox Inc,$49.69 ,True,,No data fetched for symbol TFCFA using YahooDailyReader,,,,,,,,,
TFCF,Twenty-First Century Fox Inc,$49.61 ,True,,No data fetched for symbol TFCF using YahooDailyReader,,,,,,,,,
TVNWY,TVN SA,$22.02 ,True,,No data fetched for symbol TVNWY using YahooDailyReader,,,,,,,,,
TIDZQ,Tuscany International Drilling Inc,$0.01 ,True,,No data fetched for symbol TIDZQ using YahooDailyReader,,,,,,,,,
TKYVF,Turkiye Vakiflar Bankasi TAO,$2.85 ,True,,No data fetched for symbol TKYVF using YahooDailyReader,,,,,,,,,
TSSCF,Turkiye Sise ve Cam Fabrikalari AS,$0.75 ,True,,No data fetched for symbol TSSCF using YahooDailyReader,,,,,,,,,
TKF,Turkish Investment Fund Inc,$9.13 ,True,,'Date',,,,,,,,,
TKCZF,Turkcell Iletisim Hizmetleri AS,$2.43 ,True,,No data fetched for symbol TKCZF using YahooDailyReader,,,,,,,,,
TTRKF,Turk Traktor ve Ziraat Makineleri AS,$8.11 ,True,,No data fetched for symbol TTRKF using YahooDailyReader,,,,,,,,,
TVNB,Turbotville National Bank Inc,$93.16 ,True,,No data fetched for symbol TVNB using YahooDailyReader,,,,,,,,,
TPYSF,Tupy SA,$3.66 ,True,,No data fetched for symbol TPYSF using YahooDailyReader,,,,,,,,,
TUPRF,Tupras-Turkiye Petrol Rafineleri AS,$24.25 ,True,,No data fetched for symbol TUPRF using YahooDailyReader,,,,,,,,,
TPPR,Tupper Inc,$63.91 ,True,,No data fetched for symbol TPPR using YahooDailyReader,,,,,,,,,
TUMI,Tumi Holdings Inc,$26.74 ,True,,'Date',,,,,,,,,
TDRLF,Tudor Corp Ltd,$0.01 ,True,,'Date',,,,,,,,,
TUBE,TubeMogul Inc,$14.00 ,True,,'Date',,,,,,,,,
TBCXF,Tubacex SA,$2.36 ,True,,'Date',,,,,,,,,
TTMRF,TTM Resources Inc,$0.02 ,True,,No data fetched for symbol TTMRF using YahooDailyReader,,,,,,,,,
TSGMY,Tsugami Corp,$66.00 ,True,,No data fetched for symbol TSGMY using YahooDailyReader,,,,,,,,,
TSBBY,TSB Banking Group PLC,$10.25 ,True,,No data fetched for symbol TSBBY using YahooDailyReader,,,,,,,,,
TSBBF,TSB Banking Group PLC,$4.17 ,True,,No data fetched for symbol TSBBF using YahooDailyReader,,,,,,,,,
TRYF,Trycera Financial Inc,$8.35 ,True,,'Date',,,,,,,,,
TRPWF,Trustpower Ltd,$5.29 ,True,,No data fetched for symbol TRPWF using YahooDailyReader,,,,,,,,,
TRPRY,Trustpower Ltd,$10.30 ,True,,No data fetched for symbol TRPRY using YahooDailyReader,,,,,,,,,
TSCHF,Trustco Group Holdings Ltd,$0.23 ,True,,No data fetched for symbol TSCHF using YahooDailyReader,,,,,,,,,
