symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
LVLEF,Lynden Energy Corp,$0.34 ,TRUE,,No data fetched for symbol LVLEF using YahooDailyReader,,,,,,,,,
LYOPF,Lycopodium Ltd,$0.92 ,TRUE,,No data fetched for symbol LYOPF using YahooDailyReader,,,,,,,,,
LXWKF,LWP Capital Inc,$0.02 ,TRUE,,No data fetched for symbol LXWKF using YahooDailyReader,,,,,,,,,
LUXGF,Luxottica Group SpA,$58.25 ,TRUE,,No data fetched for symbol LUXGF using YahooDailyReader,,,,,,,,,
LUXTY,Luxottica Group SpA,$55.80 ,TRUE,,No data fetched for symbol LUXTY using YahooDailyReader,,,,,,,,,
LXFT,Luxoft Holding Inc,$58.99 ,TRUE,,No data fetched for symbol LXFT using YahooDailyReader,,,,,,,,,
LXEEF,Luxempart SA,$41.50 ,TRUE,,No data fetched for symbol LXEEF using YahooDailyReader,,,,,,,,,
LUPTF,Lupatech SA,$13.97 ,TRUE,,No data fetched for symbol LUPTF using YahooDailyReader,,,,,,,,,
LUNCF,Lundin Mining Corp,$4.90 ,TRUE,,No data fetched for symbol LUNCF using YahooDailyReader,,,,,,,,,
LNDNY,Lundin Energy AB,$18.26 ,TRUE,,No data fetched for symbol LNDNY using YahooDailyReader,,,,,,,,,
LGCUF,Luna Gold Corp,$1.22 ,TRUE,,'Date',,,,,,,,,
GTTXF,LumX Group Ltd,$0.20 ,TRUE,,No data fetched for symbol GTTXF using YahooDailyReader,,,,,,,,,
LMOS,Lumos Networks Corp,$17.98 ,TRUE,,'Date',,,,,,,,,
LMPLF,Lumenpulse Inc,$16.03 ,TRUE,,'Date',,,,,,,,,
LMNS,Lumenis Ltd,$13.76 ,TRUE,,'Date',,,,,,,,,
LDSN,Luduson G Inc,$0.13 ,TRUE,,No data fetched for symbol LDSN using YahooDailyReader,,,,,,,,,
LUCFF,Lucid Entertainment Inc,$0.06 ,TRUE,,'Date',,,,,,,,,
LUCAF,Lucas Bols NV,$16.55 ,TRUE,,No data fetched for symbol LUCAF using YahooDailyReader,,,,,,,,,
LCPDF,Lucapa Diamond Co Ltd,$0.01 ,TRUE,,No data fetched for symbol LCPDF using YahooDailyReader,,,,,,,,,
LSRGL,LSR Group PJSC,$2.53 ,TRUE,,No data fetched for symbol LSRGL using YahooDailyReader,,,,,,,,,
LSITF,LSI Software SA,$1.72 ,TRUE,,No data fetched for symbol LSITF using YahooDailyReader,,,,,,,,,
LSSCF,LSC Lithium Corp,$0.49 ,TRUE,,No data fetched for symbol LSSCF using YahooDailyReader,,,,,,,,,
LRE,LRR Energy LP,$4.32 ,TRUE,,'Date',,,,,,,,,
LPPSY,LPP SA,$32.17 ,TRUE,,No data fetched for symbol LPPSY using YahooDailyReader,,,,,,,,,
LOXO,Loxo Oncology Inc,$234.66 ,TRUE,,No data fetched for symbol LOXO using YahooDailyReader,,,,,,,,,
LOWRF,Low & Bonar PLC,$0.16 ,TRUE,,No data fetched for symbol LOWRF using YahooDailyReader,,,,,,,,,
LTSSF,Lotus Bakeries NV,"$2,500.00 ",TRUE,,No data fetched for symbol LTSSF using YahooDailyReader,,,,,,,,,
LTTOF,Lotto24 AG,$12.30 ,TRUE,,No data fetched for symbol LTTOF using YahooDailyReader,,,,,,,,,
LTTFF,Lotte Corp,$0.63 ,TRUE,,No data fetched for symbol LTTFF using YahooDailyReader,,,,,,,,,
MMCLF,Los Cerros Ltd,$0.01 ,TRUE,,No data fetched for symbol MMCLF using YahooDailyReader,,,,,,,,,
LRCPF,Lorraine Copper Corp,$0.21 ,TRUE,,No data fetched for symbol LRCPF using YahooDailyReader,,,,,,,,,
LOIMY,Loomis AB,$40.50 ,TRUE,,No data fetched for symbol LOIMY using YahooDailyReader,,,,,,,,,
LOOK,LookSmart Ltd,$0.65 ,TRUE,,'Date',,,,,,,,,
LNMIY,Lonmin PLC,$1.02 ,TRUE,,No data fetched for symbol LNMIY using YahooDailyReader,,,,,,,,,
LNMIF,Lonmin PLC,$0.98 ,TRUE,,No data fetched for symbol LNMIF using YahooDailyReader,,,,,,,,,
WFREF,Long Run Exploration Ltd,$0.55 ,TRUE,,No data fetched for symbol WFREF using YahooDailyReader,,,,,,,,,
LOLI,Lollipop Corp,$1.05 ,TRUE,,No data fetched for symbol LOLI using YahooDailyReader,,,,,,,,,
LOKNF,Lok'n Store Group PLC,$6.07 ,TRUE,,No data fetched for symbol LOKNF using YahooDailyReader,,,,,,,,,
LOJPF,Lojas Americanas SA,$5.56 ,TRUE,,No data fetched for symbol LOJPF using YahooDailyReader,,,,,,,,,
LOAMF,Lojas Americanas SA,$4.22 ,TRUE,,No data fetched for symbol LOAMF using YahooDailyReader,,,,,,,,,
LOJN,LoJack Corp,$6.44 ,TRUE,,'Date',,,,,,,,,
LIIZF,Logan International Inc,$1.28 ,TRUE,,No data fetched for symbol LIIZF using YahooDailyReader,,,,,,,,,
LZRFF,Localiza Rent A Car SA,$11.48 ,TRUE,,No data fetched for symbol LZRFF using YahooDailyReader,,,,,,,,,
LNPR,LNPR Group Inc,$0.30 ,TRUE,,No data fetched for symbol LNPR using YahooDailyReader,,,,,,,,,
LMIA,LMI Aerospace Inc,$13.99 ,TRUE,,'Date',,,,,,,,,
LIVV,LivingVentures Inc,$0.06 ,TRUE,,No data fetched for symbol LIVV using YahooDailyReader,,,,,,,,,
LTUC,Little Sioux Corn Processors LLC,$650.00 ,TRUE,,No data fetched for symbol LTUC using YahooDailyReader,,,,,,,,,
LIXXF,Lithium X Energy Corp,$1.99 ,TRUE,,No data fetched for symbol LIXXF using YahooDailyReader,,,,,,,,,
LQNGF,Liquid Nutrition Group Inc,$0.10 ,TRUE,,No data fetched for symbol LQNGF using YahooDailyReader,,,,,,,,,
LGF.A,Lions Gate Entertainment Corp,$9.49 ,TRUE,,No data fetched for symbol LGF.A using YahooDailyReader,,,,,,,,,
LIOX,Lionbridge Technologies Inc,$5.75 ,TRUE,,'Date',,,,,,,,,
LNCOQ,LinnCo LLC,$0.04 ,TRUE,,'Date',,,,,,,,,
LNKD,LinkedIn Corp,$195.96 ,TRUE,,'Date',,,,,,,,,
LGBOF,Lingbao Gold Co Ltd,$0.16 ,TRUE,,No data fetched for symbol LGBOF using YahooDailyReader,,,,,,,,,
LLTC,Linear Technology Corp,$65.00 ,TRUE,,'Date',,,,,,,,,
LNCYF,Linc Energy Ltd,$0.10 ,TRUE,,No data fetched for symbol LNCYF using YahooDailyReader,,,,,,,,,
