symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs,close_ups,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
DALQF,D&L Industries Inc,$0.17 ,True,,No data fetched for symbol DALQF using YahooDailyReader,,,,,,,,,
DMCOF,d?Amico International Shipping SA,$0.53 ,True,,No data fetched for symbol DMCOF using YahooDailyReader,,,,,,,,,
DGDH,Dadongnan Holding Co,$0.01 ,True,,No data fetched for symbol DGDH using YahooDailyReader,,,,,,,,,
DAEG,Daegis Inc,$0.80 ,True,,'Date',,,,,,,,,
DATWY,Daetwyler Holding AG,$77.20 ,True,,No data fetched for symbol DATWY using YahooDailyReader,,,,,,,,,
DAHCF,Dah Chong Hong Holdings Ltd,$0.47 ,True,,No data fetched for symbol DAHCF using YahooDailyReader,,,,,,,,,
DAHCY,Dah Chong Hong Holdings Ltd,$5.17 ,True,,'Date',,,,,,,,,
DHSBF,Dah Sing Banking Group Ltd,$1.95 ,True,,No data fetched for symbol DHSBF using YahooDailyReader,,,,,,,,,
DHUA,Dahua Inc,$0.05 ,True,,'Date',,,,,,,,,
DIBUY,Daibiru Corp,$14.20 ,True,,No data fetched for symbol DIBUY using YahooDailyReader,,,,,,,,,
DADSF,Daido Steel Co Ltd,$6.87 ,True,,No data fetched for symbol DADSF using YahooDailyReader,,,,,,,,,
DHTMF,Daihatsu Motor Co Ltd,$14.85 ,True,,'Date',,,,,,,,,
DHTMY,Daihatsu Motor Co Ltd,$28.60 ,True,,'Date',,,,,,,,,
DKYOF,Daikyo Inc,$1.70 ,True,,'Date',,,,,,,,,
DMTGY,Daily Mail and General Trust PLC,$10.38 ,True,,No data fetched for symbol DMTGY using YahooDailyReader,,,,,,,,,
DDAIY,Daimler AG,$73.83 ,True,,'Date',,,,,,,,,
DRCSY,Dairy Crest Group PLC,$0.50 ,True,,No data fetched for symbol DRCSY using YahooDailyReader,,,,,,,,,
DAWUF,Daiwa House REIT Investment Corp,"$2,100.00 ",True,,No data fetched for symbol DAWUF using YahooDailyReader,,,,,,,,,
DLXXF,Dalet SA,$13.18 ,True,,No data fetched for symbol DLXXF using YahooDailyReader,,,,,,,,,
DWNDF,Dalian Wanda Commercial Properties Co Ltd,$6.84 ,True,,No data fetched for symbol DWNDF using YahooDailyReader,,,,,,,,,
DRLDF,Dalradian Resources Inc,$1.11 ,True,,No data fetched for symbol DRLDF using YahooDailyReader,,,,,,,,,
PORS,Dane Exploration Inc,$0.13 ,True,,'Date',,,,,,,,,
DRWB,Darien Rowayton Bank,$7.00 ,True,,No data fetched for symbol DRWB using YahooDailyReader,,,,,,,,,
DRTF,Dart Financial Corp,$6.25 ,True,,No data fetched for symbol DRTF using YahooDailyReader,,,,,,,,,
KESAF,Darty PLC,$2.17 ,True,,'Date',,,,,,,,,
DDBXF,Data Deposit Box Inc,$0.01 ,True,,No data fetched for symbol DDBXF using YahooDailyReader,,,,,,,,,
DSTO,Data Systems,$2.50 ,True,,'Date',,,,,,,,,
DATX,Data Translation Inc,$0.34 ,True,,'Date',,,,,,,,,
DLEXF,Datalex PLC,$2.63 ,True,,No data fetched for symbol DLEXF using YahooDailyReader,,,,,,,,,
DLEXY,Datalex PLC,$1.50 ,True,,No data fetched for symbol DLEXY using YahooDailyReader,,,,,,,,,
DTLK,Datalink Corp,$11.24 ,True,,'Date',,,,,,,,,
DTTLY,Datatec Ltd,$4.20 ,True,,No data fetched for symbol DTTLY using YahooDailyReader,,,,,,,,,
DVOO,Davidson Optronics Inc,$0.85 ,True,,'Date',,,,,,,,,
DVFL,Davis Trust Financial Corp.,$22.19 ,True,,No data fetched for symbol DVFL using YahooDailyReader,,,,,,,,,
