symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
SYMJF,SYSTEMS DESIGN Co Ltd,$5.25 ,True,,No data fetched for symbol SYMJF using YahooDailyReader,,,,,,,,,
SYUT,Synutra International Inc,$6.05 ,True,,'Date',,,,,,,,,
SNTTF,Syntonic Ltd,$0.03 ,True,,No data fetched for symbol SNTTF using YahooDailyReader,,,,,,,,,
SYNYY,Synthos SA,$16.40 ,True,,No data fetched for symbol SYNYY using YahooDailyReader,,,,,,,,,
THOR,Synthorx Inc,$67.99 ,True,,No data fetched for symbol THOR using YahooDailyReader,,,,,,,,,
SYNMF,Synthetic MR AB,$29.50 ,True,,No data fetched for symbol SYNMF using YahooDailyReader,,,,,,,,,
SYT,Syngenta AG,$92.90 ,True,,'Date',,,,,,,,,
ELOS,Syneron Medical Ltd,$11.00 ,True,,'Date',,,,,,,,,
SGYPQ,Synergy Pharmaceuticals Inc,$0.01 ,True,,No data fetched for symbol SGYPQ using YahooDailyReader,,,,,,,,,
SYHEF,Synergy Health PLC,$26.41 ,True,,'Date',,,,,,,,,
SETPY,Symphony Environmental Technologies PLC,$19.01 ,True,,No data fetched for symbol SETPY using YahooDailyReader,,,,,,,,,
SSRG,Symmetry Surgical Inc,$13.18 ,True,,'Date',,,,,,,,,
SYA,Symetra Financial Corp,$32.02 ,True,,'Date',,,,,,,,,
SYMQY,SymBio Pharmaceuticals Ltd,$2.45 ,True,,No data fetched for symbol SYMQY using YahooDailyReader,,,,,,,,,
SYANF,Sydbank A/S,$37.79 ,True,,No data fetched for symbol SYANF using YahooDailyReader,,,,,,,,,
SCMR,Sycamore Networks Inc,$0.23 ,True,,'Date',,,,,,,,,
SWSQY,Swissquote Group Holding SA,$51.61 ,True,,No data fetched for symbol SWSQY using YahooDailyReader,,,,,,,,,
SWHN,SwissINSO Holding Inc,$0.01 ,True,,'Date',,,,,,,,,
SZBHF,Swiss Steel Holding AG,$0.30 ,True,,No data fetched for symbol SZBHF using YahooDailyReader,,,,,,,,,
SWROY,Swire Properties Ltd,$17.25 ,True,,No data fetched for symbol SWROY using YahooDailyReader,,,,,,,,,
SWFT,Swift Transportation Co,$40.96 ,True,,'Date',,,,,,,,,
SWBRF,Swiber Holdings Ltd,$0.14 ,True,,No data fetched for symbol SWBRF using YahooDailyReader,,,,,,,,,
SWTUY,Swedish Orphan Biovitrum AB,$24.38 ,True,,No data fetched for symbol SWTUY using YahooDailyReader,,,,,,,,,
SWNG,Swan Group of Companies Inc,$0.02 ,True,,No data fetched for symbol SWNG using YahooDailyReader,,,,,,,,,
SZUKF,Suzuken Co Ltd,$29.09 ,True,,No data fetched for symbol SZUKF using YahooDailyReader,,,,,,,,,
SUTB,Sutter Community Bank,$8.35 ,True,,No data fetched for symbol SUTB using YahooDailyReader,,,,,,,,,
SCOCF,Surteco Group SE,$24.40 ,True,,No data fetched for symbol SCOCF using YahooDailyReader,,,,,,,,,
SCAI,Surgical Care Affiliates Inc,$55.87 ,True,,'Date',,,,,,,,,
SRYP,Surety Capital Corp,$0.01 ,True,,'Date',,,,,,,,,
CNTGF,Superior Copper Corp,$0.01 ,True,,'Date',,,,,,,,,
SPPLF,Superglass Holdings PLC,$43.45 ,True,,No data fetched for symbol SPPLF using YahooDailyReader,,,,,,,,,
SSGRF,Super Retail Group Ltd,$6.48 ,True,,No data fetched for symbol SSGRF using YahooDailyReader,,,,,,,,,
SSGPY,Super Group Ltd,$2.06 ,True,,No data fetched for symbol SSGPY using YahooDailyReader,,,,,,,,,
SUPCF,Supalai PCL,$0.48 ,True,,No data fetched for symbol SUPCF using YahooDailyReader,,,,,,,,,
SMNCF,Suominen Oyj,$2.39 ,True,,No data fetched for symbol SMNCF using YahooDailyReader,,,,,,,,,
SWBC,Sunwest Bank,"$51,000.00 ",True,,'Date',,,,,,,,,
SWYAF,sunways AG,$0.65 ,True,,'Date',,,,,,,,,
SUWG,Sunway Global Inc,$0.10 ,True,,'Date',,,,,,,,,
SBCP,Sunshine Bancorp Inc,$22.94 ,True,,'Date',,,,,,,,,
SSPAF,Sunset Pacific Petroleum Ltd,$0.02 ,True,,No data fetched for symbol SSPAF using YahooDailyReader,,,,,,,,,
CDOOF,Sunrise Resources Ltd,$0.01 ,True,,No data fetched for symbol CDOOF using YahooDailyReader,,,,,,,,,
SGCNF,Sunridge Gold Corp,$0.03 ,True,,'Date',,,,,,,,,
SRGRF,Sunpower Group Ltd,$0.23 ,True,,No data fetched for symbol SRGRF using YahooDailyReader,,,,,,,,,
SNLGF,Sunland Group Ltd,$1.05 ,True,,'Date',,,,,,,,,
SGMZ,Sungame Corp,$0.01 ,True,,'Date',,,,,,,,,
SVNHF,Sunevision Holdings Ltd,$0.18 ,True,,No data fetched for symbol SVNHF using YahooDailyReader,,,,,,,,,
SEMI,SunEdison Semiconductor Ltd,$11.95 ,True,,'Date',,,,,,,,,
SUNEQ,SunEdison Inc,$0.01 ,True,,'Date',,,,,,,,,
SUDCF,Sundance Resources Ltd,$0.01 ,True,,No data fetched for symbol SUDCF using YahooDailyReader,,,,,,,,,
SDCJF,Sundance Energy Inc,$0.05 ,True,,No data fetched for symbol SDCJF using YahooDailyReader,,,,,,,,,
SXCP,SunCoke Energy Partners LP,$12.41 ,True,,No data fetched for symbol SXCP using YahooDailyReader,,,,,,,,,
