symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
YUME,YuMe Inc,$3.70 ,True,,'Date',,,,,,,,,
GUAZY,Yuexiu Property Co Ltd,$3.30 ,True,,No data fetched for symbol GUAZY using YahooDailyReader,,,,,,,,,
YUNW,Yuanwang Rich Selenium Agricultural Products Group,$0.25 ,True,,No data fetched for symbol YUNW using YahooDailyReader,,,,,,,,,
YNSGF,YuanShengTai Dairy Farm Ltd,$0.04 ,True,,No data fetched for symbol YNSGF using YahooDailyReader,,,,,,,,,
YTLCF,YTL Corp Bhd,$0.26 ,True,,No data fetched for symbol YTLCF using YahooDailyReader,,,,,,,,,
YSTR,Ystrategies Corp,$0.21 ,True,,No data fetched for symbol YSTR using YahooDailyReader,,,,,,,,,
YPFSF,YPF Sociedad Anonima,$24.46 ,True,,'Date',,,,,,,,,
YCB,Your Community Bankshares Inc,$39.37 ,True,,'Date',,,,,,,,,
YOKU,Youku Tudou Inc,$27.54 ,True,,'Date',,,,,,,,,
YKYOF,Yorkey Optical International (Cayman) Ltd,$0.14 ,True,,No data fetched for symbol YKYOF using YahooDailyReader,,,,,,,,,
YCRGD,York Corrugating Co,$275.25 ,True,,No data fetched for symbol YCRGD using YahooDailyReader,,,,,,,,,
YXOXY,YOOX Net-A-Porter Group SpA,$48.46 ,True,,No data fetched for symbol YXOXY using YahooDailyReader,,,,,,,,,
YXOXF,YOOX Net-A-Porter Group SpA,$45.48 ,True,,No data fetched for symbol YXOXF using YahooDailyReader,,,,,,,,,
YNKUF,Yonkyu Co Ltd,$11.95 ,True,,No data fetched for symbol YNKUF using YahooDailyReader,,,,,,,,,
YOHOF,Yoho Resources Inc,$0.37 ,True,,No data fetched for symbol YOHOF using YahooDailyReader,,,,,,,,,
YDLE,Yodlee Inc,$17.37 ,True,,No data fetched for symbol YDLE using YahooDailyReader,,,,,,,,,
YTHL,Yingtui Holdings Ltd,$0.04 ,True,,No data fetched for symbol YTHL using YahooDailyReader,,,,,,,,,
UBLI,Yinghong Guangda Technology Ltd,$0.01 ,True,,'Date',,,,,,,,,
YNGDF,Yingde Gases Group Co Ltd,$0.39 ,True,,No data fetched for symbol YNGDF using YahooDailyReader,,,,,,,,,
YINGY,Yingde Gases Group Co Ltd,$7.33 ,True,,No data fetched for symbol YINGY using YahooDailyReader,,,,,,,,,
YDNCF,YIELDPLUS Income Fund,$4.74 ,True,,No data fetched for symbol YDNCF using YahooDailyReader,,,,,,,,,
YHIIF,YHI International Ltd,$0.26 ,True,,'Date',,,,,,,,,
YHMGF,Yellowhead Mining Inc,$0.67 ,True,,No data fetched for symbol YHMGF using YahooDailyReader,,,,,,,,,
YLLWF,Yellow Hat Ltd,$21.44 ,True,,No data fetched for symbol YLLWF using YahooDailyReader,,,,,,,,,
ECPCF,YDUQS Participacoes SA,$11.11 ,True,,No data fetched for symbol ECPCF using YahooDailyReader,,,,,,,,,
YVKBY,Yapi Ve Kredi Bankasi AS,$2.07 ,True,,No data fetched for symbol YVKBY using YahooDailyReader,,,,,,,,,
YLDGF,Yanlord Land Group Ltd,$1.21 ,True,,No data fetched for symbol YLDGF using YahooDailyReader,,,,,,,,,
YMMUF,Yang Ming Marine Transport Corp,$4.00 ,True,,No data fetched for symbol YMMUF using YahooDailyReader,,,,,,,,,
YMMTY,Yang Ming Marine Transport Corp,$4.25 ,True,,No data fetched for symbol YMMTY using YahooDailyReader,,,,,,,,,
YFGSF,Yamaguchi Financial Group Inc,$11.44 ,True,,No data fetched for symbol YFGSF using YahooDailyReader,,,,,,,,,
YDKN,Yadkin Financial Corp,$34.48 ,True,,'Date',,,,,,,,,
