symbol,company,price,ignore,ignore_error,start_yr,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs
CMRDF,C Mer Industries Ltd,$5.20 ,TRUE,No data fetched for symbol CMRDF using YahooDailyReader,,,,,
CJ,C&J Energy Services Inc,$7.36 ,TRUE,No data fetched for symbol CJ using YahooDailyReader,,,,,
CTAIF,C. P. Lotus Corp,$0.01 ,TRUE,No data fetched for symbol CTAIF using YahooDailyReader,,,,,
CUYRF,C. Uyemura & Co Ltd,$60.50 ,TRUE,No data fetched for symbol CUYRF using YahooDailyReader,,,,,
CABF,CAB Financial Corp,$16.83 ,TRUE,No data fetched for symbol CABF using YahooDailyReader,,,,,
CWIXF,Cable & Wireless Communications PLC,$1.10 ,TRUE,No data fetched for symbol CWIXF using YahooDailyReader,,,,,
CVC,Cablevision Systems Corp,$34.87 ,TRUE,'Date',,,,,
NNPTF,Cabot Energy PLC,$0.06 ,TRUE,No data fetched for symbol NNPTF using YahooDailyReader,,,,,
CADAF,Cadan Resources Corp,$0.03 ,TRUE,No data fetched for symbol CADAF using YahooDailyReader,,,,,
CACQ,Caesars Acquisition Co,$21.25 ,TRUE,'Date',,,,,
CRRNF,Cairn Homes PLC,$1.43 ,TRUE,No data fetched for symbol CRRNF using YahooDailyReader,,,,,
CAMYF,Caisse Regionale de Credit Agricole Mutuel de Pari,$91.50 ,TRUE,No data fetched for symbol CAMYF using YahooDailyReader,,,,,
CRDMF,Caisse Regionale du Credit Agricole Mutuel du Lang,$65.01 ,TRUE,No data fetched for symbol CRDMF using YahooDailyReader,,,,,
CLMS,Calamos Asset Management Inc,$8.28 ,TRUE,'Date',,,,,
CLBGF,Calibre Group Ltd,$0.07 ,TRUE,No data fetched for symbol CLBGF using YahooDailyReader,,,,,
CVXHF,Calico Resources Corp,$0.13 ,TRUE,'Date',,,,,
CLMC,California Mines Corp,$0.20 ,TRUE,No data fetched for symbol CLMC using YahooDailyReader,,,,,
CRPB,California Republic Bancorp,$37.17 ,TRUE,'Date',,,,,
CCAOF,Callidus Capital Corp,$0.55 ,TRUE,No data fetched for symbol CCAOF using YahooDailyReader,,,,,
CLKNF,Calsonic Kansei Corp,$15.00 ,TRUE,No data fetched for symbol CLKNF using YahooDailyReader,,,,,
CALW,CalWest Bancorp,$0.35 ,TRUE,No data fetched for symbol CALW using YahooDailyReader,,,,,
CMBGF,Cambian Group PLC,$2.58 ,TRUE,No data fetched for symbol CMBGF using YahooDailyReader,,,,,
CAM,Cameron International Corp,$66.01 ,TRUE,'Date',,,,,
CMPQF,Campar Capital Corp,$0.16 ,TRUE,No data fetched for symbol CMPQF using YahooDailyReader,,,,,
CCG,Campus Crest Communities Inc,$7.00 ,TRUE,'Date',,,,,
CFBFF,Can Fite Biofarma Ltd,$1.88 ,TRUE,No data fetched for symbol CFBFF using YahooDailyReader,,,,,
