symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
MYRIF,Myriad Group AG,$0.30 ,True,,No data fetched for symbol MYRIF using YahooDailyReader,,,,,,,,,
MYFCF,myFC Holding AB,$1.48 ,True,,No data fetched for symbol MYFCF using YahooDailyReader,,,,,,,,,
MYGSF,Myer Holdings Ltd,$0.97 ,True,,No data fetched for symbol MYGSF using YahooDailyReader,,,,,,,,,
MFSF,MutualFirst Financial Inc,$24.87 ,True,,No data fetched for symbol MFSF using YahooDailyReader,,,,,,,,,
ITTRF,Must Capital Inc,$0.05 ,True,,No data fetched for symbol ITTRF using YahooDailyReader,,,,,,,,,
MURZY,Murray And Roberts Holdings Ltd,$0.77 ,True,,No data fetched for symbol MURZY using YahooDailyReader,,,,,,,,,
MURSF,Murray And Roberts Holdings Ltd,$1.10 ,True,,No data fetched for symbol MURSF using YahooDailyReader,,,,,,,,,
PPOLF,Multipolar Tbk,$0.01 ,True,,No data fetched for symbol PPOLF using YahooDailyReader,,,,,,,,,
MLTPF,Multiplus SA,$15.46 ,True,,No data fetched for symbol MLTPF using YahooDailyReader,,,,,,,,,
MXRNF,Multiplex European Property Fund,$0.03 ,True,,No data fetched for symbol MXRNF using YahooDailyReader,,,,,,,,,
MFLX,Multi-Fineline Electronix Inc,$23.09 ,True,,'Date',,,,,,,,,
LABL,Multi-Color Corp,$50.01 ,True,,No data fetched for symbol LABL using YahooDailyReader,,,,,,,,,
MPSX,Multi Packaging Solutions International Ltd,$18.00 ,True,,'Date',,,,,,,,,
MUDS,Mudrick Capital Acquisition Corp,$12.65 ,True,,No data fetched for symbol MUDS using YahooDailyReader,,,,,,,,,
MYTG,Mu Yan Technology Group Co Ltd,$4.10 ,True,,No data fetched for symbol MYTG using YahooDailyReader,,,,,,,,,
MTMC,MTM Technologies Inc,$0.25 ,True,,'Date',,,,,,,,,
MYTIF,MTI Ltd,"$1,986.83 ",True,,No data fetched for symbol MYTIF using YahooDailyReader,,,,,,,,,
MHLG,MSO Holdings Inc,$0.10 ,True,,No data fetched for symbol MHLG using YahooDailyReader,,,,,,,,,
MRVC,MRV Communications Inc,$9.98 ,True,,'Date',,,,,,,,,
MPXEF,MPX Bioceutical Corp,$0.92 ,True,,No data fetched for symbol MPXEF using YahooDailyReader,,,,,,,,,
MPMQ,MPM Holdings Inc,$31.85 ,True,,No data fetched for symbol MPMQ using YahooDailyReader,,,,,,,,,
MNIGF,MPI SA,$5.93 ,True,,No data fetched for symbol MNIGF using YahooDailyReader,,,,,,,,,
MPHBF,MPHB Capital Bhd,$0.25 ,True,,No data fetched for symbol MPHBF using YahooDailyReader,,,,,,,,,
MPPTF,Mpact Ltd,$1.62 ,True,,No data fetched for symbol MPPTF using YahooDailyReader,,,,,,,,,
MMOEF,Mount Dakota Energy Corp,$0.01 ,True,,No data fetched for symbol MMOEF using YahooDailyReader,,,,,,,,,
MDSVF,Motion Display Scandinavia AB,$0.56 ,True,,No data fetched for symbol MDSVF using YahooDailyReader,,,,,,,,,
MTFB,Motif Bio PLC,$0.11 ,True,,No data fetched for symbol MTFB using YahooDailyReader,,,,,,,,,
MHCRF,Mothercare PLC,$0.88 ,True,,'Date',,,,,,,,,
MOLB,Mother Lode Bk Sonora Ca,$1.58 ,True,,'Date',,,,,,,,,
MOSC,Mosaic Acquisition Corp,$9.90 ,True,,No data fetched for symbol MOSC using YahooDailyReader,,,,,,,,,
MRGIF,MORI TRUST Sogo Reit Inc,"$1,828.90 ",True,,No data fetched for symbol MRGIF using YahooDailyReader,,,,,,,,,
MHGC,Morgans Hotel Group Co,$2.15 ,True,,'Date',,,,,,,,,
MGSDF,Morgan Sindall Group PLC,$10.73 ,True,,'Date',,,,,,,,,
MORG,Morgan Financial Corp,$10.44 ,True,,No data fetched for symbol MORG using YahooDailyReader,,,,,,,,,
MOTMY,Mooter Media Ltd,$0.10 ,True,,No data fetched for symbol MOTMY using YahooDailyReader,,,,,,,,,
MOG.B,Moog Inc,$74.25 ,True,,No data fetched for symbol MOG.B using YahooDailyReader,,,,,,,,,
MOG.A,Moog Inc,$77.81 ,True,,'Date',,,,,,,,,
FDMCF,Mood Media Corp,$0.12 ,True,,No data fetched for symbol FDMCF using YahooDailyReader,,,,,,,,,
MWW,Monster Worldwide Inc,$3.41 ,True,,'Date',,,,,,,,,
