symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
WYNYF,Wynyard Group Ltd,$1.69 ,True,,No data fetched for symbol WYNYF using YahooDailyReader,,,,,,,,,
WUYIF,Wuyi International Pharmaceutical Co Ltd,$0.04 ,True,,No data fetched for symbol WUYIF using YahooDailyReader,,,,,,,,,
WX,WuXi PharmaTech (Cayman) Inc,$45.90 ,True,,'Date',,,,,,,,,
WUMSY,Wumart Stores Inc,$7.61 ,True,,No data fetched for symbol WUMSY using YahooDailyReader,,,,,,,,,
WFEMF,Woulfe Mining Corp,$0.05 ,True,,No data fetched for symbol WFEMF using YahooDailyReader,,,,,,,,,
WVVEF,WorldVest Equity Inc,$0.01 ,True,,No data fetched for symbol WVVEF using YahooDailyReader,,,,,,,,,
WP,Worldpay Inc,$135.00 ,True,,No data fetched for symbol WP using YahooDailyReader,,,,,,,,,
WPYGY,Worldpay Group PLC,$18.36 ,True,,No data fetched for symbol WPYGY using YahooDailyReader,,,,,,,,,
WDDYF,Worldpay Group PLC,$5.85 ,True,,No data fetched for symbol WDDYF using YahooDailyReader,,,,,,,,,
WRGP,World Racing Group Inc,$0.10 ,True,,No data fetched for symbol WRGP using YahooDailyReader,,,,,,,,,
WPT,World Point Terminals LP,$17.29 ,True,,'Date',,,,,,,,,
WDFPF,World Duty Free SpA,$11.53 ,True,,No data fetched for symbol WDFPF using YahooDailyReader,,,,,,,,,
OZAMY,Woomera Mining Ltd,$0.17 ,True,,No data fetched for symbol OZAMY using YahooDailyReader,,,,,,,,,
WKKHF,Wong's Kong King International (Holdings) Ltd,$0.08 ,True,,No data fetched for symbol WKKHF using YahooDailyReader,,,,,,,,,
WNGFF,Wong's International Holdings Ltd,$0.32 ,True,,No data fetched for symbol WNGFF using YahooDailyReader,,,,,,,,,
