,symbol,company,price,ignore,schedule,start_yr,ignore_error
4,OSTLY,A.C.N 004 410 833 Ltd,$0.30 ,TRUE,,,No data fetched for symbol OSTLY using YahooDailyReader
7,CBRGF,A2B Australia Ltd,$1.98 ,TRUE,,,No data fetched for symbol CBRGF using YahooDailyReader
8,AAAG,AAA Century Group USA Inc,$0.42 ,TRUE,,,No data fetched for symbol AAAG using YahooDailyReader
11,AAIDY,Aalberts NV,$1.69 ,TRUE,,,No data fetched for symbol AAIDY using YahooDailyReader
14,AAHTF,Aapico Hitech PLC,$0.53 ,TRUE,,,No data fetched for symbol AAHTF using YahooDailyReader
18,ABTBF,AB Biotics,$1.75 ,TRUE,,,No data fetched for symbol ABTBF using YahooDailyReader
20,OXFSF,Abaco Capital PLC,$0.21 ,TRUE,,,No data fetched for symbol OXFSF using YahooDailyReader
21,ABAHF,Abacus Health Products Inc,$4.84 ,TRUE,,,No data fetched for symbol ABAHF using YahooDailyReader
23,ABPPF,Abacus Property Group,$1.85 ,TRUE,,,No data fetched for symbol ABPPF using YahooDailyReader
24,NCGOF,Abanca Corporacion Bancaria SA,$0.77 ,TRUE,,,No data fetched for symbol NCGOF using YahooDailyReader
28,ABCR,ABC Records Management and Data Storage Inc,$0.65 ,TRUE,,,'Date'
31,ABGBY,Abengoa SA,$1.06 ,TRUE,,,'Date'
36,ABDNF,Aberdeen Asset Management PLC,$4.35 ,TRUE,,,'Date'
37,ABDNY,Aberdeen Asset Management PLC,$8.31 ,TRUE,,,'Date'
46,ABRTY,Abertis Infraestructuras SA,$0.04 ,TRUE,,,No data fetched for symbol ABRTY using YahooDailyReader
49,THRPF,Abionyx Pharma,$0.23 ,TRUE,,,No data fetched for symbol THRPF using YahooDailyReader
51,ABLYF,Ablynx NV,$50.63 ,TRUE,,,No data fetched for symbol ABLYF using YahooDailyReader
53,ABNRY,ABN AMRO Bank NV,$10.46 ,TRUE,,,No data fetched for symbol ABNRY using YahooDailyReader
57,ABSTF,Absolute Invest AG,$28.20 ,TRUE,,,No data fetched for symbol ABSTF using YahooDailyReader
58,ABHD,Abtech Holdings Inc,$1.08 ,TRUE,,,No data fetched for symbol ABHD using YahooDailyReader
59,ACPIF,AC Energy Philippines Inc,$0.03 ,TRUE,,,No data fetched for symbol ACPIF using YahooDailyReader
60,ACSX,AC Simmonds and Sons Inc,$10.25 ,TRUE,,,No data fetched for symbol ACSX using YahooDailyReader
62,ABGLF,Acacia Mining PLC,$3.09 ,TRUE,,,No data fetched for symbol ABGLF using YahooDailyReader
63,ABGLY,Acacia Mining PLC,$5.00 ,TRUE,,,No data fetched for symbol ABGLY using YahooDailyReader
69,ATHVF,Acanthe Developpement SA,$0.88 ,TRUE,,,No data fetched for symbol ATHVF using YahooDailyReader
72,ACSBL,Access Bank PLC,$0.08 ,TRUE,,,No data fetched for symbol ACSBL using YahooDailyReader
73,AIEDF,Access International Education Ltd,$0.23 ,TRUE,,,No data fetched for symbol AIEDF using YahooDailyReader
78,ACGFF,Accordia Golf Co Ltd,$10.00 ,TRUE,,,No data fetched for symbol ACGFF using YahooDailyReader
79,ACGFY,Accordia Golf Co Ltd,$10.79 ,TRUE,,,No data fetched for symbol ACGFY using YahooDailyReader
81,ACCCF,Accton Technology Corp,$7.40 ,TRUE,,,No data fetched for symbol ACCCF using YahooDailyReader
82,ACTZF,Accton Technology Corp,$1.20 ,TRUE,,,No data fetched for symbol ACTZF using YahooDailyReader
84,ACW,Accuride Corp,$2.58 ,TRUE,,,'Date'
89,ANIOF,Acerinox SA,$15.30 ,TRUE,,,'Date'
91,ACETQ,Aceto Corp,$0.11 ,TRUE,,,No data fetched for symbol ACETQ using YahooDailyReader
92,ANPNF,Acheron Portfolio Corp (Luxembourg) SA,$1.10 ,TRUE,,,No data fetched for symbol ANPNF using YahooDailyReader
94,ACHN,Achillion Pharmaceuticals Inc,$6.76 ,TRUE,,,No data fetched for symbol ACHN using YahooDailyReader
97,ACMA,ACM Corp,$0.08 ,TRUE,,,No data fetched for symbol ACMA using YahooDailyReader
100,ACME,ACME Communications Inc,$0.04 ,TRUE,,,'Date'
103,ACMUY,Acom Co Ltd,$1.00 ,TRUE,,,No data fetched for symbol ACMUY using YahooDailyReader
104,ACNXF,Aconex Ltd,$6.08 ,TRUE,,,No data fetched for symbol ACNXF using YahooDailyReader
109,AIII,ACRE Realty Investors Inc,$0.82 ,TRUE,,,'Date'
110,NMNRF,Acrow Formwork and Construction Services Ltd,$0.30 ,TRUE,,,No data fetched for symbol NMNRF using YahooDailyReader
115,ALIOY,Actelion Ltd,$70.00 ,TRUE,,,No data fetched for symbol ALIOY using YahooDailyReader
116,ATLIF,Actelion Ltd,$285.00 ,TRUE,,,No data fetched for symbol ATLIF using YahooDailyReader
117,ACTS,Actions Semiconductor Co Ltd,$2.14 ,TRUE,,,'Date'
118,ATVBF,Active Biotech AB,$1.65 ,TRUE,,,No data fetched for symbol ATVBF using YahooDailyReader
120,AUCL,Acucela Inc,$11.40 ,TRUE,,,'Date'
124,ADPMF,ad pepper media International NV,$0.83 ,TRUE,,,'Date'
129,CPTHF,Adams PLC,$0.03 ,TRUE,,,No data fetched for symbol CPTHF using YahooDailyReader
