symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
HYMLY,Hyundai Motor Co,$37.85 ,TRUE,,'Date',,,,,,,,,
HINVF,Hyprop Investments Ltd,ZAR 1.62,TRUE,,No data fetched for symbol HINVF using YahooDailyReader,,,,,,,,,
HYGS,Hydrogenics Corp,$15.00 ,TRUE,,No data fetched for symbol HYGS using YahooDailyReader,,,,,,,,,
HDYX,Hydrodynex Inc,$7.06 ,TRUE,,'Date',,,,,,,,,
HYEEF,Hydrodec Group PLC,$0.01 ,TRUE,,No data fetched for symbol HYEEF using YahooDailyReader,,,,,,,,,
HECCQ,Hydrocarb Energy Corp,$0.01 ,TRUE,,'Date',,,,,,,,,
HTHKY,Hutchison Telecommunications Hong Kong Holdings Lt,$5.99 ,TRUE,,No data fetched for symbol HTHKY using YahooDailyReader,,,,,,,,,
HTCH,Hutchinson Technology Inc,$4.00 ,TRUE,,'Date',,,,,,,,,
HWTFF,Huntsworth PLC,$1.18 ,TRUE,,No data fetched for symbol HWTFF using YahooDailyReader,,,,,,,,,
HUHIF,Hung Hing Printing Group Ltd,$0.14 ,TRUE,,'Date',,,,,,,,,
HLNLF,Hulamin Ltd,$0.98 ,TRUE,,No data fetched for symbol HLNLF using YahooDailyReader,,,,,,,,,
HBAYF,Hudson's Bay Co,$8.19 ,TRUE,,No data fetched for symbol HBAYF using YahooDailyReader,,,,,,,,,
HCBK,Hudson City Bancorp Inc,$10.12 ,TRUE,,'Date',,,,,,,,,
HUB.A,Hubbell Inc,$128.17 ,TRUE,,No data fetched for symbol HUB.A using YahooDailyReader,,,,,,,,,
HUBOF,HUB Co Ltd,$11.15 ,TRUE,,No data fetched for symbol HUBOF using YahooDailyReader,,,,,,,,,
HRENF,Huaneng Renewables Corp Ltd,$0.41 ,TRUE,,No data fetched for symbol HRENF using YahooDailyReader,,,,,,,,,
HYAS,Huale Acoustics Ltd,$3.00 ,TRUE,,No data fetched for symbol HYAS using YahooDailyReader,,,,,,,,,
HHEG,Huahui Education Group Ltd,$5.60 ,TRUE,,No data fetched for symbol HHEG using YahooDailyReader,,,,,,,,,
HUAZ,Hua Ye Gas Group Holding Co,$0.10 ,TRUE,,No data fetched for symbol HUAZ using YahooDailyReader,,,,,,,,,
HHBPF,Hua Han Health Industry Holdings Ltd,$0.13 ,TRUE,,No data fetched for symbol HHBPF using YahooDailyReader,,,,,,,,,
HWATY,HTL International Holdings Ltd,$39.14 ,TRUE,,No data fetched for symbol HWATY using YahooDailyReader,,,,,,,,,
HWATF,HTL International Holdings Ltd,$0.26 ,TRUE,,No data fetched for symbol HWATF using YahooDailyReader,,,,,,,,,
HTCCY,HTC Corp,$91.82 ,TRUE,,No data fetched for symbol HTCCY using YahooDailyReader,,,,,,,,,
APNDF,HT&E Ltd,$2.98 ,TRUE,,No data fetched for symbol APNDF using YahooDailyReader,,,,,,,,,
HSNI,HSN Inc,$40.35 ,TRUE,,'Date',,,,,,,,,
HOWAF,Howden Africa Holdings Ltd,$2.31 ,TRUE,,No data fetched for symbol HOWAF using YahooDailyReader,,,,,,,,,
HUIVF,House of Investments Inc,$0.12 ,TRUE,,No data fetched for symbol HUIVF using YahooDailyReader,,,,,,,,,
HSLLF,Hotel Shilla Co Ltd,$81.92 ,TRUE,,No data fetched for symbol HSLLF using YahooDailyReader,,,,,,,,,
HOTM,HotCloud Mobile Inc,$0.01 ,TRUE,,'Date',,,,,,,,,
ZINCQ,Horsehead Holding Corp,$0.02 ,TRUE,,'Date',,,,,,,,,
HBBHF,HORNBACH Holding AG and Co KGaA,$53.50 ,TRUE,,No data fetched for symbol HBBHF using YahooDailyReader,,,,,,,,,
HRRZF,Horizon Petroleum Ltd,$0.89 ,TRUE,,No data fetched for symbol HRRZF using YahooDailyReader,,,,,,,,,
HPDLF,Hopson Development Holdings Ltd,$0.97 ,TRUE,,No data fetched for symbol HPDLF using YahooDailyReader,,,,,,,,,
HFBC,HopFed Bancorp Inc,$19.53 ,TRUE,,No data fetched for symbol HFBC using YahooDailyReader,,,,,,,,,
HWDY,Hopewell Valley Community Bank,$14.51 ,TRUE,,'Date',,,,,,,,,
HOWWY,Hopewell Holdings Ltd,$4.80 ,TRUE,,No data fetched for symbol HOWWY using YahooDailyReader,,,,,,,,,
HOWWF,Hopewell Holdings Ltd,$5.00 ,TRUE,,No data fetched for symbol HOWWF using YahooDailyReader,,,,,,,,,
HLALF,Hong Leong Asia Ltd,$0.82 ,TRUE,,No data fetched for symbol HLALF using YahooDailyReader,,,,,,,,,
KHNTF,Hong Kong Television Network Ltd,$0.38 ,TRUE,,No data fetched for symbol KHNTF using YahooDailyReader,,,,,,,,,
HKAEY,Hong Kong Aircraft Engineering Co Ltd,$8.32 ,TRUE,,'Date',,,,,,,,,
HFOKF,Hong Fok Corp Ltd,$0.86 ,TRUE,,No data fetched for symbol HFOKF using YahooDailyReader,,,,,,,,,
HTWC,Hometown Bancorp Inc,$2.97 ,TRUE,,'Date',,,,,,,,,
BVGIF,Homestake Resource Corp,$0.15 ,TRUE,,'Date',,,,,,,,,
HMSVY,Homeserve PLC,$10.15 ,TRUE,,No data fetched for symbol HMSVY using YahooDailyReader,,,,,,,,,
HOFC,Homeowners Financial Corp,$0.01 ,TRUE,,'Date',,,,,,,,,
HMIN,Homeinns Hotel Group,$35.71 ,TRUE,,'Date',,,,,,,,,
HOFD,HomeFed Corp,$38.39 ,TRUE,,No data fetched for symbol HOFD using YahooDailyReader,,,,,,,,,
HMRTY,Home Retail Group PLC,$8.89 ,TRUE,,No data fetched for symbol HMRTY using YahooDailyReader,,,,,,,,,
HMRLF,Home Retail Group PLC,$2.08 ,TRUE,,'Date',,,,,,,,,
HME,Home Properties Inc,$75.24 ,TRUE,,'Date',,,,,,,,,
HLSSF,Home Loan Servicing Solutions Ltd,$0.70 ,TRUE,,No data fetched for symbol HLSSF using YahooDailyReader,,,,,,,,,
HLMNF,Holmen AB,$32.61 ,TRUE,,'Date',,,,,,,,,
HLLOF,Holloway Lodging Corp,$6.18 ,TRUE,,No data fetched for symbol HLLOF using YahooDailyReader,,,,,,,,,
HOGU,Holiday-Gulf Homes Inc,$0.15 ,TRUE,,'Date',,,,,,,,,
HCPHF,Holcim Philippines Inc,$0.11 ,TRUE,,'Date',,,,,,,,,
HKTHF,Hokuyaku Takeyama Holdings Inc,$6.82 ,TRUE,,No data fetched for symbol HKTHF using YahooDailyReader,,,,,,,,,
HOKRF,Hokuriku Electric Power Co Inc,$7.40 ,TRUE,,No data fetched for symbol HOKRF using YahooDailyReader,,,,,,,,,
HKEPF,Hokkaido Electric Power Co Inc,$12.00 ,TRUE,,No data fetched for symbol HKEPF using YahooDailyReader,,,,,,,,,
HOGGF,Hogg Robinson Group PLC,$0.67 ,TRUE,,No data fetched for symbol HOGGF using YahooDailyReader,,,,,,,,,
HOCFY,Hochtief AG,$19.27 ,TRUE,,No data fetched for symbol HOCFY using YahooDailyReader,,,,,,,,,
CDHPF,HNZ Group Inc,$7.74 ,TRUE,,No data fetched for symbol CDHPF using YahooDailyReader,,,,,,,,,
HNZGF,HNZ Group Inc,$14.62 ,TRUE,,No data fetched for symbol HNZGF using YahooDailyReader,,,,,,,,,
HKHDF,HKC (Holdings) Ltd,$0.02 ,TRUE,,'Date',,,,,,,,,
HTKKY,Hitachi Kokusai Electric Inc,$53.89 ,TRUE,,No data fetched for symbol HTKKY using YahooDailyReader,,,,,,,,,
HKKIY,Hitachi Koki Co Ltd,$125.94 ,TRUE,,No data fetched for symbol HKKIY using YahooDailyReader,,,,,,,,,
HKKIF,Hitachi Koki Co Ltd,$12.30 ,TRUE,,No data fetched for symbol HKKIF using YahooDailyReader,,,,,,,,,
HICTY,Hitachi High-Tech Corp,$145.85 ,TRUE,,No data fetched for symbol HICTY using YahooDailyReader,,,,,,,,,
HTCIF,Hitachi Capital Corp,$22.25 ,TRUE,,No data fetched for symbol HTCIF using YahooDailyReader,,,,,,,,,
HPVBF,Hispania Activos Inmobiliarios SOCIMI SA,$19.95 ,TRUE,,No data fetched for symbol HPVBF using YahooDailyReader,,,,,,,,,
HTSUY,Hisamitsu Pharmaceutical Co Inc,$10.25 ,TRUE,,No data fetched for symbol HTSUY using YahooDailyReader,,,,,,,,,
HRSMF,Hiroshima Bank Ltd,$3.40 ,TRUE,,No data fetched for symbol HRSMF using YahooDailyReader,,,,,,,,,
HRTCF,Hirano Tecseed Co Ltd,$7.21 ,TRUE,,No data fetched for symbol HRTCF using YahooDailyReader,,,,,,,,,
HIMX,Himax Technologies Inc,$4.80 ,TRUE,,'Date',,,,,,,,,
HLFGY,Hilton Food Group PLC,$14.82 ,TRUE,,'Date',,,,,,,,,
