Date,High,Low,Open,Close,Volume,Adj Close
2010-12-31,32.5,32.5,32.5,32.5,0.0,18.162221908569336
2011-01-03,32.5,32.5,32.5,32.5,0.0,18.162221908569336
2011-01-04,32.5,32.5,32.5,32.5,0.0,18.162221908569336
2011-01-05,32.5,32.5,32.5,32.5,0.0,18.162221908569336
2011-01-06,32.0,30.0,30.0,32.0,600.0,17.88280487060547
2011-01-07,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-10,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-11,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-12,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-13,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-14,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-18,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-19,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-20,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-21,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-24,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-25,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-26,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-27,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-28,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-01-31,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-02-01,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-02-02,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-02-03,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-02-04,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-02-07,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-02-08,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-02-09,32.0,32.0,32.0,32.0,0.0,17.88280487060547
2011-02-10,32.0,32.0,32.0,32.0,0.0,17.88280487060547
