,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.007099999114871025,-0.0030000004917383177,0.0,0.02300000190734864,0.061300003901124014,-0.010700000450015068,-0.011350000277161598,3.0,5.0,03-17,0.00663500037044287
01-03,0.0,0.0,0.0,0.007099999114871025,-0.0030000004917383177,0.0,0.02300000190734864,0.0556000042706728,-0.010700000450015068,-0.017849999945610758,3.0,5.0,03-18,0.005415000440552831
01-04,0.0,0.0,0.0,0.007099999114871025,-0.0030000004917383177,0.0,0.02300000190734864,0.0556000042706728,-0.010700000450015068,-0.015350000001490116,3.0,5.0,03-19,0.0056650004349648965
01-05,0.0,0.0,0.0,0.007099999114871025,-0.0030000004917383177,0.0,0.029300001449882988,0.06350000388920309,-0.010700000450015068,-0.015350000001490116,3.0,5.0,03-20,0.007085000351071361
01-06,0.0,0.0,0.0,0.007099999114871025,-0.0030000004917383177,0.0,0.029999998398125168,0.05000000074505806,-0.010700000450015068,-0.015350000001490116,3.0,5.0,03-21,0.005804999731481075
01-07,0.0,0.0,0.0,0.007099999114871025,-0.0030000004917383177,0.0,0.02369999885559082,0.051999997347593314,-0.010700000450015068,-0.015350000001490116,3.0,5.0,03-22,0.005374999437481165
01-08,0.0,0.0,0.0,0.007099999114871025,-0.0030000004917383177,0.0,0.02369999885559082,0.051999997347593314,-0.018299998715519912,-0.011350000277161598,3.0,5.0,03-23,0.005014999583363532
01-09,0.0,0.0,0.0,0.007099999114871025,-0.0030000004917383177,0.0,0.02369999885559082,0.051999997347593314,-0.02227999828755856,-0.011350000277161598,3.0,5.0,03-24,0.004616999626159668
01-10,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.02600000053644179,-0.022379998117685315,-0.009999999776482582,3.0,5.0,03-25,0.003052000142633912
01-11,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.01709999889135361,-0.022379998117685315,-0.009999999776482582,3.0,5.0,03-26,0.0021619999781250948
01-12,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.02800000086426735,-0.024399999529123303,-0.009999999776482582,3.0,5.0,03-27,0.0030500000342726713
01-13,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.029400002211332318,-0.024399999529123303,-0.009999999776482582,3.0,5.0,03-28,0.003190000168979168
01-14,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.029400002211332318,-0.024399999529123303,-0.009999999776482582,3.0,5.0,03-29,0.003190000168979168
01-15,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.029400002211332318,-0.02364999800920486,-0.008400000631809235,3.0,5.0,03-30,0.003425000235438347
01-16,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.029400002211332318,-0.0227000005543232,-0.008400000631809235,3.0,5.0,03-31,0.0035199999809265143
01-17,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.028199996799230576,-0.02549999952316285,-0.008400000631809235,3.0,5.0,04-01,0.0031199995428323733
01-18,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.01909000426530838,-0.006099998950958252,-0.008400000631809235,3.0,5.0,04-02,0.004149000346660613
01-19,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,0.01909000426530838,-0.002999998629093163,-0.007699999958276749,3.0,5.0,04-03,0.004529000446200371
01-20,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,-0.021500002592802048,-0.002999998629093163,-0.007699999958276749,2.0,6.0,04-04,0.00046999976038932824
01-21,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,-0.021900001913309097,-0.002999998629093163,-0.007699999958276749,2.0,6.0,04-05,0.0004299998283386232
01-22,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,-0.021900001913309097,-0.002999998629093163,-0.00559999980032444,2.0,6.0,04-06,0.0006399998441338541
01-23,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,-0.021900001913309097,-0.007600000128149986,-0.00559999980032444,2.0,6.0,04-07,0.00017999969422817174
01-24,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.02369999885559082,-0.009900003671646118,-0.006950000301003456,-0.006300000473856926,2.0,6.0,04-08,0.0013749994337558741
01-25,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.01569999940693378,-0.009600006043910994,-0.010040001943707466,-0.0070000002160668364,2.0,6.0,04-09,0.00022599911317229063
01-26,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0,0.01569999940693378,-0.012900002300739288,-0.010820001363754272,-0.0070000002160668364,2.0,6.0,04-10,-0.00018200045451521944
01-27,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0008999999845400459,0.01569999940693378,-0.004660002887248993,-0.010820001363754272,-0.0070000002160668364,3.0,5.0,04-11,0.0007319994852878146
01-28,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0008999999845400459,0.01569999940693378,-0.004660002887248993,-0.010820001363754272,-0.0070000002160668364,3.0,5.0,04-12,0.0007319994852878146
01-29,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0008999999845400459,0.01569999940693378,-0.004660002887248993,-0.010820001363754272,-0.0070000002160668364,3.0,5.0,04-13,0.0007319994852878146
01-30,0.0,0.0,0.0,0.016200000420212742,-0.0030000004917383177,0.0008999999845400459,0.01569999940693378,0.0033999979496002197,-0.014520000666379929,-0.0070000002160668364,4.0,4.0,04-14,0.0011679996387101706
01-31,0.0,0.0,0.0,0.022099999710917476,-0.0030000004917383177,0.0008999999845400459,0.01569999940693378,0.0034999996423721318,-0.011119998991489409,-0.01450000051409006,4.0,4.0,04-15,0.0013579998747445645
02-01,0.0,0.0,0.0,0.022099999710917476,-0.0030000004917383177,0.0008999999845400459,0.01569999940693378,-0.004299998283386231,-0.007020000368356712,-0.01290000043809414,3.0,5.0,04-16,0.0011479999520815902
02-02,0.0,0.0,0.0,0.022099999710917476,-0.0030000004917383177,0.0008999999845400459,0.01569999940693378,-0.013999998569488524,-0.007100000977516181,-0.01290000043809414,3.0,5.0,04-17,0.00016999986255541378
02-03,0.0,0.0,0.0,0.022099999710917476,-0.0030000004917383177,0.0008999999845400459,0.048700001090765,-0.013989999890327455,-0.007100000977516181,-0.01290000043809414,3.0,5.0,04-18,0.0034709998988546424
