,2012,2013,2014,2015,2016,2017,2018,2019,ups,downs,avg
01-02,0.5,-1.8999996185302728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,-0.17499995231628418
01-03,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-04,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-09,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-10,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-11,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-12,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-14,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-15,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-17,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-18,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-19,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-20,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-21,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-22,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-24,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-26,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-28,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-29,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-30,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
01-31,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-02,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-03,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-04,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-09,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-10,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0625
02-11,-8.100000381469728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0125000476837158
02-12,-8.100000381469728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0125000476837158
02-13,-8.100000381469728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0125000476837158
02-14,-8.100000381469728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0125000476837158
02-15,-8.100000381469728,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.137500047683716
02-16,-8.100000381469728,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.262500047683716
02-17,-9.600000381469727,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.450000047683716
02-18,-10.399999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.549999952316284
02-19,-10.399999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.549999952316284
02-20,-10.399999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.549999952316284
02-21,-10.399999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.549999952316284
02-22,-10.399999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.549999952316284
02-23,-10.399999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.549999952316284
02-24,-10.399999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.549999952316284
02-25,-10.399999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.549999952316284
