,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-15.65334701538086,-0.3900001049041748,-1.0099999904632568,0.6000000238418577,-0.4799999594688416,1.0,4.0,-3.386669409275055
01-03,-0.4799999594688416,-0.3900001049041748,-0.9000000953674312,0.40999996662139937,-0.5,1.0,4.0,-0.3720000386238097
01-04,-0.5,-0.440000057220459,-0.8199999332427979,0.4800001382827761,-0.4799999594688416,1.0,4.0,-0.3519999623298645
01-05,-0.4799999594688416,-0.8730001449584956,-0.9700000286102299,0.3800001144409184,-0.4799999594688416,1.0,4.0,-0.4845999956130981
01-06,-0.4799999594688416,-0.9099998474121094,-0.880000114440918,0.5299999713897705,-0.4799999594688416,1.0,4.0,-0.44399998188018797
01-07,-0.4799999594688416,-1.3229997158050537,-0.5900001525878902,0.5299999713897705,-0.7500000596046448,1.0,4.0,-0.5225999832153321
01-08,-0.7500000596046448,-1.3629999160766602,-0.5900001525878902,0.41999995708465576,-0.6000000238418579,1.0,4.0,-0.5766000390052795
01-09,-0.6000000238418579,-1.3629999160766602,-0.5750000476837154,0.04999995231628418,-0.7869999408721924,1.0,4.0,-0.6549999952316283
01-10,-0.7869999408721924,-1.3899998664855957,-0.5500001907348633,0.029999971389770508,-1.1200000047683716,1.0,4.0,-0.7634000062942505
01-11,-1.1200000047683716,-1.1430001258850098,-0.3600001335144043,-0.029999971389770508,-1.100000083446503,0.0,5.0,-0.7506000638008118
01-12,-1.100000083446503,-0.7699999809265137,-0.4600000381469722,-0.04499983787536621,-1.1200000643730164,0.0,5.0,-0.6990000009536742
01-13,-1.1200000643730164,-0.8300001621246342,-0.3399999141693115,0.013000011444091795,-1.1200000643730164,1.0,4.0,-0.6794000387191773
01-14,-1.1200000643730164,-0.33999967575073153,-0.3399999141693115,0.013000011444091795,-0.7800000309944153,1.0,4.0,-0.5133999347686766
01-15,-0.7800000309944153,-0.4499998092651363,-0.3399999141693115,0.08299994468688965,-0.6570000052452087,1.0,4.0,-0.4287999629974365
01-16,-0.6570000052452087,-0.4499998092651363,-0.3399999141693115,0.1000001430511479,-0.5819999575614929,1.0,4.0,-0.3857999086380003
01-17,-0.5819999575614929,-0.4499998092651363,-0.2999999523162837,0.0,-0.5889999866485598,0.0,5.0,-0.3841999411582945
01-18,-0.5889999866485598,-0.4200000762939449,-0.2699999809265137,0.04999995231628418,-0.5200000405311584,1.0,4.0,-0.3498000264167785
01-19,-0.5200000405311584,-0.4610002040863042,-0.3299999237060547,0.06999993324279785,-0.531000018119812,1.0,4.0,-0.3544000506401063
01-20,-0.531000018119812,-0.7920000553131099,-0.4600000381469722,0.08999991416931198,-0.531000018119812,1.0,4.0,-0.4448000431060789
01-21,-0.531000018119812,-0.3799998760223389,-0.4300000667572017,0.08999991416931198,-0.531000018119812,1.0,4.0,-0.3564000129699705
01-22,-0.531000018119812,-0.36999988555908203,-0.4300000667572017,0.08999991416931198,-0.5699999928474426,1.0,4.0,-0.3622000098228453
01-23,-0.5699999928474426,-0.36999988555908203,-0.38000011444091797,0.1530001163482666,-0.5329999923706055,1.0,4.0,-0.3399999737739563
01-24,-0.5329999923706055,-0.3730001449584952,-0.4300000667572017,0.12700009346008345,-0.4699999690055847,1.0,4.0,-0.3358000159263607
01-25,-0.4699999690055847,-0.4999997615814205,-0.1100001335144043,0.25,-0.44999998807907104,1.0,4.0,-0.2559999704360961
01-26,-0.44999998807907104,-0.7039999961853027,-0.18999981880187988,0.1699998378753662,-0.44999998807907104,1.0,4.0,-0.3247999906539917
01-27,-0.44999998807907104,-0.9000000953674321,-0.00999999046325728,0.4399998188018799,-0.44999998807907104,1.0,4.0,-0.2740000486373903
01-28,-0.44999998807907104,-0.5269999504089351,0.029999971389770508,0.4399998188018799,-0.4599999785423279,2.0,3.0,-0.1934000253677368
01-29,-0.4599999785423279,-0.5269999504089351,0.029999971389770508,0.5599999427795406,-0.4599999785423279,2.0,3.0,-0.17139999866485595
01-30,-0.4599999785423279,-0.5269999504089351,-0.3900001049041748,0.5199999809265137,-0.29899996519088745,1.0,4.0,-0.2312000036239623
01-31,-0.29899996519088745,-0.40700006484985307,-0.4599997997283936,0.4250001907348637,-0.3009999990463257,1.0,4.0,-0.2083999276161192
02-01,-0.3009999990463257,-0.4629998207092285,0.14000010490417436,0.2599999904632573,-0.4199999570846555,2.0,3.0,-0.15679993629455566
02-02,-0.4199999570846555,-0.7100000381469727,0.4200000762939453,0.16000008583068848,-0.4599999785423277,2.0,3.0,-0.2019999623298644
02-03,-0.4599999785423277,-0.38000011444091797,0.5199999809265137,0.16000008583068848,-0.4599999785423277,2.0,3.0,-0.12400000095367422
02-04,-0.4599999785423277,-0.25,0.5999999046325684,0.16000008583068848,-0.4799999594688413,2.0,3.0,-0.08599998950958243
02-05,-0.4799999594688413,-0.25,0.5999999046325684,0.19000005722045896,-0.32999998331069946,2.0,3.0,-0.053999996185302684
02-06,-0.32999998331069946,-0.25,0.619999885559082,0.09000015258789062,-0.3399999737739563,2.0,3.0,-0.041999983787536624
02-07,-0.3399999737739563,0.0,0.3699998855590816,0.4000000953674308,-0.33500003814697266,2.0,3.0,0.01899999380111668
02-08,-0.33500003814697266,-0.029999971389770508,0.38000011444091797,0.7199999094009399,-0.34999996423721313,2.0,3.0,0.07700001001358033
02-09,-0.34999996423721313,-0.04799985885620117,-0.07999992370605469,0.7899999618530273,-0.3650000095367432,1.0,4.0,-0.010599958896636962
02-10,-0.3650000095367432,-0.2100002765655513,-0.2400000095367427,0.7400000095367432,-0.3650000095367432,1.0,4.0,-0.08800005912780744
02-11,-0.3650000095367432,-0.5400002002716064,-0.25,0.7400000095367432,-0.3619999885559081,1.0,4.0,-0.1554000377655029
02-12,-0.3619999885559081,-0.5000002384185795,-0.25,0.7400000095367432,-0.3479999899864198,1.0,4.0,-0.14400004148483286
02-13,-0.3479999899864198,-0.5000002384185795,-0.1699998378753662,0.7849999666213991,-0.33100003004074097,1.0,4.0,-0.11280002593994146
02-14,-0.33100003004074097,-0.6860001087188725,-0.339999914169312,0.7300000190734863,-0.3350000381469728,1.0,4.0,-0.1924000144004824
02-15,-0.3350000381469728,-0.5800001621246347,-0.12000012397766067,0.690000057220459,-0.3830000162124635,1.0,4.0,-0.1456000566482545
02-16,-0.3830000162124635,-0.19999980926513627,-0.13100004196166992,0.7799999713897705,-0.3580000400543214,1.0,4.0,-0.05839998722076412
02-17,-0.3580000400543214,-0.5399999618530282,-0.25999999046325684,0.7400000095367432,-0.3580000400543214,1.0,4.0,-0.1552000045776369
02-18,-0.3580000400543214,-0.2399997711181645,-0.049999952316283736,0.7400000095367432,-0.3580000400543214,1.0,4.0,-0.053199958801269584
02-19,-0.3580000400543214,-0.3899998664855966,-0.049999952316283736,0.7400000095367432,-0.3389999866485596,1.0,4.0,-0.07939996719360362
02-20,-0.3389999866485596,-0.3899998664855966,-0.049999952316283736,0.4900000095367432,-0.3310000300407411,1.0,4.0,-0.12399996519088755
02-21,-0.3310000300407411,-0.3899998664855966,-0.3400001525878906,0.5729999542236328,-0.25099998712539673,1.0,4.0,-0.14780001640319845
02-22,-0.25099998712539673,-0.4300003051757821,-0.03999996185302779,0.4299998283386231,-0.1420000195503235,1.0,4.0,-0.08660008907318142
02-23,-0.1420000195503235,-0.5099999904632561,-0.029999971389770508,0.5199999809265137,-0.08500003814697266,1.0,4.0,-0.04940000772476179
02-24,-0.08500003814697266,-0.5,-0.06999993324279785,0.814000129699707,-0.08500003814697266,1.0,4.0,0.014800024032592776
02-25,-0.08500003814697266,-0.5999999046325675,-0.039999961853027344,0.814000129699707,-0.1029999852180481,1.0,4.0,-0.002799952030181707
02-26,-0.1029999852180481,-0.8699998855590811,-0.039999961853027344,0.784000158309937,-0.0559999942779541,1.0,4.0,-0.056999933719634736
02-27,-0.0559999942779541,-0.8699998855590811,-0.059999942779541016,0.6600000858306879,-0.018000006675720215,1.0,4.0,-0.06879994869232169
02-28,-0.018000006675720215,-0.7300000190734863,-0.029999971389770064,0.5099999904632564,-0.013000011444091795,1.0,4.0,-0.0562000036239624
03-01,-0.013000011444091795,-0.6999998092651367,0.009999990463256836,0.5099999904632564,0.1069999933242798,3.0,2.0,-0.0171999692916871
03-02,0.1069999933242798,-0.5499999523162851,0.029999971389770064,0.5099999904632568,0.1069999933242798,4.0,1.0,0.040799999237060285
03-03,0.1069999933242798,-0.4499998092651376,-0.09000015258789018,0.4830000400543208,0.07800000905990599,3.0,2.0,0.02560001611709577
03-04,0.07800000905990599,-0.4899997711181645,-0.20000004768371585,0.4830000400543208,-0.0480000376701355,2.0,3.0,-0.03539996147155778
03-05,-0.0480000376701355,-0.6749999523162851,-0.20000004768371585,0.4930000305175773,0.009000003337860106,2.0,3.0,-0.0842000007629398
03-06,0.009000003337860106,-0.6749999523162851,-0.04999995231628418,0.6700000762939451,0.13600003719329834,3.0,2.0,0.018000042438506857
03-07,0.13600003719329834,-0.7050001621246329,-0.1399998664855957,0.6349998712539671,0.21000003814697246,3.0,2.0,0.02719998359680187
03-08,0.21000003814697246,-0.6399998664855957,-0.18000006675720215,0.6399999856948855,0.2000000476837157,3.0,2.0,0.046000027656555184
03-09,0.2000000476837157,-0.4100003242492685,-0.44000005722045854,0.5099998712539675,0.2000000476837157,3.0,2.0,0.011999917030334385
03-10,0.2000000476837157,-0.4600000381469736,-0.3799998760223393,0.34000003337860085,0.22000002861022933,3.0,2.0,-0.015999960899353384
03-11,0.22000002861022933,-0.4969999790191659,-0.3599998950958252,0.34000003337860085,0.2950000166893004,3.0,2.0,-0.0003999590873720926
03-12,0.2950000166893004,-0.4169998168945326,-0.3599998950958252,0.2600001096725457,0.3980000019073485,3.0,2.0,0.03520008325576738
03-13,0.3980000019073485,-0.4169998168945326,-0.4000000953674317,0.28000009059905984,0.34999996423721313,3.0,2.0,0.042200028896331454
03-14,0.34999996423721313,-0.049999952316284624,-0.21000003814697266,0.2400001287460333,0.3450000286102295,3.0,2.0,0.13500002622604373
03-15,0.3450000286102295,-0.18999981880188035,-0.32999992370605513,0.12000012397766067,0.3190000057220459,3.0,2.0,0.05280008316040012
03-16,0.3190000057220459,-0.059999942779541016,-0.3900001049041748,0.029999971389770064,0.3190000057220459,3.0,2.0,0.04359998703002922
03-17,0.3190000057220459,-0.036999940872192834,-0.4829998016357422,0.06999993324279741,0.2490000128746033,3.0,2.0,0.02360004186630232
03-18,0.2490000128746033,-0.08999991416931108,-0.4900000095367432,0.06999993324279741,0.25,3.0,2.0,-0.002199995517730713
03-19,0.25,-0.2799999713897705,-0.4900000095367432,0.05999994277954057,0.20299994945526129,3.0,2.0,-0.051400017738342366
03-20,0.20299994945526129,-0.2799999713897705,-0.6400001049041748,-0.12999987602233887,0.1669999957084657,2.0,3.0,-0.13600000143051144
03-21,0.1669999957084657,-0.13000011444091794,-0.8599998950958261,-0.06999993324279785,0.25,2.0,3.0,-0.12859998941421524
03-22,0.25,-0.019999980926513672,-0.6999998092651367,-0.029999971389770508,0.3100000023841857,2.0,3.0,-0.03799995183944704
03-23,0.3100000023841857,0.2030000686645508,-0.5999999046325688,-0.039999961853027344,0.3100000023841857,3.0,2.0,0.0366000413894652
03-24,0.3100000023841857,0.08999991416931152,-0.3799998760223393,-0.20000004768371585,0.3200000524520873,3.0,2.0,0.028000009059905868
03-25,0.3200000524520873,-0.1399998664855948,-0.3599998950958261,-0.20000004768371585,0.3700000047683716,2.0,3.0,-0.0019999504089355693
03-26,0.3700000047683716,-0.1800000667572017,-0.3599998950958261,-0.27500009536743164,0.3439999818801881,2.0,3.0,-0.02020001411437995
03-27,0.3439999818801881,-0.1800000667572017,-0.4600000381469731,-0.37299990653991705,0.3919999599456788,2.0,3.0,-0.05540001392364498
03-28,0.3919999599456788,-0.3900003433227548,-0.2799999713897709,-0.3500001430511479,0.4490000009536743,2.0,3.0,-0.0358000993728641
03-29,0.4490000009536743,0.13999986648559434,0.12999987602233887,-0.4700000286102293,0.4230000376701355,4.0,1.0,0.13439995050430276
03-30,0.4230000376701355,0.08999991416931108,0.19000005722045946,-0.6599999666213991,0.4230000376701355,4.0,1.0,0.09320001602172848
03-31,0.4230000376701355,-0.08899998664855913,0.2799999713897709,-0.7100000381469727,0.4140000343322754,3.0,2.0,0.06360000371933001
04-01,0.4140000343322754,0.02200007438659624,0.14000010490417525,-0.7100000381469727,0.3690000176429749,4.0,1.0,0.04700003862380982
04-02,0.3690000176429749,-0.14800000190734908,0.14000010490417525,-0.7699999809265137,0.3879999518394471,3.0,2.0,-0.0041999816894531024
04-03,0.3879999518394471,-0.14800000190734908,0.1100001335144043,-0.8199999332427983,0.3920000195503235,3.0,2.0,-0.01559996604919449
04-04,0.3920000195503235,-0.35000014305114746,0.14000010490417436,-0.8530000448226929,0.38700002431869496,3.0,2.0,-0.05680000782012951
04-05,0.38700002431869496,-0.3600001335144043,0.25,-0.9069999456405644,0.37000000476837147,3.0,2.0,-0.052000010013580455
04-06,0.37000000476837147,-0.4900000095367436,0.2400000095367436,-0.7200000286102295,0.37000000476837147,3.0,2.0,-0.046000003814697314
04-07,0.37000000476837147,-0.3960001468658452,0.3499999046325684,-0.7799999713897705,0.3799999952316283,3.0,2.0,-0.01520004272460951
04-08,0.3799999952316283,-0.3099999427795401,0.3799998760223393,-0.7799999713897705,0.36000001430511464,3.0,2.0,0.005999994277954322
04-09,0.36000001430511464,-0.2400000095367427,0.3799998760223393,-0.6099998950958252,0.3100000023841857,3.0,2.0,0.03999999761581434
04-10,0.3100000023841857,-0.2400000095367427,0.24000000953674405,-0.8899998664855955,0.2549999952316284,3.0,2.0,-0.06499997377395601
04-11,0.2549999952316284,-0.3630001544952397,0.25,-0.8199999332427979,0.2450000047683716,3.0,2.0,-0.08660001754760753
04-12,0.2450000047683716,-0.440000057220459,0.3299999237060547,-0.8580001592636108,0.27500003576278675,3.0,2.0,-0.08960005044937136
04-13,0.27500003576278675,0.17000007629394576,-0.07999992370605424,-0.7300000190734861,0.27500003576278675,3.0,2.0,-0.01799995899200422
04-14,0.27500003576278675,-0.309999942779541,-0.309999942779541,-0.7300000190734861,0.30000001192092884,2.0,3.0,-0.15499997138977056
04-15,0.30000001192092884,-0.09999990463256836,-0.36999988555908203,-0.7300000190734861,0.3500000238418579,2.0,3.0,-0.10999995470046994
04-16,0.3500000238418579,-0.06999969482421786,-0.36999988555908203,-0.8199999332427976,0.21999996900558472,2.0,3.0,-0.137999904155731
04-17,0.21999996900558472,-0.06999969482421786,-0.36999988555908203,-0.8200000524520874,0.2399999499320984,2.0,3.0,-0.15999994277954085
04-18,0.2399999499320984,0.030000209808350494,-0.5399999618530269,-0.7699999809265132,0.2510000467300415,3.0,2.0,-0.15779994726180996
04-19,0.2510000467300415,-0.039999961853027344,-0.309999942779541,-1.0499999523162842,0.2510000467300415,2.0,3.0,-0.17959995269775392
04-20,0.2510000467300415,-0.009999990463256836,-0.2300000190734864,-1.0499999523162842,0.2510000467300415,2.0,3.0,-0.15759997367858886
04-21,0.2510000467300415,0.019999980926513672,0.18000006675720215,-1.0599999427795412,0.3109999895095825,4.0,1.0,-0.059599971771240275
04-22,0.3109999895095825,0.0800001621246329,0.14499998092651326,-1.0599999427795412,0.3199999928474426,4.0,1.0,-0.04079996347427399
04-23,0.3199999928474426,0.0,0.14499998092651326,-1.0599999427795412,0.3109999895095825,3.0,2.0,-0.056799995899200574
04-24,0.3109999895095825,0.0,0.27499985694885165,-1.1129999160766602,0.25,3.0,2.0,-0.0554000139236452
04-25,0.25,0.32999992370605513,0.2599999904632573,-1.0499999523162842,0.2600000500679016,4.0,1.0,0.010000002384185969
04-26,0.2600000500679016,0.25,0.4400000572204594,-1.25,0.2450000047683716,4.0,1.0,-0.010999977588653476
04-27,0.2450000047683716,0.17000007629394487,0.3100001811981201,-1.2699999809265137,0.2450000047683716,4.0,1.0,-0.05999994277954111
