,2017,2018,2019,2020,ups,downs,avg
01-02,-0.6499998569488525,-0.009999990463256836,-0.03999999910593033,-0.02799999911803752,0.0,4.0,-0.1819999614090193
01-03,-0.02799999911803752,0.0,-0.03999999910593033,-0.02799999911803752,0.0,4.0,-0.023999999335501343
01-04,-0.02799999911803752,0.0,-0.03999999910593033,-0.02799999911803752,0.0,4.0,-0.023999999335501343
01-05,-0.02799999911803752,0.0,-0.03999999910593033,-0.02799999911803752,0.0,4.0,-0.023999999335501343
01-06,-0.02799999911803752,-0.009000003337860106,-0.04999999888241291,-0.02799999911803752,0.0,4.0,-0.028750000114087005
01-07,-0.02799999911803752,-0.009000003337860106,-0.04999999888241291,-0.02799999911803752,0.0,4.0,-0.028750000114087005
01-08,-0.02799999911803752,-0.009000003337860106,-0.04999999888241291,-0.02799999911803752,0.0,4.0,-0.028750000114087005
01-09,-0.02799999911803752,-0.05499999225139618,-0.02000000141561032,-0.02799999911803752,0.0,4.0,-0.032749997975770384
01-10,-0.02799999911803752,-0.08999998867511749,-0.02000000141561032,-0.02799999911803752,0.0,4.0,-0.04149999708170071
01-11,-0.02799999911803752,-0.07999999821186066,-0.02000000141561032,-0.02799999911803752,0.0,4.0,-0.0389999994658865
01-12,-0.02799999911803752,-0.07999999821186066,-0.02000000141561032,-0.02799999911803752,0.0,4.0,-0.0389999994658865
01-13,-0.02799999911803752,-0.10999999940395357,-0.02000000141561032,-0.02799999911803752,0.0,4.0,-0.04649999976390973
01-14,-0.02799999911803752,-0.10999999940395357,-0.02000000141561032,-0.02799999911803752,0.0,4.0,-0.04649999976390973
01-15,-0.02799999911803752,-0.10999999940395357,-0.02000000141561032,-0.02799999911803752,0.0,4.0,-0.04649999976390973
01-16,-0.02799999911803752,-0.10999999940395357,-0.02000000141561032,-0.02799999911803752,0.0,4.0,-0.04649999976390973
01-17,-0.02799999911803752,-0.07700000703334807,-0.02000000141561032,-0.02799999911803752,0.0,4.0,-0.03825000167125836
01-18,-0.02799999911803752,-0.08999998867511749,-0.017999999225139618,-0.02799999911803752,0.0,4.0,-0.04099999653408304
01-19,-0.02799999911803752,-0.08999998867511749,-0.017999999225139618,-0.02799999911803752,0.0,4.0,-0.04099999653408304
01-21,-0.02799999911803752,-0.04999999701976776,-0.017999999225139618,-0.02799999911803752,0.0,4.0,-0.030999998620245606
01-22,-0.02799999911803752,-0.04999999701976776,-0.017999999225139618,-0.02799999911803752,0.0,4.0,-0.030999998620245606
01-23,-0.02799999911803752,-0.04999999701976776,-0.017999999225139618,-0.0400000010849908,0.0,4.0,-0.033999999111983925
01-24,-0.0400000010849908,-0.06999999284744263,-0.017999999225139618,-0.021000001579523087,0.0,4.0,-0.03724999868427403
01-25,-0.021000001579523087,-0.004999995231628418,-0.03799999877810478,-0.021000001579523087,0.0,4.0,-0.021249999292194843
01-26,-0.021000001579523087,-0.06599999964237213,-0.03799999877810478,-0.021000001579523087,0.0,4.0,-0.03650000039488077
01-27,-0.021000001579523087,-0.06599999964237213,-0.03799999877810478,-0.021000001579523087,0.0,4.0,-0.03650000039488077
01-28,-0.021000001579523087,-0.06599999964237213,-0.03799999877810478,-0.021000001579523087,0.0,4.0,-0.03650000039488077
01-29,-0.021000001579523087,-0.06599999964237213,-0.03799999877810478,-0.021000001579523087,0.0,4.0,-0.03650000039488077
01-30,-0.021000001579523087,-0.06599999964237213,-0.03799999877810478,-0.021000001579523087,0.0,4.0,-0.03650000039488077
01-31,-0.021000001579523087,-0.046000003814697266,0.005000000819563866,-0.03000000119209289,1.0,3.0,-0.023000001441687342
02-01,-0.03000000119209289,-0.047999992966651917,-0.02799999713897705,-0.03000000119209289,0.0,4.0,-0.03399999812245369
02-02,-0.03000000119209289,-0.07099999487400055,-0.0130000002682209,-0.03000000119209289,0.0,4.0,-0.03599999938160181
02-03,-0.03000000119209289,-0.10999999940395357,-0.0130000002682209,-0.03000000119209289,0.0,4.0,-0.04575000051409006
02-04,-0.03000000119209289,-0.10999999940395357,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.04075000016018748
02-05,-0.009999999776482582,-0.10999999940395357,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.035749999806284904
02-06,-0.009999999776482582,-0.06000000238418578,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.023250000551342964
02-07,-0.009999999776482582,-0.06000000238418578,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.023250000551342964
02-08,-0.009999999776482582,-0.06999999284744263,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.025749998167157173
02-09,-0.009999999776482582,-0.06999999284744263,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.025749998167157173
02-10,-0.009999999776482582,-0.06999999284744263,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.025749998167157173
02-11,-0.009999999776482582,-0.06999999284744263,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.025749998167157173
02-12,-0.009999999776482582,-0.06999999284744263,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.025749998167157173
02-13,-0.009999999776482582,-0.06999999284744263,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.025749998167157173
02-14,-0.009999999776482582,-0.06999999284744263,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.025749998167157173
02-15,-0.009999999776482582,-0.06999999284744263,-0.0130000002682209,-0.009999999776482582,0.0,4.0,-0.025749998167157173
02-16,-0.009999999776482582,-0.06999999284744263,-0.0130000002682209,0.0010000001639127733,1.0,3.0,-0.02299999818205833
02-18,0.0010000001639127733,-0.10999999940395357,-0.0130000002682209,0.0010000001639127733,2.0,2.0,-0.030249999836087223
02-19,0.0010000001639127733,-0.10999999940395357,-0.0130000002682209,0.0010000001639127733,2.0,2.0,-0.030249999836087223
02-20,0.0010000001639127733,-0.10999999940395357,-0.007999997586011888,0.0010000001639127733,2.0,2.0,-0.028999999165534977
02-21,0.0010000001639127733,-0.10999999940395357,-0.007999997586011888,0.0010000001639127733,2.0,2.0,-0.028999999165534977
02-22,0.0010000001639127733,-0.10999999940395357,-0.007999997586011888,0.0010000001639127733,2.0,2.0,-0.028999999165534977
02-23,0.0010000001639127733,-0.10999999940395357,-0.007999997586011888,0.0010000001639127733,2.0,2.0,-0.028999999165534977
02-24,0.0010000001639127733,-0.10999999940395357,-0.007999997586011888,0.0010000001639127733,2.0,2.0,-0.028999999165534977
02-25,0.0010000001639127733,-0.10999999940395357,-0.007999997586011888,0.0010000001639127733,2.0,2.0,-0.028999999165534977
02-26,0.0010000001639127733,-0.10999999940395357,-0.007999997586011888,0.0010000001639127733,2.0,2.0,-0.028999999165534977
02-27,0.0010000001639127733,-0.10999999940395357,-0.007999997586011888,-0.007999997586011888,1.0,3.0,-0.031249998603016138
