,2018,2019,2020,ups,downs,avg
01-02,-0.014000000432133676,-0.7399997711181641,-5.7300004959106445,0.0,3.0,-2.161333422486981
01-03,-5.7300004959106445,-0.31999969482421875,-10.420000076293944,0.0,3.0,-5.490000089009604
01-04,-10.420000076293944,0.9099998474121094,-9.59000015258789,1.0,2.0,-6.366666793823242
01-06,-9.59000015258789,2.84999942779541,-10.210000038146973,1.0,2.0,-5.650000254313152
01-07,-10.210000038146973,2.84999942779541,-9.669999122619627,1.0,2.0,-5.676666577657063
01-08,-9.669999122619627,5.589999198913574,-6.729999542236327,1.0,2.0,-3.603333155314128
01-09,-6.729999542236327,4.950000762939453,-6.940000534057617,1.0,2.0,-2.9066664377848306
01-10,-6.940000534057617,4.200000762939453,-5.460000038146973,1.0,2.0,-2.733333269755045
01-11,-5.460000038146973,3.8600006103515625,-3.469999313354492,1.0,2.0,-1.6899995803833008
01-13,-3.469999313354492,5.90000057220459,-2.919999122619629,1.0,2.0,-0.1633326212565104
01-14,-2.919999122619629,5.90000057220459,-3.40000057220459,1.0,2.0,-0.1399997075398763
01-15,-3.40000057220459,5.65000057220459,-5.180000305175781,1.0,2.0,-0.9766667683919272
01-16,-5.180000305175781,7.060000419616699,-5.920001029968263,1.0,2.0,-1.3466669718424482
01-17,-5.920001029968263,9.429999351501463,-6.25,1.0,2.0,-0.9133338928222656
01-18,-6.25,8.680001258850098,-6.7300004959106445,1.0,2.0,-1.4333330790201824
01-21,-6.7300004959106445,10.799999237060547,-10.100001335144043,1.0,2.0,-2.0100008646647134
01-22,-10.100001335144043,10.799999237060547,-9.420000076293944,1.0,2.0,-2.9066673914591465
01-23,-9.420000076293944,10.18000030517578,-7.180000305175781,1.0,2.0,-2.140000025431315
01-24,-7.180000305175781,13.769999504089355,-4.620000839233398,1.0,2.0,0.6566661198933921
01-25,-4.620000839233398,14.580000877380373,-6.2400007247924805,1.0,2.0,1.239999771118164
01-27,-6.2400007247924805,9.59000015258789,-6.2400007247924805,1.0,2.0,-0.96333376566569
01-28,-6.2400007247924805,9.59000015258789,-9.24000072479248,1.0,2.0,-1.9633337656656904
01-29,-9.24000072479248,9.190000534057617,-7.700000762939452,1.0,2.0,-2.583333651224772
01-30,-7.700000762939452,9.000000953674316,-6.6599998474121085,1.0,2.0,-1.7866665522257488
01-31,-6.6599998474121085,9.169999122619627,-8.469999313354492,1.0,2.0,-1.986666679382324
02-01,-8.469999313354492,7.289999008178711,-5.940000534057617,1.0,2.0,-2.3733336130778
02-03,-5.940000534057617,6.540000915527344,-6.790000915527344,1.0,2.0,-2.063333511352539
02-04,-6.790000915527344,6.540000915527344,-9.149999618530273,1.0,2.0,-3.1333332061767583
02-05,-9.149999618530273,5.040000915527344,-11.09000015258789,1.0,2.0,-5.06666628519694
02-06,-11.09000015258789,4.8600006103515625,-11.190000534057617,1.0,2.0,-5.8066666920979815
02-07,-11.190000534057617,5.90000057220459,-9.739999771118164,1.0,2.0,-5.0099999109903965
02-08,-9.739999771118164,5.750000953674316,-12.379999160766602,1.0,2.0,-5.456665992736816
02-10,-12.379999160766602,6.109999656677246,-11.989998817443848,1.0,2.0,-6.0866661071777335
02-11,-11.989998817443848,6.109999656677246,-12.989998817443848,1.0,2.0,-6.2899993260701486
02-12,-12.989998817443848,5.640000343322754,-12.84999942779541,1.0,2.0,-6.733332633972168
02-13,-12.84999942779541,6.200000762939452,-8.520000457763674,1.0,2.0,-5.056666374206543
02-14,-8.520000457763674,5.19999885559082,-9.289999961853027,1.0,2.0,-4.203333854675293
02-15,-9.289999961853027,4.050000190734863,-8.940000534057617,1.0,2.0,-4.726666768391927
02-18,-8.940000534057617,2.899999618530273,-8.270000457763674,1.0,2.0,-4.770000457763672
02-19,-8.270000457763674,2.899999618530273,-9.730000495910645,1.0,2.0,-5.033333778381348
02-20,-9.730000495910645,3.520000457763672,-9.610000610351562,1.0,2.0,-5.273333549499512
02-21,-9.610000610351562,4.590000152587892,-9.09000015258789,1.0,2.0,-4.703333536783855
02-22,-9.09000015258789,5.439999580383301,-6.289999961853027,1.0,2.0,-3.3133335113525386
02-24,-6.289999961853027,4.100000381469728,-6.739999771118164,1.0,2.0,-2.9766664505004883
02-25,-6.739999771118164,4.100000381469728,-3.5100002288818364,1.0,2.0,-2.0499998728434243
02-26,-3.5100002288818364,3.9599990844726562,-3.6499996185302734,1.0,2.0,-1.0666669209798176
02-27,-3.6499996185302734,2.899999618530273,-3.59999942779541,1.0,2.0,-1.4499998092651367
02-28,-3.59999942779541,2.8800010681152344,-2.489999771118164,1.0,2.0,-1.06999937693278
03-01,-2.489999771118164,1.5300006866455078,-4.229999542236328,1.0,2.0,-1.7299995422363281
03-02,-4.229999542236328,2.239998817443848,-4.229999542236328,1.0,2.0,-2.073333422342936
03-03,-4.229999542236328,2.429999351501465,-3.5799999237060547,1.0,2.0,-1.7933333714803057
03-04,-3.5799999237060547,2.429999351501465,-5.8600006103515625,1.0,2.0,-2.336667060852051
03-05,-5.8600006103515625,3.399999618530273,-5.370000839233398,1.0,2.0,-2.6100006103515625
03-06,-5.370000839233398,5.6100006103515625,-5.329999923706055,1.0,2.0,-1.6966667175292969
03-07,-5.329999923706055,4.569999694824219,-3.529998779296875,1.0,2.0,-1.4299996693929036
03-08,-3.529998779296875,4.369999885559082,-2.1099987030029297,1.0,2.0,-0.4233325322469075
03-09,-2.1099987030029297,2.1700010299682617,-2.1099987030029297,1.0,2.0,-0.6833321253458658
03-10,-2.1099987030029297,1.8100004196166992,-1.670000076293945,1.0,2.0,-0.6566661198933921
03-11,-1.670000076293945,1.8100004196166992,-1.0,1.0,2.0,-0.2866665522257487
03-12,-1.0,1.829999923706055,3.1700000762939453,2.0,1.0,1.3333333333333333
03-13,3.1700000762939453,1.5500001907348633,2.7200002670288086,3.0,0.0,2.4800001780192056
03-14,2.7200002670288086,0.8600006103515625,10.15999984741211,3.0,0.0,4.580000241597493
03-15,10.15999984741211,-0.10000038146972656,10.530000686645508,2.0,1.0,6.863333384195965
03-16,10.530000686645508,-2.039999008178711,10.530000686645508,2.0,1.0,6.3400007883707685
03-17,10.530000686645508,-2.589999198913574,9.520000457763672,2.0,1.0,5.820000648498535
03-18,9.520000457763672,-2.589999198913574,8.710000038146973,2.0,1.0,5.21333376566569
03-19,8.710000038146973,-3.5600004196166988,6.459999084472656,2.0,1.0,3.869999567667642
03-20,6.459999084472656,-3.9599990844726562,7.260000228881836,2.0,1.0,3.2533334096272792
03-21,7.260000228881836,-4.870000839233398,6.669999122619629,2.0,1.0,3.0199995040893555
