,2018,2019,2020,ups,downs,avg
01-02,-0.0010999999940395355,-0.04999995231628418,-0.7999999970197678,0.0,3.0,-0.2836999831100305
01-03,-0.7999999970197678,-0.04999995231628418,-0.7900000065565109,0.0,3.0,-0.5466666519641876
01-04,-0.7900000065565109,-0.04999995231628418,-0.699999988079071,0.0,3.0,-0.513333315650622
01-06,-0.699999988079071,-0.04999995231628418,-0.7050000131130219,0.0,3.0,-0.4849999845027924
01-07,-0.7050000131130219,-0.04999995231628418,-0.7050000131130219,0.0,3.0,-0.4866666595141093
01-08,-0.7050000131130219,-0.15999984741210938,-0.6899999976158142,0.0,3.0,-0.5183332860469818
01-09,-0.6899999976158142,-0.15999984741210938,-0.5489999949932098,0.0,3.0,-0.4663332800070445
01-10,-0.5489999949932098,-0.15999984741210938,-0.7000000178813934,0.0,3.0,-0.4696666200955709
01-11,-0.7000000178813934,-0.15999984741210938,-0.6998999714851379,0.0,3.0,-0.5199666122595469
01-13,-0.6998999714851379,-0.15999984741210938,-0.7111499905586243,0.0,3.0,-0.5236832698186239
01-14,-0.7111499905586243,-0.15999984741210938,-0.7012500166893005,0.0,3.0,-0.5241332848866781
01-15,-0.7012500166893005,-0.15999984741210938,-0.9500000178813934,0.0,3.0,-0.6037499606609344
01-16,-0.9500000178813934,-0.15999984741210938,-0.7599999308586121,0.0,3.0,-0.6233332653840383
01-17,-0.7599999308586121,-0.15999984741210938,-0.8599000126123428,0.0,3.0,-0.5932999302943548
01-18,-0.8599000126123428,-0.6899998188018799,-0.6998999714851379,0.0,3.0,-0.7499332676331202
01-21,-0.6998999714851379,-0.15999984741210938,-0.6598999798297882,0.0,3.0,-0.5065999329090118
01-22,-0.6598999798297882,-0.15999984741210938,-0.7601000368595123,0.0,3.0,-0.5266666213671366
01-23,-0.7601000368595123,-0.309999942779541,-0.6599999964237213,0.0,3.0,-0.5766999920209249
01-24,-0.6599999964237213,-0.309999942779541,-0.479999989271164,0.0,3.0,-0.4833333094914754
01-25,-0.479999989271164,-0.309999942779541,-0.5192500054836273,0.0,3.0,-0.4364166458447774
01-27,-0.5192500054836273,-0.309999942779541,-0.5192500054836273,0.0,3.0,-0.4494999845822652
01-28,-0.5192500054836273,-0.309999942779541,-0.5080200135707855,0.0,3.0,-0.4457566539446513
01-29,-0.5080200135707855,-0.309999942779541,-0.20499998331069946,0.0,3.0,-0.3410066465536753
01-30,-0.20499998331069946,-0.059999942779541016,-0.2150999903678894,0.0,3.0,-0.1600333054860433
01-31,-0.2150999903678894,-0.059999942779541016,-0.17963001132011416,0.0,3.0,-0.15157664815584818
02-01,-0.17963001132011416,-0.0279998779296875,-0.2199999988079071,0.0,3.0,-0.14254329601923624
02-03,-0.2199999988079071,-0.0279998779296875,-0.2199999988079071,0.0,3.0,-0.15599995851516724
02-04,-0.2199999988079071,-0.0279998779296875,-0.21000000834465027,0.0,3.0,-0.1526666283607483
02-05,-0.21000000834465027,-0.0279998779296875,-0.21000000834465027,0.0,3.0,-0.14933329820632935
