,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,-1107.1770611657755,25.41883024761925,-298.87638549403795,94.70899470378029,0.0,25.0,18.719647519453414,-42.59928705742677,4.0,4.0,-128.48052612463874
01-03,0.0,0.0,-895.6590505069171,25.41883024761925,-266.8539245890753,94.70899470378029,0.0,25.0,17.258424714845347,-23.867067242274643,4.0,4.0,-102.39937926720222
01-04,0.0,0.0,-896.2487367110475,25.41883024761925,-266.8539245890753,94.70899470378029,0.0,25.0,14.457633453379026,-0.7317015108504983,4.0,4.0,-100.42489044061949
01-05,0.0,0.0,-907.1855644552464,18.18757604975001,-266.8539245890753,94.70899470378029,0.0,25.0,14.965356692847973,-6.994811327082503,4.0,4.0,-102.8172372925026
01-06,0.0,0.0,-901.1904656031053,18.18757604975001,-266.8539245890753,94.70899470378029,0.0,25.0,14.729041817392245,-6.994811327082503,4.0,4.0,-102.24135889483406
01-07,0.0,0.0,-901.1904656031053,15.71609090516946,-266.8539245890753,94.70899470378029,0.0,25.0,14.729041817392245,-4.844556477666741,4.0,4.0,-102.2734819243505
01-08,0.0,0.0,-901.1904656031053,15.71609090516946,-266.8539245890753,94.70899470378029,0.0,25.0,14.729041817392245,-3.6269367045214698,4.0,4.0,-102.151719947036
01-09,0.0,0.0,-901.1904656031053,21.560694892302333,-266.8539245890753,94.70899470378029,0.0,25.0,11.062801914979158,-9.21902124837251,4.0,4.0,-102.49309199294916
01-10,0.0,0.0,-898.2196003566797,21.560694892302333,-266.8539245890753,94.70899470378029,0.0,14.444448307708305,7.950000346451992,-15.091012578924525,4.0,4.0,-104.1500399274437
01-11,0.0,0.0,-937.2045520749327,21.560694892302333,-266.8539245890753,94.70899470378029,-20.000004768371586,14.444448307708305,99.97393797392654,-24.96608001767112,4.0,4.0,-101.83364855723335
01-12,0.0,0.0,-1127.7371641184109,21.560694892302333,-266.8539245890753,94.70899470378029,-20.000004768371586,19.444449963392817,-36.22723041076257,-11.636361994362394,3.0,5.0,-132.67405463215078
01-13,0.0,0.0,-1127.7371641184109,21.560694892302333,-266.8539245890753,94.70899470378029,-20.000004768371586,19.444449963392817,-35.32074184541185,-11.636361994362394,3.0,5.0,-132.58340577561572
01-14,0.0,0.0,-1127.7371641184109,21.560694892302333,-266.8539245890753,94.70899470378029,-20.000004768371586,19.444449963392817,-35.32074184541185,8.18181561619124,4.0,4.0,-130.60158801456035
01-15,0.0,0.0,-1127.7371641184109,21.560694892302333,-266.8539245890753,94.70899470378029,-20.000004768371586,19.444449963392817,-32.89859119177561,-19.774189722308442,3.0,5.0,-133.15497348304672
01-16,0.0,0.0,-1127.7371641184109,21.560694892302333,-266.8539245890753,94.70899470378029,-20.000004768371586,19.444449963392817,-50.09008713912565,-19.463502439739713,3.0,5.0,-134.8430543495248
01-17,0.0,0.0,-1127.7371641184109,19.826592518948765,-129.92956892935894,94.70899470378029,-20.000004768371586,19.444449963392817,-21.138214533922763,-22.397479306423808,3.0,5.0,-118.72223944703664
01-18,0.0,0.0,-1046.8181361541285,10.982662145993205,-129.92956892935894,94.70899470378029,-51.99999809265137,19.444449963392817,-34.28249291260105,-9.790420069990844,3.0,5.0,-114.76845093455648
01-19,0.0,0.0,-1098.5747892459065,13.870247621297956,-129.92956892935894,94.70899470378029,-51.99999809265137,-51.041661007588566,-31.39825353181705,-30.498215141872908,2.0,6.0,-128.48632436241172
01-20,0.0,0.0,-1098.5747892459065,13.870247621297956,-129.92956892935894,94.70899470378029,-51.99999809265137,-70.58822859117325,-16.944440857128004,-30.498215141872908,2.0,6.0,-128.99559985330126
01-21,0.0,0.0,-1098.5747892459065,13.870247621297956,-129.92956892935894,94.70899470378029,-51.99999809265137,-70.58822859117325,-16.944440857128004,-30.498215141872908,2.0,6.0,-128.99559985330126
