,2016,2017,2018,2019,2020,ups,downs,avg
01-02,3.4400005340576167,0.12000000476837155,-0.10000000894069673,-0.02499999850988388,-0.009999997913837426,2.0,3.0,0.6850001066923141
01-03,-0.009999997913837426,0.12000000476837155,-0.10000000894069673,-0.02499999850988388,-0.009999997913837426,1.0,4.0,-0.004999999701976775
01-04,-0.009999997913837426,-0.20000001788139346,-0.10000000894069673,-0.02499999850988388,-0.009999997913837426,0.0,5.0,-0.06900000423192977
01-05,-0.009999997913837426,-0.20000001788139346,-0.10000000894069673,-0.02499999850988388,-0.009999997913837426,0.0,5.0,-0.06900000423192977
01-06,-0.009999997913837426,-0.20000001788139346,-0.10000000894069673,-0.02499999850988388,-0.009999997913837426,0.0,5.0,-0.06900000423192977
01-07,-0.009999997913837426,-0.20000001788139346,-0.10000000894069673,-0.02499999850988388,-0.009999997913837426,0.0,5.0,-0.06900000423192977
01-08,-0.009999997913837426,-0.20000001788139346,-0.10000000894069673,-0.02499999850988388,0.004999998956918722,1.0,4.0,-0.06600000485777854
01-09,0.004999998956918722,-0.20000001788139346,-0.10000000894069673,-0.03499999642372132,0.004999998956918722,2.0,3.0,-0.0650000050663948
01-10,0.004999998956918722,-0.20000001788139346,-0.10000000894069673,-0.07499999925494194,0.004999998956918722,2.0,3.0,-0.07300000563263892
01-11,0.004999998956918722,-0.20000001788139346,-0.10000000894069673,-0.07499999925494194,0.004999998956918722,2.0,3.0,-0.07300000563263892
01-12,0.004999998956918722,-0.20000001788139346,-0.08500000834465027,-0.07499999925494194,0.004999998956918722,2.0,3.0,-0.07000000551342964
01-13,0.004999998956918722,0.0,-0.08500000834465027,-0.07499999925494194,0.004999998956918722,2.0,3.0,-0.030000001937150963
01-14,0.004999998956918722,0.0,-0.08500000834465027,-0.07499999925494194,0.004999998956918722,2.0,3.0,-0.030000001937150963
01-15,0.004999998956918722,0.0,-0.08500000834465027,-0.07499999925494194,0.004999998956918722,2.0,3.0,-0.030000001937150963
01-16,0.004999998956918722,0.0,-0.08500000834465027,-0.0819999985396862,0.004999998956918722,2.0,3.0,-0.03140000179409981
01-17,0.004999998956918722,0.0,-0.06000000238418578,-0.06999999657273294,0.004999998956918722,2.0,3.0,-0.024000000208616257
01-18,0.004999998956918722,0.03999999165534973,-0.06000000238418578,-0.06999999657273294,0.004999998956918722,3.0,2.0,-0.01600000187754631
01-19,0.004999998956918722,-0.09999999403953552,-0.06000000238418578,-0.06999999657273294,0.004999998956918722,2.0,3.0,-0.043999999016523364
01-20,0.004999998956918722,0.0,-0.06000000238418578,-0.06999999657273294,0.004999998956918722,2.0,3.0,-0.024000000208616257
01-21,0.004999998956918722,0.0,-0.06000000238418578,-0.06999999657273294,0.004999998956918722,2.0,3.0,-0.024000000208616257
01-22,0.004999998956918722,0.0,-0.06000000238418578,-0.06999999657273294,0.004999998956918722,2.0,3.0,-0.024000000208616257
01-23,0.004999998956918722,0.0,-0.06000000238418578,-0.06999999657273294,0.004999998956918722,2.0,3.0,-0.024000000208616257
01-24,0.004999998956918722,0.0,-0.06000000238418578,-0.06999999657273294,0.004999998956918722,2.0,3.0,-0.024000000208616257
01-25,0.004999998956918722,0.0,-0.06000000238418578,-0.06999999657273294,0.004999998956918722,2.0,3.0,-0.024000000208616257
01-26,0.004999998956918722,0.0,-0.06000000238418578,-0.05000000074505806,0.004999998956918722,2.0,3.0,-0.020000001043081285
01-27,0.004999998956918722,0.0,-0.06000000238418578,-0.05000000074505806,0.004999998956918722,2.0,3.0,-0.020000001043081285
01-28,0.004999998956918722,0.06000000238418578,-0.06000000238418578,-0.05000000074505806,0.004999998956918722,3.0,2.0,-0.008000000566244125
01-29,0.004999998956918722,0.06000000238418578,-0.06000000238418578,-0.05000000074505806,0.004999998956918722,3.0,2.0,-0.008000000566244125
01-30,0.004999998956918722,0.06000000238418578,-0.06000000238418578,-0.05000000074505806,0.004999998956918722,3.0,2.0,-0.008000000566244125
01-31,0.004999998956918722,0.08000001311302185,-0.07000000774860382,-0.05000000074505806,0.004999998956918722,3.0,2.0,-0.005999999493360518
02-01,0.004999998956918722,0.06000000238418578,-0.07000000774860382,-0.05000000074505806,0.004999998956918722,3.0,2.0,-0.01000000163912773
02-02,0.004999998956918722,0.06000000238418578,-0.07000000774860382,-0.05000000074505806,0.004999998956918722,3.0,2.0,-0.01000000163912773
02-03,0.004999998956918722,0.06000000238418578,-0.07000000774860382,-0.05000000074505806,0.004999998956918722,3.0,2.0,-0.01000000163912773
02-04,0.004999998956918722,-0.019999980926513672,-0.07000000774860382,-0.05000000074505806,0.004999998956918722,2.0,3.0,-0.025999998301267625
02-05,0.004999998956918722,-0.019999980926513672,-0.07000000774860382,-0.05000000074505806,0.004999998956918722,2.0,3.0,-0.025999998301267625
02-06,0.004999998956918722,-0.019999980926513672,-0.07000000774860382,-0.05000000074505806,0.004999998956918722,2.0,3.0,-0.025999998301267625
02-07,0.004999998956918722,0.0,-0.07000000774860382,-0.05000000074505806,-0.015000000596046446,1.0,4.0,-0.026000002026557924
02-08,-0.015000000596046446,0.0,-0.07000000774860382,-0.05000000074505806,-0.015000000596046446,0.0,5.0,-0.030000001937150963
02-09,-0.015000000596046446,0.0,-0.07000000774860382,-0.05000000074505806,-0.015000000596046446,0.0,5.0,-0.030000001937150963
02-10,-0.015000000596046446,0.0,-0.07000000774860382,-0.05000000074505806,-0.015000000596046446,0.0,5.0,-0.030000001937150963
02-11,-0.015000000596046446,-0.09999999403953552,-0.07000000774860382,-0.05000000074505806,-0.015000000596046446,0.0,5.0,-0.05000000074505806
02-12,-0.015000000596046446,-0.09999999403953552,-0.07000000774860382,-0.05000000074505806,-0.015000000596046446,0.0,5.0,-0.05000000074505806
02-13,-0.015000000596046446,-0.09999999403953552,-0.07000000774860382,-0.05000000074505806,-0.015000000596046446,0.0,5.0,-0.05000000074505806
