,2009,2010,2011,2012,2013,2020,ups,downs,avg
01-02,0.0,-9.999994179234234,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-03,0.0,45.00000291038289,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,4.16666715173048
01-04,0.0,45.00000291038289,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,4.16666715173048
01-05,0.0,45.00000291038289,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,4.16666715173048
01-06,0.0,45.00000291038289,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,4.16666715173048
01-07,0.0,45.00000291038289,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,4.16666715173048
01-08,0.0,45.00000291038289,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,4.16666715173048
01-09,0.0,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-17.222220605342837
01-10,79.99999922389787,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-3.888887401359859
01-11,79.99999922389787,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-3.888887401359859
01-12,79.99999922389787,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-3.888887401359859
01-13,79.99999922389787,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-3.888887401359859
01-14,79.99999922389787,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-3.888887401359859
01-15,0.0,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-17.222220605342837
01-16,24.999994543031665,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-13.055554848170896
01-17,24.999994543031665,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-13.055554848170896
01-18,24.999994543031665,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-13.055554848170896
01-19,24.999994543031665,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-13.055554848170896
01-20,24.999994543031665,-83.33332363205702,-20.00000000000001,0.0,0.0,0.0,1.0,4.0,-13.055554848170896
01-22,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
01-23,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
01-24,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
01-25,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
01-26,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
01-27,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
01-28,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
01-29,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
01-30,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
01-31,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
02-01,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
02-02,79.99999922389787,-83.33332363205702,0.0,0.0,0.0,0.0,1.0,4.0,-0.5555540680265239
02-03,79.99999922389787,-66.66666666666663,0.0,0.0,0.0,0.0,1.0,4.0,2.222222092871874
02-04,79.99999922389787,-400.00003637978864,0.0,0.0,0.0,0.0,1.0,4.0,-53.33333952598182
02-05,79.99999922389787,-400.00003637978864,0.0,0.0,0.0,0.0,1.0,4.0,-53.33333952598182
02-06,79.99999922389787,-400.00003637978864,0.0,0.0,0.0,0.0,1.0,4.0,-53.33333952598182
02-07,79.99999922389787,-400.00003637978864,0.0,0.0,0.0,0.0,1.0,4.0,-53.33333952598182
