,2020,ups,downs,avg
10-08,-3.4099998474121094,0.0,1.0,-3.4099998474121094
10-09,-2.4499998092651367,0.0,1.0,-2.4499998092651367
10-12,-1.510000228881836,0.0,1.0,-1.510000228881836
10-13,-1.1599998474121094,0.0,1.0,-1.1599998474121094
10-14,-1.2200002670288086,0.0,1.0,-1.2200002670288086
10-15,-0.7100000381469744,0.0,1.0,-0.7100000381469744
10-16,-0.9099998474121094,0.0,1.0,-0.9099998474121094
10-19,-0.8099994659423828,0.0,1.0,-0.8099994659423828
10-20,-0.6599998474121094,0.0,1.0,-0.6599998474121094
10-21,-0.2899999618530273,0.0,1.0,-0.2899999618530273
10-22,-0.09000015258788885,0.0,1.0,-0.09000015258788885
10-23,0.01000022888183416,1.0,0.0,0.01000022888183416
10-26,-0.010000228881835938,0.0,1.0,-0.010000228881835938
10-27,-0.07999992370605291,0.0,1.0,-0.07999992370605291
10-28,0.10000038146972656,1.0,0.0,0.10000038146972656
10-29,0.2700004577636701,1.0,0.0,0.2700004577636701
10-30,0.1100006103515625,1.0,0.0,0.1100006103515625
11-02,-0.4099998474121094,0.0,1.0,-0.4099998474121094
11-03,-0.8999996185302734,0.0,1.0,-0.8999996185302734
11-04,-0.8099994659423828,0.0,1.0,-0.8099994659423828
11-05,-0.5100002288818359,0.0,1.0,-0.5100002288818359
11-06,0.31999969482421875,1.0,0.0,0.31999969482421875
11-09,0.0,0.0,1.0,0.0
11-10,0.0,0.0,1.0,0.0
11-11,0.0,0.0,1.0,0.0
