,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-8.950000047683718,0.22999995946884155,0.5850000381469727,-4.900000095367432,0.4999999403953552,-0.3059999942779541,3.0,4.0,-1.8344285999025616
01-03,-0.3059999942779541,-8.950000047683718,0.30000001192092896,0.5850000381469727,-4.496000289916992,-0.10500001907348633,-0.2399999797344208,2.0,5.0,-1.8874286115169523
01-04,-0.2399999797344208,-8.950000047683718,0.30000001192092896,1.3200006484985352,-3.0830001831054688,-0.009999990463256836,-0.2709999978542328,2.0,5.0,-1.5619999340602333
01-05,-0.2709999978542328,-8.950000047683718,0.30000001192092896,1.6100006103515625,-2.869999885559082,0.7400000095367432,-0.2800000011920929,3.0,4.0,-1.3887141857828411
01-06,-0.2800000011920929,-8.950000047683718,-0.19999998807907104,2.0050001144409184,-4.260000228881837,0.5100001096725464,-0.2800000011920929,2.0,5.0,-1.6364285775593348
01-07,-0.2800000011920929,-8.950000047683718,-0.1899999976158142,1.0,-4.369999885559082,0.5100001096725464,-0.2700000107288361,2.0,5.0,-1.7928571190152849
01-08,-0.2700000107288361,-8.950000047683718,-0.2200000286102295,1.6499996185302734,-4.369999885559082,0.2700001001358032,-0.3169999867677689,2.0,5.0,-1.7438571772405085
01-09,-0.3169999867677689,-8.950000047683718,-0.3199999928474426,1.6499996185302734,-4.840000152587892,0.25,-0.36500001698732376,2.0,5.0,-1.8417143683348385
01-10,-0.36500001698732376,-8.950000047683718,-0.3199999928474426,0.21000003814697266,-4.515000343322754,0.14499998092651367,-0.3709999918937683,2.0,5.0,-2.0237143390945027
01-11,-0.3709999918937683,-8.950000047683718,-0.3199999928474426,-3.6999998092651367,-4.299999713897705,0.12000000476837155,-0.3499999940395355,1.0,6.0,-2.5529999349798485
01-12,-0.3499999940395355,-8.950000047683718,-0.3199999928474426,-6.75,-4.0,0.2699999809265137,-0.3779999911785126,1.0,6.0,-2.925428577831813
01-13,-0.3779999911785126,-8.950000047683718,-0.4000000059604645,-1.270000457763672,-4.569999694824219,0.3400000333786011,-0.3779999911785126,1.0,6.0,-2.2294285936014995
01-14,-0.3779999911785126,-8.950000047683718,-0.30900001525878906,3.7899999618530273,-4.569999694824219,0.3400000333786011,-0.3429999947547913,2.0,5.0,-1.4885713926383428
01-15,-0.3429999947547913,-8.75,-0.3900000154972077,4.300000190734863,-4.569999694824219,0.4000000953674317,-0.2800000011920929,2.0,5.0,-1.3761427743094308
01-16,-0.2800000011920929,-8.700000047683716,-0.31300002336502075,4.300000190734863,-4.569999694824219,0.4900000095367432,-0.25099998712539673,2.0,5.0,-1.3319999362741195
01-17,-0.25099998712539673,-8.700000047683716,-0.3400000333786011,4.300000190734863,-4.349999904632568,0.3500000238418579,-0.2660000026226044,2.0,5.0,-1.322428537266595
01-18,-0.2660000026226044,-8.700000047683716,-0.3400000333786011,-0.32200050354003906,-4.794999837875366,0.4299999475479126,-0.2569999843835831,1.0,6.0,-2.0357143517051424
01-19,-0.2569999843835831,-8.700000047683716,-0.3400000333786011,0.3449993133544922,-4.480000019073486,0.33000004291534424,-0.2539999932050705,2.0,5.0,-1.9080001030649456
01-20,-0.2539999932050705,-8.700000047683716,-0.3900000154972077,0.6500005722045898,-4.0,0.3000000715255737,-0.2539999932050705,2.0,5.0,-1.8068570579801289
01-21,-0.2539999932050705,-8.700000047683716,-0.3879999816417694,0.6499996185302734,-3.369999885559082,0.3000000715255737,-0.2539999932050705,2.0,5.0,-1.7165714587484089
01-22,-0.2539999932050705,-8.75,-0.2799999713897705,-0.35000038146972656,-3.369999885559082,0.3000000715255737,-0.2409999966621399,1.0,6.0,-1.8492857366800308
