,2017,2018,2019,2020,ups,downs,avg
01-02,-0.0429999977350235,-0.002999991178512601,-0.01679999381303786,-0.004009999334812164,0.0,4.0,-0.01670249551534653
01-03,-0.004009999334812164,-0.021399989724159296,0.0059999972581863395,-0.007500000298023223,1.0,3.0,-0.006727498024702086
01-04,-0.007500000298023223,-0.029199987649917606,0.0059999972581863395,-0.007500000298023223,1.0,3.0,-0.009549997746944427
01-05,-0.007500000298023223,0.0028000026941299447,0.0059999972581863395,-0.007500000298023223,2.0,2.0,-0.0015500001609325411
01-06,-0.007500000298023223,0.00509999692440033,0.0059999972581863395,-0.007500000298023223,2.0,2.0,-0.0009750016033649443
01-07,-0.007500000298023223,-0.008199989795684814,0.0059999972581863395,-0.027000002562999725,1.0,3.0,-0.009174998849630356
01-08,-0.027000002562999725,-0.008199989795684814,0.0059999972581863395,-0.027000002562999725,1.0,3.0,-0.01404999941587448
01-09,-0.027000002562999725,-0.005999997258186368,0.008400008082389806,-0.027000002562999725,1.0,3.0,-0.012899998575449005
01-10,-0.027000002562999725,-0.012900009751319913,0.008400008082389806,-0.027000002562999725,1.0,3.0,-0.01462500169873239
01-11,-0.027000002562999725,-0.011900007724761965,0.008400008082389806,-0.027000002562999725,1.0,3.0,-0.014375001192092902
01-12,-0.027000002562999725,-0.019340008497238208,-0.01647000014781952,-0.027000002562999725,0.0,4.0,-0.022452503442764296
01-13,-0.027000002562999725,-0.01039999723434451,0.009000003337860106,-0.027000002562999725,1.0,3.0,-0.013849999755620963
01-14,-0.027000002562999725,-0.01039999723434451,0.009000003337860106,-0.027000002562999725,1.0,3.0,-0.013849999755620963
01-15,-0.027000002562999725,-0.01039999723434451,0.009000003337860106,-0.027000002562999725,1.0,3.0,-0.013849999755620963
01-16,-0.027000002562999725,-0.01039999723434451,0.009000003337860106,-0.027000002562999725,1.0,3.0,-0.013849999755620963
01-17,-0.027000002562999725,-0.03239999711513522,0.009000003337860106,-0.027000002562999725,1.0,3.0,-0.01934999972581864
01-18,-0.027000002562999725,-0.036100000143051175,-0.013400003314018263,-0.02499999850988388,0.0,4.0,-0.025375001132488258
01-19,-0.02499999850988388,-0.013099998235702542,-0.013400003314018263,-0.02499999850988388,0.0,4.0,-0.019124999642372145
01-21,-0.02499999850988388,-0.04099999368190765,-0.011900000274181366,-0.02499999850988388,0.0,4.0,-0.025724997743964195
01-22,-0.02499999850988388,-0.04099999368190765,-0.011900000274181366,-0.010000001639127731,0.0,4.0,-0.021974998526275158
