,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-2.979999542236328,3.0100002288818364,1.2000007629394531,3.4300003051757812,-0.8800010681152344,2.469999313354492,-10.920000076293944,4.0,3.0,-0.6671428680419922
01-03,-10.920000076293944,1.170000076293945,1.5300006866455078,3.4300003051757812,-1.7400016784667969,3.029998779296875,-14.84999942779541,4.0,3.0,-2.621428762163435
01-04,-14.84999942779541,1.8400001525878904,1.5300006866455078,4.349998474121094,-1.230001449584961,2.30000114440918,-15.65999984741211,4.0,3.0,-3.1028571810041154
01-05,-15.65999984741211,1.8400001525878904,1.3600006103515625,4.80000114440918,-2.229999542236328,1.8700008392333984,-15.980000495910645,4.0,3.0,-3.4285710198538646
01-06,-15.980000495910645,0.8100013732910156,2.3800010681152344,4.499998092651367,-2.029998779296875,1.7000007629394531,-15.980000495910645,4.0,3.0,-3.514285496303013
01-07,-15.980000495910645,1.3499984741210938,3.3199996948242188,3.969999313354492,-2.3499984741210938,1.7000007629394531,-16.34999942779541,4.0,3.0,-3.477142878941127
01-08,-16.34999942779541,0.6999988555908203,3.6800003051757812,3.5999984741210938,-2.3499984741210938,1.0400009155273438,-14.15999984741211,4.0,3.0,-3.405714171273368
01-09,-14.15999984741211,0.9400005340576172,3.75,3.5999984741210938,-2.4099998474121094,0.8600006103515625,-15.74000072479248,4.0,3.0,-3.3085715430123463
01-10,-15.74000072479248,0.8899993896484375,3.75,3.929998397827149,-2.34000015258789,-0.1400012969970703,-17.120000839233402,3.0,4.0,-3.824286460876465
01-11,-17.120000839233402,0.5599994659423828,3.75,3.399999618530273,-2.680000305175781,-0.15999984741210938,-16.489999771118164,3.0,4.0,-4.105714525495257
01-12,-16.489999771118164,0.5599994659423828,3.1799983978271484,2.8199996948242188,-2.259998321533203,0.2999992370605469,-14.69999885559082,4.0,3.0,-3.798571450369699
01-13,-14.69999885559082,-0.1100006103515625,3.489999771118164,2.979999542236328,-0.8399982452392578,0.39999961853027344,-14.69999885559082,3.0,4.0,-3.354285376412528
01-14,-14.69999885559082,0.14999961853027344,3.780000686645508,3.4400005340576167,-0.8399982452392578,0.39999961853027344,-14.129999160766602,4.0,3.0,-3.1285708291190013
01-15,-14.129999160766602,0.9200000762939452,4.959999084472656,3.84000015258789,-0.8399982452392578,0.9800014495849608,-12.75,4.0,3.0,-2.4314280918666293
01-16,-12.75,0.4300003051757813,6.340000152587892,3.84000015258789,-0.8399982452392578,0.279998779296875,-12.399999618530273,4.0,3.0,-2.157142639160156
01-17,-12.399999618530273,0.970001220703125,6.219999313354492,3.84000015258789,-0.9200000762939452,0.0,-12.25,3.0,4.0,-2.0771427154541016
01-18,-12.25,0.970001220703125,6.219999313354492,3.6499996185302734,-0.9599990844726562,0.13000106811523438,-12.34000015258789,4.0,3.0,-2.0828568594796315
01-19,-12.34000015258789,0.970001220703125,6.219999313354492,3.6000003814697266,-1.6299991607666016,0.5699996948242188,-13.34000015258789,4.0,3.0,-2.2785712650844028
01-20,-13.34000015258789,0.970001220703125,6.0700016021728525,3.1700000762939453,-0.6700000762939453,0.6900005340576172,-13.34000015258789,4.0,3.0,-2.349999564034598
01-21,-13.34000015258789,1.6999988555908203,5.930000305175781,3.3300018310546875,-0.1700000762939453,0.6900005340576172,-13.34000015258789,4.0,3.0,-2.1714284079415456
01-22,-13.34000015258789,0.8000011444091797,5.319999694824219,2.8299999237060547,-0.1700000762939453,0.6900005340576172,-12.980001449584961,4.0,3.0,-2.407142911638533
01-23,-12.980001449584961,1.4099998474121094,5.539999008178711,2.8299999237060547,-0.11999893188476562,1.1300010681152344,-13.75,4.0,3.0,-2.2771429334368025
01-24,-13.75,4.760000228881836,5.709999084472656,2.450000762939453,0.6700000762939453,1.3000011444091797,-12.210000991821287,5.0,2.0,-1.5814285278320312
01-25,-12.210000991821287,4.85999870300293,5.709999084472656,2.1700000762939453,0.480001449584961,1.5500011444091797,-11.559999465942385,5.0,2.0,-1.2857142857142858
01-26,-11.559999465942385,4.85999870300293,5.189998626708984,2.060001373291016,0.7600002288818359,1.1999988555908203,-11.559999465942385,5.0,2.0,-1.2928573063441686
01-27,-11.559999465942385,5.3899993896484375,5.309999465942383,2.290000915527344,0.5600013732910156,1.2999992370605469,-11.559999465942385,5.0,2.0,-1.1814283643450056
01-28,-11.559999465942385,5.780000686645508,5.670000076293945,2.510000228881836,0.6899986267089844,1.2999992370605469,-11.509998321533205,5.0,2.0,-1.0171427045549666
01-29,-11.509998321533205,5.8999996185302725,5.5,2.510000228881836,0.6899986267089844,1.3599987030029297,-10.130001068115234,5.0,2.0,-0.8114288875034877
01-30,-10.130001068115234,6.329999923706055,5.209999084472656,2.510000228881836,1.0499992370605469,1.329999923706055,-9.93000030517578,5.0,2.0,-0.5185718536376953
01-31,-9.93000030517578,6.099998474121094,5.379999160766602,2.6599998474121094,0.8499984741210938,1.5099983215332031,-10.619998931884766,5.0,2.0,-0.5785721370152065
02-01,-10.619998931884766,5.5,5.379999160766602,1.8800010681152344,0.9800014495849608,1.6800003051757812,-11.309999465942385,5.0,2.0,-0.9299994877406528
02-02,-11.309999465942385,5.5,6.760000228881836,1.489999771118164,1.8100013732910158,1.7000007629394531,-12.329999923706055,5.0,2.0,-0.9114281790597099
02-03,-12.329999923706055,5.620000839233398,6.319999694824219,1.670000076293945,2.6400012969970703,1.7000007629394531,-12.329999923706055,5.0,2.0,-0.958571025303432
02-04,-12.329999923706055,5.530000686645508,6.30000114440918,2.0300006866455083,2.3599987030029297,1.7000007629394531,-12.389999389648438,5.0,2.0,-0.9714281899588448
02-05,-12.389999389648438,6.30000114440918,6.829999923706055,1.510000228881836,2.3599987030029297,1.239999771118164,-13.240001678466795,5.0,2.0,-1.0557144709995814
02-06,-13.240001678466795,6.1299991607666025,9.280000686645508,1.510000228881836,1.8999977111816408,1.270000457763672,-11.469999313354492,5.0,2.0,-0.6600003923688617
