,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.14090365171432495,-0.1644000113010406,0.0006000008434057268,0.11320000141859055,-0.028300002217292782,-0.008900001645088196,-0.0028000008314847946,3.0,5.0,0.006287954747676856
01-03,-0.0028000008314847946,0.006086587905883789,-0.1499999910593033,0.0006000008434057268,0.11320000141859055,-0.03929999470710754,-0.015000000596046446,-0.0027399994432926143,3.0,5.0,-0.01124417455866933
01-04,-0.0027399994432926143,0.048692405223846436,-0.1499999910593033,0.0006000008434057268,0.11320000141859055,-0.02409999817609787,-0.002999998629093163,-0.0027399994432926143,3.0,5.0,-0.002510947408154609
01-05,-0.0027399994432926143,0.048692405223846436,-0.1499999910593033,0.0006000008434057268,0.0798000022768974,-0.04739999026060104,-0.002999998629093163,-0.007550000213086605,3.0,5.0,-0.010199696407653398
01-06,-0.007550000213086605,0.048692405223846436,-0.1499999910593033,0.009999999776482586,0.06430000066757201,-0.058000005781650536,-0.002999998629093163,-0.007550000213086605,3.0,5.0,-0.012888448778539905
01-07,-0.007550000213086605,0.06390887498855591,-0.1499999910593033,0.0,0.07119999825954437,-0.058000005781650536,-0.002999998629093163,-0.0018999995663762095,2.0,6.0,-0.010667640250176195
01-08,-0.0018999995663762095,0.0,-0.196399986743927,0.009999999776482586,0.07119999825954437,-0.058000005781650536,0.0010000020265579293,-0.0031000003218650835,3.0,5.0,-0.022149999043904245
01-09,-0.0031000003218650835,-0.0036519765853881853,-0.1979999840259552,0.009999999776482586,0.07119999825954437,-0.06850000470876694,0.0010000020265579293,-0.0031000003218650835,3.0,5.0,-0.02426899573765695
01-10,-0.0031000003218650835,-0.03043276071548462,-0.1979999840259552,0.009999999776482586,0.07119999825954437,-0.05500000715255736,-0.002900000661611557,-0.008499999530613422,2.0,6.0,-0.027091594296507537
01-11,-0.008499999530613422,-0.08216845989227295,-0.1679999902844429,0.009999999776482586,0.04580000042915343,-0.05539999902248381,-0.0023999996483325967,-0.009499999694526196,2.0,6.0,-0.03377105598337948
01-12,-0.009499999694526196,-0.07608193159103394,-0.1679999902844429,0.009999999776482586,0.05179999768733978,-0.12039999663829802,0.0032999999821186,-0.009499999694526196,3.0,5.0,-0.039797740057110786
