,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-0.6450000107288361,0.06000000238418578,0.090999998152256,-0.0130000002682209,-0.0020000003278255467,0.0010000001639127733,-0.0012499999720603228,3.0,4.0,-0.07275000151379833
01-03,-0.0012499999720603228,0.10999998450279236,0.10000000149011612,-0.0130000002682209,-0.0030000004917383194,0.006400000303983688,-0.0012499999720603228,3.0,4.0,0.0282714265132589
01-04,-0.0012499999720603228,0.06999999284744263,0.10000000149011612,-0.0130000002682209,-0.007789999246597291,0.022499999962747097,-0.0012499999720603228,3.0,4.0,0.024172856405909573
01-05,-0.0012499999720603228,0.06999999284744263,0.10000000149011612,-0.015999998897314068,0.0009999983012676241,0.011899999342858791,-0.001299999887123704,4.0,3.0,0.02347857046074101
01-06,-0.001299999887123704,0.10999998450279236,0.11000000685453416,-0.009999999776482582,-0.006500000134110451,0.011899999342858791,-0.001299999887123704,3.0,4.0,0.030399998716477836
01-07,-0.001299999887123704,0.10999998450279236,0.08500000089406967,-0.009999999776482582,-0.0025000013411045074,0.011899999342858791,-0.001299999887123704,3.0,4.0,0.02739999769255519
01-08,-0.001299999887123704,0.09000000357627869,0.07999999821186066,-0.009999999776482582,-0.0025000013411045074,0.011899999342858791,-0.001299999887123704,3.0,4.0,0.023828571462737664
01-09,-0.001299999887123704,0.09000000357627869,0.08500000089406967,-0.009999999776482582,-0.0025000013411045074,0.01604000013321638,-0.0010999999940395355,3.0,4.0,0.02516285765783063
01-10,-0.0010999999940395355,0.019999980926513672,0.08500000089406967,-0.02000000141561032,-0.019499998539686203,0.01604000013321638,-0.0011999998241662981,3.0,4.0,0.011319997454328195
01-11,-0.0011999998241662981,0.019999980926513672,0.08500000089406967,-0.0059999991208314896,-0.03000000119209289,0.01604000013321638,-0.0011999998241662981,3.0,4.0,0.011805711713220392
01-12,-0.0011999998241662981,0.019999980926513672,0.08500000089406967,-0.006999999284744264,-0.011099999770522121,0.010499999858438969,-0.0014999998966231944,3.0,4.0,0.013528568986138065
01-13,-0.0014999998966231944,0.009999990463256836,0.08999999612569809,-0.012999998405575752,0.0018999986350536344,0.010499999858438969,-0.0014999998966231944,4.0,3.0,0.013771426697660773
01-14,-0.0014999998966231944,0.03000000119209289,0.08999999798834324,-0.008999999612569809,0.0018999986350536344,0.010499999858438969,-0.0014999998966231944,4.0,3.0,0.01719999975258751
01-15,-0.0014999998966231944,-0.02000001072883606,0.08999999798834324,-0.008999999612569809,0.0018999986350536344,0.010499999858438969,-0.0014999998966231944,3.0,4.0,0.010057140906740512
01-16,-0.0014999998966231944,-0.03000000119209289,0.1100000012665987,-0.008999999612569809,0.0018999986350536344,-0.00047000031918287277,-0.0014999998966231944,2.0,5.0,0.009918571283508624
01-17,-0.0014999998966231944,0.03000000119209289,0.09200000204145907,-0.008999999612569809,-0.0021000001579523087,-0.0005000000819563867,-0.0014999998966231944,2.0,5.0,0.015342857655403868
01-18,-0.0014999998966231944,0.03000000119209289,0.09200000204145907,-0.015999998897314068,-0.009600000455975529,-0.0018000002019107344,-0.0014999998966231944,2.0,5.0,0.01308571484072932
01-19,-0.0014999998966231944,0.03000000119209289,0.09200000204145907,-0.015999998897314068,-0.009600000455975529,0.0023999996483325967,-0.0014999998966231944,3.0,4.0,0.013685714819335512
01-20,-0.0014999998966231944,0.03000000119209289,0.1100000012665987,-0.015999998897314068,-0.020099999383091927,9.99998301267624e-05,-0.0014999998966231944,3.0,4.0,0.014428572030737996
01-21,-0.0014999998966231944,0.03000000119209289,0.0800000000745058,-0.015999998897314068,-0.020099999383091927,9.99998301267624e-05,-0.0014999998966231944,3.0,4.0,0.010142857574724726
01-22,-0.0014999998966231944,0.04000002145767212,0.07000000216066837,-0.015999998897314068,-0.020099999383091927,9.99998301267624e-05,-0.0014999998966231944,3.0,4.0,0.010142860767830695
01-23,-0.0014999998966231944,0.07999998331069946,0.11499999649822712,-0.015999998897314068,-0.020099999383091927,0.0003499998711049557,-0.0014999998966231944,3.0,4.0,0.02232142594376845
01-24,-0.0014999998966231944,0.06999996304512024,0.1100000012665987,-0.015999998897314068,-0.014599999412894247,0.0003499998711049557,-0.0014999998966231944,3.0,4.0,0.02096428086848132
01-25,-0.0014999998966231944,0.08000001311302185,0.1100000012665987,-0.015999998897314068,-0.005100002512335777,0.0003499998711049557,-0.0014999998966231944,3.0,4.0,0.02375000186397561
01-26,-0.0014999998966231944,0.08000001311302185,0.1100000012665987,-0.015999998897314068,-0.0010999999940395355,0.0035499995574355125,-0.0014999998966231944,3.0,4.0,0.024778573607493724
