,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-0.004009999334812164,10.0,-5.0,-25.0,23.0,2.0,18.0,-17.0,-6.009994506835966,4.0,5.0,-0.001556056241197565
01-03,-6.009994506835966,10.0,-5.0,-25.0,24.0,2.0,18.0,-17.0,-12.009994506835964,4.0,5.0,-1.2244432237413259
01-04,-12.009994506835964,10.0,20.0,-25.0,24.0,2.0,18.0,-17.0,-15.0,5.0,4.0,0.5544450547960038
01-05,-15.0,-1.0,20.0,-25.0,24.0,2.0,18.0,-17.0,-18.0,4.0,5.0,-1.3333333333333333
01-06,-18.0,-1.0,20.0,-25.0,24.0,2.0,27.0,-17.0,-18.0,4.0,5.0,-0.6666666666666666
01-07,-18.0,-1.0,20.0,-25.0,24.0,6.0,27.0,-17.0,-18.0,4.0,5.0,-0.2222222222222222
01-08,-18.0,-5.0,20.0,-25.0,27.0,6.0,27.0,-15.0,-20.0,4.0,5.0,-0.3333333333333333
01-09,-20.0,-2.0,5.0,-25.0,27.0,6.0,18.0,-34.0,-17.009994506835913,4.0,5.0,-4.6677771674262125
01-10,-17.009994506835913,-2.0,5.0,-25.0,27.0,7.0,18.0,-34.0,-31.0,4.0,5.0,-5.778888278537322
01-11,-31.0,-2.0,5.0,-25.0,27.0,7.0,18.0,-34.0,-34.0,4.0,5.0,-7.666666666666668
01-12,-34.0,1.0,5.0,-25.0,27.0,22.0,6.0,-34.25,-14.0,5.0,4.0,-5.138888888888889
01-13,-14.0,1.0,5.0,-25.0,27.0,22.0,6.0,-34.25,-14.0,5.0,4.0,-2.9166666666666665
01-14,-14.0,1.0,5.0,-24.0,27.0,12.0,6.0,-34.25,-14.0,5.0,4.0,-3.9166666666666665
01-15,-14.0,1.0,15.0,-24.0,27.0,12.0,6.0,-34.25,-15.0,5.0,4.0,-2.9166666666666665
01-16,-15.0,-6.0,15.0,-24.0,33.0,12.0,6.0,-34.25,-15.600006103515597,4.0,5.0,-3.2055562337239563
01-17,-15.600006103515597,-2.0,0.0,-25.0,29.0,12.0,6.0,-34.25,-14.0,3.0,6.0,-4.872222900390621
01-18,-14.0,-2.0,0.0,-25.0,29.0,12.0,-1.0,-34.25,-14.0,2.0,7.0,-5.472222222222222
01-19,-14.0,5.0,0.0,-25.0,29.0,12.0,-1.0,-34.25,-14.0,3.0,6.0,-4.6944444444444455
01-20,-14.0,5.0,0.0,-25.0,29.0,21.0,-1.0,-25.25,-14.0,3.0,6.0,-2.6944444444444446
01-21,-14.0,5.0,0.0,-22.0,23.0,21.0,-1.0,-25.25,-14.0,3.0,6.0,-3.0277777777777777
01-22,-14.0,5.0,0.0,-22.0,23.0,21.0,-1.0,-25.25,-14.0,3.0,6.0,-3.0277777777777777
01-23,-14.0,5.0,0.0,-22.0,23.0,21.0,-1.0,-15.0,-0.020004272460909082,3.0,6.0,-0.33555603027343434
