,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.1714000105857849,0.14660000801086426,-0.10500000417232512,2.0,2.0,0.053250003606081016
01-03,-0.10500000417232512,0.1714000105857849,0.19777995347976685,-0.09239999949932096,2.0,2.0,0.04294499009847641
01-04,-0.09239999949932096,0.1714000105857849,0.14419996738433838,-0.08972001075744629,2.0,2.0,0.033369991928339005
01-05,-0.08972001075744629,0.1714000105857849,0.13021999597549438,-0.08500000834465027,2.0,2.0,0.03172499686479568
01-06,-0.08500000834465027,0.1714000105857849,0.136199951171875,-0.08500000834465027,2.0,2.0,0.034399986267089844
01-07,-0.08500000834465027,0.1714000105857849,0.136199951171875,-0.07999999821186066,2.0,2.0,0.03564998880028725
01-08,-0.07999999821186066,0.1714000105857849,0.136199951171875,-0.13620000332593918,2.0,2.0,0.02284999005496502
01-09,-0.13620000332593918,-0.02209997177124024,0.1426999568939209,-0.1218699961900711,1.0,3.0,-0.034367503598332405
01-10,-0.1218699961900711,-0.02209997177124024,0.2436800003051757,-0.11080000549554823,1.0,3.0,-0.002772493287920952
01-11,-0.11080000549554823,-0.06839996576309204,0.14329999685287476,-0.10019999742507936,1.0,3.0,-0.03402499295771122
01-12,-0.10019999742507936,-0.045799970626831055,0.0910000205039978,-0.10205000638961792,1.0,3.0,-0.03926248848438263
01-13,-0.10205000638961792,-0.04339998960494995,0.09408003091812134,-0.10205000638961792,1.0,3.0,-0.03835499286651611
01-14,-0.10205000638961792,-0.04339998960494995,0.09408003091812134,-0.10205000638961792,1.0,3.0,-0.03835499286651611
01-15,-0.10205000638961792,-0.04339998960494995,0.09408003091812134,-0.05810999870300292,1.0,3.0,-0.02736999094486237
01-16,-0.05810999870300292,-0.04339998960494995,0.09905999898910522,-0.06712000072002411,1.0,3.0,-0.01739249750971794
01-17,-0.06712000072002411,-0.04339998960494995,0.13992995023727414,-0.07202000916004181,1.0,3.0,-0.010652512311935423
01-18,-0.07202000916004181,-0.04339998960494995,0.08499997854232788,-0.11219999939203262,1.0,3.0,-0.035655004903674126
