,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-0.009999997913837426,-1.2995000220835211,0.0,0.0,0.0020000003278255454,0.012499999254941944,0.0020000003278255445,-0.004249999765306712,3.0,5.0,-0.162156252481509
01-03,-0.004249999765306712,-1.42000000923872,0.0,0.0,0.0020000003278255454,0.012499999254941944,0.0020000003278255445,-0.0009499997831881038,3.0,5.0,-0.17608750110957772
01-04,-0.0009499997831881038,-1.4899999424815178,0.0,0.0,0.0020000003278255454,0.012499999254941944,0.0020000003278255445,-0.0016499995253980168,3.0,5.0,-0.1845124927349389
01-05,-0.0016499995253980168,-1.4899999424815178,0.0,0.0,0.0020000003278255454,0.012499999254941944,0.0020000003278255445,-0.0016499995253980168,3.0,5.0,-0.1845999927027151
01-06,-0.0016499995253980168,-1.4899999424815178,0.0,0.0,0.0020000003278255454,0.01397999934852123,0.0020000003278255445,-0.0016499995253980168,3.0,5.0,-0.1844149926910177
01-07,-0.0016499995253980168,-1.5000000521540642,0.0,0.0,0.0020000003278255454,0.01397999934852123,0.0020000003278255445,-0.0009999996982514867,3.0,5.0,-0.18558375642169267
01-08,-0.0009999996982514867,-1.530000023543835,0.0,0.0,0.0020000003278255454,0.01397999934852123,0.0020000003278255445,0.00039999978616833774,4.0,4.0,-0.18907750293146824
01-09,0.00039999978616833774,-1.5999999754130838,0.0,0.0,0.0020000003278255454,0.01397999934852123,0.0020000003278255445,0.00029999995604157535,5.0,3.0,-0.1976649969583377
01-10,0.00029999995604157535,-1.5700000040233135,0.0,0.0,0.0020000003278255454,0.01397999934852123,0.0020000003278255445,-0.0010999999940395364,4.0,4.0,-0.1941025005071424
01-11,-0.0010999999940395364,-1.640000056475401,0.0,0.0,0.0020000003278255454,0.01397999934852123,0.0020000003278255445,-0.0001499997451901436,3.0,5.0,-0.20290875702630728
01-12,-0.0001499997451901436,-1.6002000570297241,0.0,0.0,-0.0006200000643730164,0.01397999934852123,0.0020000003278255445,-0.0001499997451901436,2.0,6.0,-0.1981425071135164
01-13,-0.0001499997451901436,-1.6002000570297241,0.0,0.0,-0.0006200000643730164,0.01397999934852123,0.0020000003278255445,-0.0001499997451901436,2.0,6.0,-0.1981425071135164
01-14,-0.0001499997451901436,-1.5302000045776367,0.0,0.0,-0.0006200000643730164,0.01397999934852123,0.0020000003278255445,-0.0005499999970197678,2.0,6.0,-0.1894425005884841
01-15,-0.0005499999970197678,-1.500200033187866,0.0,0.0,-0.0006200000643730164,0.01397999934852123,0.0020000003278255445,-0.00029999995604157535,2.0,6.0,-0.1857112541911192
01-16,-0.00029999995604157535,-1.660000018775463,0.0,0.0,-0.0006200000643730164,0.01397999934852123,0.0020000003278255445,-9.999983012676326e-05,2.0,6.0,-0.2056300023687072
01-17,-9.999983012676326e-05,-1.7149999588727949,0.0,0.0,-0.0006200000643730164,-0.005920000374317173,-0.0005000000819563856,-0.00029999995604157535,0.0,8.0,-0.2153049948974512
01-18,-0.00029999995604157535,-1.6500000394880774,0.0,0.0,-0.0007200003601610662,-0.005920000374317173,-0.0005000000819563856,-0.0010000001639127733,0.0,8.0,-0.2073050050530583
01-19,-0.0010000001639127733,-1.6350000351667406,0.0,0.0,-0.0007200003601610662,0.01397999934852123,-0.0005000000819563856,0.0005999999120831492,2.0,6.0,-0.2028300045640208
01-20,0.0005999999120831492,-1.6350000351667406,0.0,-0.0012000016868114474,-0.00010000029578804972,0.01397999934852123,0.0016299998387694359,0.0005999999120831492,4.0,4.0,-0.2024362547672354
01-21,0.0005999999120831492,-1.6350000351667406,0.0,-0.0012000016868114474,-0.00010000029578804972,0.01397999934852123,0.0016299998387694359,0.0005999999120831492,4.0,4.0,-0.2024362547672354
01-22,0.0005999999120831492,-1.6979000009596348,0.0,-0.0012000016868114474,-0.00010000029578804972,0.01397999934852123,0.0016299998387694359,0.0004000002518296242,4.0,4.0,-0.21032375044887885
01-23,0.0004000002518296242,-1.7278999723494053,0.0,-0.0012000016868114474,-0.00010000029578804972,0.01397999934852123,0.0016299998387694359,-0.0004000000189989802,3.0,5.0,-0.21419874686398546
01-24,-0.0004000000189989802,-1.7549999505281448,0.0,-0.0012000016868114474,-0.00010000029578804972,0.01397999934852123,0.0016299998387694359,-0.0007299999706447129,2.0,6.0,-0.2177274941641372
01-25,-0.0007299999706447129,-1.7569999508559704,0.0,-0.0012000016868114474,0.0,0.01397999934852123,0.0016299998387694359,-0.0018999997992068527,2.0,6.0,-0.21815249414066784
01-26,-0.0018999997992068527,-1.7569999508559704,0.0,-0.0012000016868114474,-0.0005999999120831492,0.01397999934852123,-0.0005000000819563856,-0.0018999997992068527,1.0,7.0,-0.21863999409833929
01-27,-0.0018999997992068527,-1.7569999508559704,0.0,-0.0012000016868114474,-0.0005999999120831492,-0.005920000374317173,-0.0005000000819563856,-0.0018999997992068527,0.0,8.0,-0.22112749406369409
01-28,-0.0018999997992068527,-1.886999946087599,0.0,-0.0012699998915195465,-0.0005999999120831492,-0.005920000374317173,-0.0005000000819563856,-0.0010999997612088923,0.0,8.0,-0.2372862432384864
