,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-1148.0,-4708.0,-660.0,-62.30000019073486,4.450000047683716,-0.8090000450611115,1.0,5.0,-1095.7765000313518
01-03,-1124.0,-4556.0,-660.0,-63.99999713897705,6.219999551773071,-0.7599999606609344,1.0,5.0,-1066.4233329246442
01-04,-836.0,-4556.0,-720.0,-67.69999885559082,7.900000095367432,-0.8300000429153442,1.0,5.0,-1028.7716664671898
01-05,-836.0,-4348.0,-760.0,-66.10000038146973,7.6000001430511475,-0.8980000317096709,1.0,5.0,-1000.5663333783548
01-06,-836.0,-4276.0,-560.0,-74.60000038146974,6.789999723434447,-0.8980000317096709,1.0,5.0,-956.7846667816244
01-07,-1000.0,-3944.0,-600.0,-73.39999961853026,6.789999723434447,-0.8980000317096709,1.0,5.0,-935.2513333211342
01-08,-1348.0,-3988.0,-620.0,-73.39999961853026,6.4099998474121085,-0.8989999890327454,1.0,5.0,-1003.9814999600252
01-09,-1280.0,-3832.0,-620.0,-70.99999809265138,6.180000066757202,-0.8650000095367432,1.0,5.0,-966.2808330059053
01-10,-1060.0,-3832.0,-620.0,-68.69999694824219,5.830000400543213,-0.8160000443458557,1.0,5.0,-929.2809994320074
01-11,-1088.0,-3832.0,-620.0,-70.0,5.2300004959106445,-0.7759999334812164,1.0,5.0,-934.2576665729283
01-12,-1088.0,-4028.0,-620.0,-65.89999961853027,5.009999990463257,-0.723999947309494,1.0,5.0,-966.2689999292294
01-13,-1088.0,-3824.0,-640.0,-66.19999980926514,5.650000333786013,-0.723999947309494,1.0,5.0,-935.5456665704647
01-14,-992.0,-3788.0,-600.0,-66.19999980926514,5.650000333786013,-0.6190000474452972,1.0,5.0,-906.8614999204874
01-15,-1008.0,-3876.0,-540.0,-66.19999980926514,6.130000352859497,-0.5749999582767487,1.0,5.0,-914.1074999024472
01-16,-844.0,-3328.0,-540.0,-66.19999980926514,6.450000047683716,-0.6100000441074371,1.0,5.0,-795.3933333009481
01-17,-964.0,-3172.0,-540.0,-68.39999961853027,6.780000448226929,-0.7009999752044678,1.0,5.0,-789.7201665242512
01-18,-964.0,-3172.0,-360.0,-69.10000133514404,7.220000267028809,-0.7950000464916229,1.0,5.0,-759.7791668524345
01-19,-964.0,-3172.0,-260.0,-69.80000019073486,6.599999904632568,-0.792000025510788,1.0,5.0,-743.3320000519356
01-20,-964.0,-3028.0,-240.0,-68.30000114440918,6.419999599456787,-0.792000025510788,1.0,5.0,-715.7786669284105
01-21,-912.0,-2660.0,-220.0,-68.40000152587889,6.419999599456787,-0.792000025510788,1.0,5.0,-642.4620003253223
01-22,-784.0,-2516.0,-220.0,-68.40000152587889,6.419999599456787,-0.671999990940094,1.0,5.0,-597.108666986227
01-23,-800.0,-2240.0,-220.0,-66.0,6.179999828338622,-0.6060000658035278,1.0,5.0,-553.4043333729109
01-24,-740.0,-1964.0,-160.0,-67.79999828338623,6.499999761581421,-0.5099999904632568,1.0,5.0,-487.6349997520447
01-25,-576.0,-1964.0,-260.0,-62.70000171661377,5.859999895095825,-0.3669999837875366,1.0,5.0,-476.2011669675509
01-26,-576.0,-2188.0,-640.0,-66.60000133514404,5.619999647140503,-0.3669999837875366,1.0,5.0,-577.5578336119653
01-27,-576.0,-1348.0,-460.0,-61.10000038146973,4.770000219345093,-0.3669999837875366,1.0,5.0,-406.78283335765195
01-28,-760.0,-488.0,-760.0,-61.5,4.770000219345093,-0.3579999804496765,1.0,5.0,-344.1813332935173
01-29,-668.0,-988.0,-760.0,-61.5,4.860000133514403,-0.1930000185966492,1.0,5.0,-412.1388333141804
01-30,-900.0,-932.0,-760.0,-60.30000305175781,3.860000133514404,-0.1990000307559967,1.0,5.0,-441.4398338248332
01-31,-652.0,-524.0,-800.0,-52.5,3.690000057220459,-0.20200002193450928,1.0,5.0,-337.501999994119
02-01,-568.0,-524.0,-778.8000030517578,-50.20000076293945,3.1499998569488525,-0.22499999403953552,1.0,5.0,-319.679167325298
02-02,-568.0,-332.0,-754.3999938964844,-49.19999885559082,2.359999895095825,-0.19499999284744265,1.0,5.0,-283.5724988083045
02-03,-460.0,-348.0,-744.0,-40.300000190734856,2.359999895095825,-0.19499999284744265,1.0,5.0,-265.0225000480811
02-04,-334.39990234375,-584.0,-790.0,-40.19999980926513,2.359999895095825,-0.18000000715255735,1.0,5.0,-291.0699837108453
02-05,-348.0,-188.0,-791.6000061035156,-40.19999980926513,2.0799999237060547,-0.14899998903274536,1.0,5.0,-227.64483432968456
02-06,-600.0,-356.0,-791.6000061035156,-33.749999046325684,2.4200000762939453,-0.1980000138282776,1.0,5.0,-296.52133418122935
02-07,-670.0,-584.0,-731.6000061035156,-29.50000095367432,2.1800000667572017,-0.20000001788139346,1.0,5.0,-335.5200011680524
02-08,-576.0,-584.0,-718.0,-26.49999809265137,1.559999942779541,-0.2339999973773957,1.0,5.0,-317.19566635787487
02-09,-576.0,-584.0,-748.8000030517578,-32.899999618530266,1.7100000381469729,-0.2400000095367432,1.0,5.0,-323.3716671069463
02-10,-556.0,-796.0,-778.3999938964844,-22.499999046325684,2.889999866485596,-0.2400000095367432,1.0,5.0,-358.37499884764367
02-11,-612.0,-1320.0,-713.1999969482422,-22.299999237060547,2.889999866485596,-0.25099998712539673,1.0,5.0,-444.14349938432383
02-12,-540.0,-928.0,-708.8000030517578,-22.299999237060547,2.8999998569488525,-0.2269999682903289,1.0,5.0,-366.07116706669336
02-13,-392.0,-1092.0,-708.8000030517578,-14.799999237060547,2.2699999809265137,-0.2400000095367432,1.0,5.0,-367.5950003862381
02-14,-716.0,-1040.0,-728.8000030517578,-3.6999998092651367,1.6199998855590818,-0.2770000100135803,1.0,5.0,-414.5261671642463
02-15,-644.0,-1040.0,-710.8000030517578,-3.050000190734864,1.920000076293945,-0.32399997115135193,1.0,5.0,-399.3756671895583
