,2010,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,-38.173302598088995,-151.66667425522132,-58.70967478335335,0.0,-17.907800387852916,34.112646129561874,26.66666542490321,2.0,6.0,-22.85312671889461
01-03,0.0,0.0,-38.173302598088995,-148.3333464408368,-58.70967478335335,0.0,-18.327400377818662,34.112646129561874,26.66666542490321,2.0,6.0,-22.52937918284807
01-04,0.0,0.0,-38.173302598088995,-148.3333464408368,-58.70967478335335,0.0,-15.83629483961797,34.112646129561874,0.0,1.0,7.0,-25.215552503592807
01-05,0.0,0.0,-38.173302598088995,-148.3333464408368,-58.70967478335335,0.0,-43.07692446249177,34.112646129561874,0.0,1.0,7.0,-28.242289128356557
01-06,0.0,0.0,-38.173302598088995,-147.777781457077,-58.70967478335335,0.0,-53.84615762497755,34.112646129561874,0.0,1.0,7.0,-29.377141148215
01-07,0.0,0.0,-38.173302598088995,-147.777781457077,-58.70967478335335,0.0,-53.84615762497755,34.112646129561874,0.0,1.0,7.0,-29.377141148215
01-08,0.0,0.0,-38.173302598088995,-147.777781457077,-58.70967478335335,0.0,-53.84615762497755,34.112646129561874,-334.7826040008943,1.0,7.0,-66.57520825942548
01-09,0.0,0.0,-38.173302598088995,-147.777781457077,-58.70967478335335,0.0,-53.84615762497755,34.112646129561874,-334.7826040008943,1.0,7.0,-66.57520825942548
01-10,0.0,0.0,-5.169341670811965,-147.777781457077,-58.70967478335335,0.0,-26.45986003105451,34.112646129561874,-334.7826040008943,1.0,7.0,-59.865179534847705
01-11,0.0,0.0,-4.795738956002932,-31.176459760402487,-58.70967478335335,0.0,-97.56756669679119,34.112646129561874,-334.7826040008943,1.0,7.0,-54.768822007542475
01-12,0.0,0.0,0.0,-31.176459760402487,-58.70967478335335,0.0,-49.18367863607539,34.112646129561874,-334.7826040008943,1.0,7.0,-48.859974561240406
01-13,0.0,0.0,0.0,-31.176459760402487,-58.70967478335335,0.0,-53.06123457492193,34.112646129561874,-334.7826040008943,1.0,7.0,-49.29081411000114
01-14,0.0,0.0,0.0,-31.176459760402487,-58.70967478335335,0.0,-53.06123457492193,34.112646129561874,-334.7826040008943,1.0,7.0,-49.29081411000114
