,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,-3.599999785423279,-0.31200001388788223,-0.059999998658895486,0.14509999752044678,-0.052000001072883606,-0.017500001937150955,0.021899999119341373,0.03999999910593033,3.0,5.0,03-17,-0.3834499805234373
01-03,0.0,0.0,-3.599999785423279,-0.31200001388788223,-0.059999998658895486,0.14509999752044678,-0.052000001072883606,-0.017500001937150955,0.021000000648200512,0.05950000043958425,3.0,5.0,03-18,-0.3815899802371859
01-04,0.0,0.0,-3.599999785423279,-0.31200001388788223,-0.059999998658895486,0.14509999752044678,-0.020999997854232788,-0.017500001937150955,0.021000000648200512,0.1007000021636486,3.0,5.0,03-19,-0.3743699797429144
01-05,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.14509999752044678,-0.023000001907348636,-0.0018999986350536344,0.021000000648200512,0.08800000324845314,3.0,5.0,03-20,-0.4162799813784659
01-06,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.1533000022172928,-0.0056000053882598886,-0.0018000006675720215,0.026779999025166038,0.08800000324845314,3.0,5.0,03-21,-0.4131319816224277
01-07,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.1533000022172928,-0.02700001001358032,0.010099999606609344,0.026779999025166038,0.08800000324845314,4.0,4.0,03-22,-0.4140819820575416
01-08,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.1533000022172928,-0.02700001001358032,0.010099999606609344,0.026779999025166038,0.0779000036418438,4.0,4.0,03-23,-0.4150919820182025
01-09,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.01780000329017639,-0.02700001001358032,0.002199999988079071,0.012249999679625034,0.06500000134110451,4.0,4.0,03-24,-0.4321749820373952
01-10,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.01780000329017639,-0.02700001001358032,0.0027000010013580322,0.012249999679625034,0.05649999901652336,4.0,4.0,03-25,-0.4329749821685255
01-11,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.01780000329017639,-0.018000006675720215,0.0025000013411045074,0.012249999679625034,0.05549999698996544,4.0,4.0,03-26,-0.4321949820034206
01-12,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.01780000329017639,-0.01700000464916229,-0.02200000360608101,0.0024400008842349052,0.05500000342726708,3.0,5.0,03-27,-0.4355759815312922
01-13,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.01829999685287476,-0.018999993801116943,-0.022499997168779373,0.0024400008842349052,0.05500000342726708,3.0,5.0,03-28,-0.4357759804464877
01-14,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.01829999685287476,-0.023000001907348636,-0.022499997168779373,0.0024400008842349052,0.05500000342726708,3.0,5.0,03-29,-0.4361759812571108
01-15,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.034739986062049866,-0.030000001192092892,-0.022499997168779373,0.0014400007203221321,0.059099998325109475,3.0,5.0,03-30,-0.4349219827912748
01-16,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.03469999134540558,-0.030000001192092892,-0.022499997168779373,0.0014400007203221321,0.061919998377561576,3.0,5.0,03-31,-0.434643982257694
01-17,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.03469999134540558,-0.030000001192092892,0.0014999993145465849,0.0014400007203221321,0.08100000396370888,4.0,4.0,04-01,-0.4303359820507467
01-18,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.03469999134540558,-0.030000001192092892,0.0057999975979328156,0.0014400007203221321,0.0690000019967556,4.0,4.0,04-02,-0.43110598241910336
01-19,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.03469999134540558,-0.018999993801116943,-0.00860000029206276,0.0014400007203221321,0.08000000193715097,3.0,5.0,04-03,-0.4303459814749658
01-20,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,0.03469999134540558,-0.018999993801116943,-0.00860000029206276,0.0050999997183680534,0.08000000193715097,3.0,5.0,04-04,-0.4299799815751612
01-21,0.0,0.0,-4.0199998021125785,-0.31200001388788223,-0.059999998658895486,-0.03530000150203705,-0.036799997091293335,-0.00860000029206276,0.0050999997183680534,0.08000000193715097,2.0,6.0,04-05,-0.4387599811889231
01-22,0.0,0.0,-4.0199998021125785,-0.31200001388788223,0.0,0.014699995517730713,-0.04829999804496765,-0.00860000029206276,0.0050999997183680534,0.07440000399947166,3.0,5.0,04-06,-0.42946998151019217
01-23,0.0,0.0,-4.0199998021125785,-0.31200001388788223,0.0,0.014699995517730713,-0.04829999804496765,-0.006099998950958252,0.0050999997183680534,0.06699999794363977,3.0,5.0,04-07,-0.4299599819816649
