,2017,2018,2019,2020,ups,downs,avg
01-02,0.007800000719726081,9.230001449584963,3.1900005340576167,-28.06999969482422,3.0,1.0,-3.9105494276154777
01-03,-28.06999969482422,8.7899990081787,3.450000762939453,-32.27000045776367,2.0,2.0,-12.025000095367437
01-04,-32.27000045776367,8.510002136230469,4.179998397827141,-30.99000072479248,2.0,2.0,-12.642500162124634
01-05,-30.99000072479248,7.990001678466798,5.180000305175781,-34.440000534057624,2.0,2.0,-13.06499981880188
01-06,-34.440000534057624,8.44999885559082,4.6699981689453125,-34.440000534057624,2.0,2.0,-13.940001010894775
01-07,-34.440000534057624,9.280000686645508,4.6699981689453125,-35.69000053405762,2.0,2.0,-14.045000553131105
01-08,-35.69000053405762,9.280000686645508,4.9199981689453125,-34.97000074386597,2.0,2.0,-14.115000605583193
01-09,-34.97000074386597,9.490001678466797,4.090000152587893,-34.100000381469734,2.0,2.0,-13.872499823570251
01-10,-34.100000381469734,8.949998855590819,1.4799995422363246,-34.009998321533196,2.0,2.0,-14.420000076293947
01-11,-34.009998321533196,8.529998779296887,0.5400009155273438,-32.22000026702881,2.0,2.0,-14.289999723434446
01-12,-32.22000026702881,9.570001602172852,0.4099998474121129,-30.51000022888184,2.0,2.0,-13.187499761581421
01-13,-30.51000022888184,8.629999160766598,-1.7199993133544886,-30.51000022888184,1.0,3.0,-13.52750015258789
01-14,-30.51000022888184,8.629999160766598,-1.7199993133544886,-31.170000076293945,1.0,3.0,-13.692500114440918
01-15,-31.170000076293945,8.629999160766598,-1.1700000762939418,-30.03000068664551,1.0,3.0,-13.4350004196167
01-16,-30.03000068664551,8.629999160766598,-0.9099998474121024,-30.89000225067139,1.0,3.0,-13.3000009059906
01-17,-30.89000225067139,7.529998779296875,-0.2700004577636719,-32.960000038146966,1.0,3.0,-14.147500991821287
01-18,-32.960000038146966,8.049999237060549,0.8800010681152379,-32.630000114440925,2.0,2.0,-14.164999961853026
01-19,-32.630000114440925,6.920001983642576,2.229999542236328,-34.399999618530266,2.0,2.0,-14.469999551773071
