,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.009999990463256864,-0.0400000065565109,-0.03999999165534973,-0.04999999701976776,0.0,-0.009999999776482586,-0.009999999776482582,1.0,8.0,-0.015555556035704075
01-03,0.0,0.0,0.009999990463256864,-0.0400000065565109,-0.03999999165534973,-0.04999999701976776,0.0,0.0,-0.009999999776482582,1.0,8.0,-0.014444444949428238
01-04,-0.10999999940395352,-0.02000001072883606,0.009999990463256864,-0.0400000065565109,-0.03999999165534973,-0.04999999701976776,0.0,0.0,-0.009999999776482582,1.0,8.0,-0.02888889051973818
01-05,-0.10999999940395352,0.0,0.009999990463256864,-0.0400000065565109,-0.03999999165534973,-0.03999999165534973,0.0,-0.00999999977648258,-0.009999999776482582,1.0,8.0,-0.02666666648454136
01-06,-0.009999990463256836,0.0,0.009999990463256864,-0.0400000065565109,-0.03999999165534973,-0.03999999165534973,0.0,-0.00999999977648258,-0.009999999776482582,1.0,8.0,-0.0155555543800195
01-07,-0.009999990463256836,0.0,0.009999990463256864,-0.0400000065565109,-0.03999999165534973,-0.0599999949336052,0.0,-0.00999999977648258,0.0,1.0,8.0,-0.016666665880216487
01-08,-0.07999998331069941,0.0,0.009999990463256864,-0.0400000065565109,-0.03999999165534973,-0.0599999949336052,0.0,-0.00999999977648258,-0.009999999776482582,1.0,8.0,-0.025555553949541503
01-09,-0.07999998331069941,0.0,0.01999999582767489,-0.019999995827674862,-0.03999999165534973,-0.0599999949336052,0.0,-0.00999999977648258,-0.009999999776482582,1.0,8.0,-0.02222221882806883
01-10,-0.07999998331069941,0.02000001072883606,0.01999999582767489,-0.019999995827674862,-0.03999999165534973,-0.0599999949336052,0.0,-0.00999999977648258,-0.009999999776482582,2.0,7.0,-0.019999995413753708
01-11,-0.07999998331069941,0.02000001072883606,0.0,-0.019999995827674862,-0.03999999165534973,-0.0599999949336052,0.0,-0.00999999977648258,0.0,1.0,8.0,-0.021111106086108413
01-12,-0.07999998331069941,0.02000001072883606,0.0,-0.019999995827674862,-0.03999999165534973,-0.0599999949336052,0.0,-0.00999999977648258,0.0,1.0,8.0,-0.021111106086108413
01-13,-0.07999998331069941,0.02000001072883606,0.0,-0.019999995827674862,-0.03999999165534973,-0.039999999105930335,0.0,-0.00999999977648258,0.0,1.0,8.0,-0.01888888432747788
01-14,-0.07999998331069941,0.02000001072883606,0.0,-0.019999995827674862,-0.03999999165534973,-0.039999999105930335,0.0,-0.00999999977648258,0.0,1.0,8.0,-0.01888888432747788
