,2010,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-507.5455049084013,13.689328428741286,-65.62839835095747,0.0,80.00430269632966,-379.4871769534855,29.115986291311327,-50.943388711293295,3.0,5.0,-97.86609461197278
01-03,0.0,-507.5455049084013,13.689328428741286,-49.99450876418409,0.0,80.00430269632966,-132.8912501791005,29.115986291311327,-50.943388711293295,3.0,5.0,-68.72944834962189
01-04,0.0,-507.5455049084013,13.689328428741286,-49.99450876418409,0.0,80.00430269632966,-132.8912501791005,29.115986291311327,-50.943388711293295,3.0,5.0,-68.72944834962189
01-05,0.0,-507.5455049084013,-3.5727979799911136,-49.99450876418409,0.0,38.46408535243208,-132.8912501791005,29.115986291311327,-50.943388711293295,2.0,6.0,-75.26304209991409
01-06,0.0,-507.5455049084013,-3.5727979799911136,-49.99450876418409,0.0,38.46408535243208,-52.07781278357578,29.115986291311327,-50.943388711293295,2.0,6.0,-66.28377127818915
01-07,0.0,-507.5455049084013,-3.5727979799911136,28.575344457494932,-100.0,38.46408535243208,-52.07781278357578,29.115986291311327,-50.943388711293295,3.0,5.0,-68.66489869800257
01-08,0.0,-507.5455049084013,-3.5727979799911136,6.66905241971031,-100.0,38.46408535243208,-52.07781278357578,29.115986291311327,-50.943388711293295,3.0,5.0,-71.09893114664531
01-09,0.0,-507.5455049084013,-3.5727979799911136,6.66905241971031,-100.0,38.46408535243208,-65.78248937886025,29.115986291311327,-50.943388711293295,3.0,5.0,-72.62167299056581
01-10,0.0,-507.5455049084013,-3.5727979799911136,6.66905241971031,-100.0,38.46408535243208,-65.78248937886025,29.115986291311327,-50.943388711293295,3.0,5.0,-72.62167299056581
01-11,0.0,-507.5455049084013,-3.5727979799911136,6.66905241971031,-100.0,38.46408535243208,-65.78248937886025,28.23526341632587,-90.32514606476688,3.0,5.0,-77.09528190483906
01-12,0.0,-507.5455049084013,-3.5727979799911136,6.66905241971031,-100.0,38.46408535243208,-65.78248937886025,26.920407394438858,-90.32514606476688,3.0,5.0,-77.24137701838201
01-13,0.0,-507.5455049084013,-3.5727979799911136,6.66905241971031,-100.0,38.46408535243208,-26.06454219922372,26.920407394438858,-90.32514606476688,3.0,5.0,-72.8282717762002
01-14,0.0,-507.5455049084013,-3.5727979799911136,6.66905241971031,-100.0,38.46408535243208,-26.06454219922372,26.920407394438858,-90.32514606476688,3.0,5.0,-72.8282717762002
01-15,0.0,-507.5455049084013,0.6851811556573583,6.66905241971031,-100.0,38.46408535243208,-26.06454219922372,26.920407394438858,-90.32514606476688,4.0,4.0,-72.35516298335034
01-16,0.0,-507.5455049084013,0.6851811556573583,6.66905241971031,-100.0,38.46408535243208,-26.06454219922372,26.920407394438858,-238.0281697530828,4.0,4.0,-88.76661005982992
01-17,0.0,-507.5455049084013,0.6851811556573583,6.66905241971031,-100.0,38.46408535243208,27.073058937565907,26.920407394438858,-238.0281697530828,5.0,3.0,-82.86243215574217
01-18,0.0,-507.5455049084013,0.6851811556573583,6.66905241971031,-100.0,38.46408535243208,27.073058937565907,26.920407394438858,-91.23505987921749,5.0,3.0,-66.55208661420157
01-19,0.0,-507.5455049084013,0.6851811556573583,6.66905241971031,-100.0,38.46408535243208,-4.078892331428944,26.920407394438858,-91.23505987921749,4.0,4.0,-70.01341453297879
01-20,0.0,-507.5455049084013,0.6851811556573583,6.66905241971031,-100.0,38.46408535243208,-80.23308528677305,26.920407394438858,-91.23505987921749,4.0,4.0,-78.47499152801703
01-21,0.0,-507.5455049084013,0.6851811556573583,6.66905241971031,-100.0,38.46408535243208,-80.23308528677305,26.920407394438858,-91.23505987921749,4.0,4.0,-78.47499152801703
01-22,0.0,-507.5455049084013,0.6851811556573583,6.66905241971031,-100.0,38.46408535243208,-80.23308528677305,26.920407394438858,-91.23505987921749,4.0,4.0,-78.47499152801703
01-23,0.0,-507.5455049084013,1.0240884360268872,6.66905241971031,-100.0,38.46408535243208,-12.505604215873143,26.920407394438858,-80.07968559143806,4.0,4.0,-69.67257345701161
01-24,0.0,-507.5455049084013,-16.40134324589891,6.66905241971031,-100.0,38.46408535243208,-12.505604215873143,26.920407394438858,-80.07968559143806,3.0,5.0,-71.60873253278112
