,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-1.4499998092651367,-1.989999771118164,-1.5,-2.674999952316284,8.029999971389769,-40.06999588012695,1.0,5.0,-6.609165906906128
01-03,-40.06999588012695,-1.4399995803833008,-1.5,-2.6500000953674316,8.249999523162844,-51.75000381469727,1.0,5.0,-14.859999974568687
01-04,-51.75000381469727,-1.4399995803833008,-1.4499998092651367,-2.8500001430511475,8.84000015258789,-49.340003967285156,1.0,5.0,-16.331667860349018
01-05,-49.340003967285156,-4.229999542236328,-1.799999713897705,-2.9499998092651367,6.079999923706055,-53.28000259399414,1.0,5.0,-17.586667617162068
01-06,-53.28000259399414,-5.5,-1.6500000953674316,-2.950000286102295,5.140000343322754,-53.28000259399414,1.0,5.0,-18.586667537689213
01-07,-53.28000259399414,-3.909999847412109,-2.4000000953674316,-2.8500001430511475,5.140000343322754,-51.04999923706055,1.0,5.0,-18.05833359559377
01-08,-51.04999923706055,-3.1599998474121094,-2.450000047683716,-2.8500001430511475,3.130000114440918,-43.52999877929688,1.0,5.0,-16.651666323343914
01-09,-43.52999877929688,-3.1100006103515625,-2.450000047683716,-0.8499999046325684,5.689999580383301,-32.839996337890625,1.0,5.0,-12.848332683245339
01-10,-32.839996337890625,-3.1100006103515625,-2.250000238418579,-0.7749998569488525,5.590000152587892,-24.86999893188477,1.0,5.0,-9.709165970484417
01-11,-24.86999893188477,-3.1100006103515625,-1.8999998569488523,-0.7750000953674316,8.980000019073486,-21.56000518798828,1.0,5.0,-7.205834110577903
01-12,-21.56000518798828,-3.0300006866455083,-1.799999713897705,-0.75,6.740000247955322,-25.80000305175781,1.0,5.0,-7.700001398722332
01-13,-25.80000305175781,-1.1599998474121094,-1.700000286102295,-0.4249999523162842,7.009999752044678,-25.80000305175781,1.0,5.0,-7.979167739550272
01-14,-25.80000305175781,-2.1199998855590816,-1.25,-0.4249999523162842,7.009999752044678,-27.98999786376953,1.0,5.0,-8.42916683355967
01-15,-27.98999786376953,-4.850000381469727,-1.200000286102295,-0.4249999523162842,6.669999599456787,-27.150001525878906,1.0,5.0,-9.15750006834666
01-16,-27.150001525878906,-4.500000476837158,-1.200000286102295,-0.4249999523162842,6.119999885559082,-29.210002899169922,1.0,5.0,-9.39416754245758
01-17,-29.210002899169922,-3.65000057220459,-1.200000286102295,-0.6000001430511475,5.9099998474121085,-32.759994506835945,1.0,5.0,-10.25166642665863
01-18,-32.759994506835945,-3.65000057220459,-1.200000286102295,-0.5,5.350000381469727,-29.900001525878906,1.0,5.0,-10.443332751592
01-19,-29.900001525878906,-3.65000057220459,-1.1500000953674316,-0.7000000476837158,5.1399993896484375,-32.94000244140625,1.0,5.0,-10.533334215482077
01-20,-32.94000244140625,-3.5599994659423837,-1.249999761581421,-0.9499998092651368,5.049999237060547,-32.94000244140625,1.0,5.0,-11.098334113756817
01-21,-32.94000244140625,-3.300000190734864,-1.1500000953674316,-0.75,5.049999237060547,-32.94000244140625,1.0,5.0,-11.005000988642372
01-22,-32.94000244140625,-3.1800003051757812,-1.200000286102295,-0.75,5.049999237060547,-31.85000228881836,1.0,5.0,-10.811667680740356
01-23,-31.85000228881836,-2.050000190734864,-1.200000286102295,-0.6500000953674316,5.380000114440918,-32.740001678466804,1.0,5.0,-10.51833407084147
01-24,-32.740001678466804,-1.829999923706055,-1.25,-0.8000001907348633,6.1599998474121085,-31.64999771118164,1.0,5.0,-10.351666609446207
01-25,-31.64999771118164,-1.829999923706055,-1.3500001430511477,-0.6499998569488525,5.979999542236327,-37.10000228881836,1.0,5.0,-11.100000063578284
01-26,-37.10000228881836,-2.0699996948242188,-1.1499998569488523,-0.5499999523162842,6.069999694824219,-37.10000228881836,1.0,5.0,-11.983334064483644
01-27,-37.10000228881836,0.3000001907348633,-1.0500001907348633,-0.4249999523162842,6.2599992752075195,-37.10000228881836,2.0,4.0,-11.51916754245758
01-28,-37.10000228881836,1.130000114440918,-0.6999998092651367,-0.4249999523162842,6.2599992752075195,-37.72999954223633,2.0,4.0,-11.427500367164614
01-29,-37.72999954223633,1.5,-0.6999998092651367,-0.4249999523162842,6.25,-31.819995880126953,2.0,4.0,-10.487499197324118
01-30,-31.819995880126953,1.7200002670288086,-0.6999998092651367,-0.3499999046325684,5.560000419616699,-32.25,2.0,4.0,-9.639999151229857
01-31,-32.25,2.0799999237060547,-0.9000000953674316,-0.3999998569488525,5.069999694824219,-26.779998779296875,2.0,4.0,-8.863333185513815
02-01,-26.779998779296875,2.0799999237060547,-0.6999998092651367,-0.2999999523162842,5.090000152587892,-27.959999084472656,2.0,4.0,-8.094999591509499
02-02,-27.959999084472656,2.4580001831054688,-0.6500000953674316,-0.20000004768371585,5.5,-29.44000244140625,2.0,4.0,-8.382000247637428
02-03,-29.44000244140625,2.539999485015869,-1.0749998092651367,-0.15000009536743164,5.5,-29.44000244140625,2.0,4.0,-8.677500883738201
02-04,-29.44000244140625,2.4700002670288086,-1.0,-0.10000014305114746,5.5,-31.87999725341797,2.0,4.0,-9.074999928474426
02-05,-31.87999725341797,2.8299999237060547,-0.8999998569488525,-0.10000014305114746,5.339999198913574,-30.41999816894531,2.0,4.0,-9.18833271662394
02-06,-30.41999816894531,4.640000343322754,-0.8999998569488525,0.0,5.309999465942383,-21.63999938964844,2.0,4.0,-7.168332934379578
02-07,-21.63999938964844,4.619999885559082,-0.8500001430511475,-0.10000014305114746,5.65000057220459,-20.279998779296875,2.0,4.0,-5.433332999547321
02-08,-20.279998779296875,4.619999885559082,-0.4999997615814209,0.0,6.199999809265138,-25.979995727539066,2.0,4.0,-5.989999095598858
02-09,-25.979995727539066,3.689999580383301,-0.5999999046325684,0.15000009536743164,6.699999809265138,-22.470001220703125,3.0,3.0,-6.418332894643147
02-10,-22.470001220703125,3.080000400543213,-0.5500001907348633,0.10000014305114746,6.80000114440918,-22.470001220703125,3.0,3.0,-5.9183334906895935
02-11,-22.470001220703125,3.1100001335144043,-0.5999999046325684,0.10000014305114746,6.80000114440918,-22.920005798339844,3.0,3.0,-5.996667583783468
