,2009,2013,2017,2018,2019,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-18,0.0
01-03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-19,0.0
01-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-20,0.0
01-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-21,0.0
01-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-23,0.0
01-08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-24,0.0
01-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-25,0.0
01-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-26,0.0
01-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-27,0.0
01-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-28,0.0
01-14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-30,0.0
01-15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-31,0.0
01-16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-01,0.0
01-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-02,0.0
01-18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-03,0.0
01-19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-04,0.0
01-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-07,0.0
01-23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-08,0.0
01-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-09,0.0
01-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-10,0.0
01-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-11,0.0
01-28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-13,0.0
01-29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-14,0.0
01-30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-15,0.0
