,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-13.668991088867188,-0.2750000357627869,0.0,-0.14800000190734866,-0.0559999942779541,0.02590000629425049,0.2657999992370605,0.0004000067710876465,3.0,5.0,-1.7319863885641098
01-03,0.0004000067710876465,-0.2269999980926513,0.06999999284744263,-0.14800000190734866,-0.0559999942779541,0.02590000629425049,0.28189998865127563,-0.06400001049041748,4.0,4.0,-0.014600001275539396
01-04,-0.06400001049041748,-0.2269999980926513,0.06999999284744263,-0.14800000190734866,-0.0559999942779541,0.02590000629425049,0.2971000075340271,-0.08239999413490295,3.0,5.0,-0.02304999902844429
01-05,-0.08239999413490295,-0.2269999980926513,0.06999999284744263,-0.14800000190734866,-0.0559999942779541,0.02590000629425049,0.29999998211860657,-0.1453399956226349,3.0,5.0,-0.03285500034689903
01-06,-0.1453399956226349,-0.2269999980926513,0.06999999284744263,-0.14800000190734866,-0.0559999942779541,0.02590000629425049,0.29999998211860657,-0.1453399956226349,3.0,5.0,-0.04072250053286552
01-07,-0.1453399956226349,-0.2269999980926513,0.06999999284744263,-0.14800000190734866,-0.11599999666213988,0.02590000629425049,0.29999998211860657,-0.13793998956680298,3.0,5.0,-0.04729750007390976
01-08,-0.13793998956680298,-0.2269999980926513,0.06999999284744263,-0.14800000190734866,-0.11599999666213988,0.02590000629425049,0.32499998807907104,-0.09520000219345093,3.0,5.0,-0.037905000150203705
01-09,-0.09520000219345093,-0.2269999980926513,0.06999999284744263,-0.14800000190734866,-0.11599999666213988,0.02590000629425049,0.35760003328323364,-0.08959999680519104,3.0,5.0,-0.027787495404481888
01-10,-0.08959999680519104,-0.2269999980926513,0.0899999737739563,-0.14800000190734866,-0.11599999666213988,0.02590000629425049,0.375,-0.09040001034736632,3.0,5.0,-0.02251250296831131
01-11,-0.09040001034736632,-0.2269999980926513,0.0899999737739563,-0.14800000190734866,-0.11599999666213988,0.02590000629425049,0.2921000123023987,-0.07760000228881836,3.0,5.0,-0.03137500211596489
01-12,-0.07760000228881836,-0.2269999980926513,0.0899999737739563,-0.14800000190734866,-0.11599999666213988,0.019700050354003903,0.26499998569488525,-0.04010000824928284,3.0,5.0,-0.02924999967217445
01-13,-0.04010000824928284,-0.2269999980926513,0.0899999737739563,-0.14800000190734866,-0.11599999666213988,0.019700050354003903,0.2663000226020813,-0.04010000824928284,3.0,5.0,-0.024399995803833008
