,2020,ups,downs,avg
05-08,-2.039999961853028,0.0,1.0,-2.039999961853028
05-11,-2.719999313354492,0.0,1.0,-2.719999313354492
05-12,-2.5699996948242188,0.0,1.0,-2.5699996948242188
05-13,-2.25,0.0,1.0,-2.25
05-14,-2.800000190734864,0.0,1.0,-2.800000190734864
05-15,-1.510000228881836,0.0,1.0,-1.510000228881836
05-18,-2.770000457763672,0.0,1.0,-2.770000457763672
05-19,-2.300000190734864,0.0,1.0,-2.300000190734864
05-20,-2.3199996948242188,0.0,1.0,-2.3199996948242188
05-21,-1.8500003814697263,0.0,1.0,-1.8500003814697263
05-22,-1.8400001525878904,0.0,1.0,-1.8400001525878904
05-26,-1.8000001907348633,0.0,1.0,-1.8000001907348633
05-27,-1.9550008773803709,0.0,1.0,-1.9550008773803709
05-28,-2.3600006103515625,0.0,1.0,-2.3600006103515625
05-29,-2.619999885559082,0.0,1.0,-2.619999885559082
06-01,-3.7100000381469727,0.0,1.0,-3.7100000381469727
06-02,-3.6999998092651367,0.0,1.0,-3.6999998092651367
06-03,-4.090000152587892,0.0,1.0,-4.090000152587892
06-04,-4.579999923706055,0.0,1.0,-4.579999923706055
06-05,-3.850000381469727,0.0,1.0,-3.850000381469727
06-08,-2.7110004425048837,0.0,1.0,-2.7110004425048837
06-09,-1.75,0.0,1.0,-1.75
06-10,-1.75,0.0,1.0,-1.75
06-11,-0.5819997787475586,0.0,1.0,-0.5819997787475586
06-12,-1.5,0.0,1.0,-1.5
06-15,-0.9000005722045898,0.0,1.0,-0.9000005722045898
06-16,-1.010000228881836,0.0,1.0,-1.010000228881836
06-17,-1.2409992218017578,0.0,1.0,-1.2409992218017578
06-18,-1.0199995040893557,0.0,1.0,-1.0199995040893557
06-19,1.1800003051757812,1.0,0.0,1.1800003051757812
06-22,-1.4600000381469729,0.0,1.0,-1.4600000381469729
06-23,-1.0500001907348633,0.0,1.0,-1.0500001907348633
06-24,-1.4299993515014648,0.0,1.0,-1.4299993515014648
06-25,-1.0,0.0,1.0,-1.0
06-26,-1.1999998092651367,0.0,1.0,-1.1999998092651367
06-29,0.010000228881835938,1.0,0.0,0.010000228881835938
06-30,0.06999969482421875,1.0,0.0,0.06999969482421875
07-01,-0.3400001525878906,0.0,1.0,-0.3400001525878906
07-02,0.15700054168701172,1.0,0.0,0.15700054168701172
07-06,2.760000228881836,1.0,0.0,2.760000228881836
07-07,3.4100008010864262,1.0,0.0,3.4100008010864262
07-08,5.208999633789063,1.0,0.0,5.208999633789063
07-09,4.1499996185302725,1.0,0.0,4.1499996185302725
07-10,2.640000343322754,1.0,0.0,2.640000343322754
07-13,1.140000343322754,1.0,0.0,1.140000343322754
07-14,1.640000343322754,1.0,0.0,1.640000343322754
07-15,0.5699996948242188,1.0,0.0,0.5699996948242188
07-16,1.1999998092651367,1.0,0.0,1.1999998092651367
07-17,-0.1400003433227539,0.0,1.0,-0.1400003433227539
07-20,-1.4699993133544922,0.0,1.0,-1.4699993133544922
07-21,-0.6099996566772461,0.0,1.0,-0.6099996566772461
07-22,-0.8000001907348633,0.0,1.0,-0.8000001907348633
07-23,-0.8500003814697266,0.0,1.0,-0.8500003814697266
07-24,0.1400003433227539,1.0,0.0,0.1400003433227539
07-27,-1.2899999618530271,0.0,1.0,-1.2899999618530271
07-28,-0.8500003814697266,0.0,1.0,-0.8500003814697266
07-29,-0.7399997711181641,0.0,1.0,-0.7399997711181641
07-30,-1.4799995422363281,0.0,1.0,-1.4799995422363281
07-31,-1.420000076293945,0.0,1.0,-1.420000076293945
08-03,-1.7300004959106443,0.0,1.0,-1.7300004959106443
08-04,-1.380000114440918,0.0,1.0,-1.380000114440918
08-05,-0.3000001907348633,0.0,1.0,-0.3000001907348633
08-06,0.04500007629394531,1.0,0.0,0.04500007629394531
08-07,0.5500001907348633,1.0,0.0,0.5500001907348633
08-10,0.7899999618530273,1.0,0.0,0.7899999618530273
08-11,0.8000001907348633,1.0,0.0,0.8000001907348633
08-12,1.4099998474121094,1.0,0.0,1.4099998474121094
08-13,2.59000015258789,1.0,0.0,2.59000015258789
08-14,2.4600000381469727,1.0,0.0,2.4600000381469727
08-17,1.3600006103515625,1.0,0.0,1.3600006103515625
08-18,1.8300008773803709,1.0,0.0,1.8300008773803709
08-19,0.21000003814697266,1.0,0.0,0.21000003814697266
08-20,-1.0599994659423828,0.0,1.0,-1.0599994659423828
08-21,-1.0279998779296875,0.0,1.0,-1.0279998779296875
08-24,-1.0699996948242188,0.0,1.0,-1.0699996948242188
08-25,-1.0900001525878906,0.0,1.0,-1.0900001525878906
08-26,-0.14999961853027344,0.0,1.0,-0.14999961853027344
08-27,-0.8290004730224609,0.0,1.0,-0.8290004730224609
08-28,-0.9700002670288086,0.0,1.0,-0.9700002670288086
08-31,-0.8000001907348633,0.0,1.0,-0.8000001907348633
09-01,0.35000038146972656,1.0,0.0,0.35000038146972656
09-02,1.0,1.0,0.0,1.0
09-03,1.0500001907348633,1.0,0.0,1.0500001907348633
09-04,2.25,1.0,0.0,2.25
09-08,2.1500005722045903,1.0,0.0,2.1500005722045903
09-09,0.880000114440918,1.0,0.0,0.880000114440918
09-10,1.390000343322754,1.0,0.0,1.390000343322754
09-11,1.1929998397827148,1.0,0.0,1.1929998397827148
09-14,0.75,1.0,0.0,0.75
09-15,-0.4600000381469727,0.0,1.0,-0.4600000381469727
09-16,-1.510000228881836,0.0,1.0,-1.510000228881836
09-17,-3.49899959564209,0.0,1.0,-3.49899959564209
09-18,-2.4499998092651367,0.0,1.0,-2.4499998092651367
09-21,-1.5900001525878906,0.0,1.0,-1.5900001525878906
09-22,-0.9600000381469728,0.0,1.0,-0.9600000381469728
09-23,-1.130000114440918,0.0,1.0,-1.130000114440918
09-24,-0.979999542236328,0.0,1.0,-0.979999542236328
09-25,-1.8099994659423828,0.0,1.0,-1.8099994659423828
09-28,-1.3099994659423828,0.0,1.0,-1.3099994659423828
09-29,-1.1599998474121094,0.0,1.0,-1.1599998474121094
09-30,-0.4700002670288086,0.0,1.0,-0.4700002670288086
10-01,-0.5799999237060547,0.0,1.0,-0.5799999237060547
10-02,-0.8499994277954102,0.0,1.0,-0.8499994277954102
10-05,-1.2899999618530271,0.0,1.0,-1.2899999618530271
10-06,-1.0900001525878906,0.0,1.0,-1.0900001525878906
10-07,-1.1499996185302734,0.0,1.0,-1.1499996185302734
10-08,-1.359999656677246,0.0,1.0,-1.359999656677246
10-09,-0.8400001525878906,0.0,1.0,-0.8400001525878906
10-12,-0.8599996566772461,0.0,1.0,-0.8599996566772461
10-13,-0.7200002670288086,0.0,1.0,-0.7200002670288086
10-14,-0.6399993896484375,0.0,1.0,-0.6399993896484375
10-15,-1.9499998092651367,0.0,1.0,-1.9499998092651367
10-16,-2.0999994277954097,0.0,1.0,-2.0999994277954097
10-19,-2.149999618530273,0.0,1.0,-2.149999618530273
10-20,-2.1999998092651367,0.0,1.0,-2.1999998092651367
10-21,-2.1999998092651367,0.0,1.0,-2.1999998092651367
10-22,-2.34999942779541,0.0,1.0,-2.34999942779541
10-23,-2.4499998092651367,0.0,1.0,-2.4499998092651367
10-26,-2.25,0.0,1.0,-2.25
10-27,-2.2200002670288086,0.0,1.0,-2.2200002670288086
10-28,-1.760000228881836,0.0,1.0,-1.760000228881836
10-29,-1.609999656677246,0.0,1.0,-1.609999656677246
10-30,-0.3400001525878906,0.0,1.0,-0.3400001525878906
11-02,-0.19999980926513672,0.0,1.0,-0.19999980926513672
11-03,-0.7849998474121094,0.0,1.0,-0.7849998474121094
11-04,-0.3599996566772461,0.0,1.0,-0.3599996566772461
11-05,-0.9499998092651368,0.0,1.0,-0.9499998092651368
