,2019,2020,ups,downs,avg
01-02,-0.5258331298828125,-1.0399999618530271,0.0,2.0,-0.7829165458679199
01-03,-1.0399999618530271,-1.430000066757202,0.0,2.0,-1.2350000143051147
01-06,-1.430000066757202,-1.7200000286102295,0.0,2.0,-1.5750000476837158
01-07,-1.7200000286102295,-1.8400001525878904,0.0,2.0,-1.78000009059906
01-08,-1.8400001525878904,-2.18999981880188,0.0,2.0,-2.0149999856948853
01-09,-2.18999981880188,-1.9800000190734863,0.0,2.0,-2.084999918937683
01-10,-1.9800000190734863,-2.2899997234344482,0.0,2.0,-2.134999871253968
01-13,-2.2899997234344482,-2.1000001430511475,0.0,2.0,-2.1949999332427983
01-14,-2.1000001430511475,-1.870000123977661,0.0,2.0,-1.9850001335144043
01-15,-1.870000123977661,-1.5900001525878906,0.0,2.0,-1.7300001382827759
01-16,-1.5900001525878906,-2.2700002193450928,0.0,2.0,-1.930000185966492
01-17,-2.2700002193450928,-1.579999923706055,0.0,2.0,-1.9250000715255733
01-21,-1.579999923706055,-2.1199998855590816,0.0,2.0,-1.8499999046325684
01-22,-2.1199998855590816,-1.8399999141693115,0.0,2.0,-1.9799998998641968
01-23,-1.8399999141693115,-1.6999998092651367,0.0,2.0,-1.7699998617172241
01-24,-1.6999998092651367,-1.5900001525878906,0.0,2.0,-1.6449999809265137
01-27,-1.5900001525878906,-1.8199996948242188,0.0,2.0,-1.704999923706055
01-28,-1.8199996948242188,-1.7899999618530271,0.0,2.0,-1.804999828338623
01-29,-1.7899999618530271,-1.6100001335144043,0.0,2.0,-1.7000000476837158
01-30,-1.6100001335144043,-1.3599998950958252,0.0,2.0,-1.4850000143051147
01-31,-1.3599998950958252,-1.420000076293945,0.0,2.0,-1.3899999856948853
02-03,-1.420000076293945,-1.5999999046325684,0.0,2.0,-1.5099999904632568
02-04,-1.5999999046325684,-1.5,0.0,2.0,-1.5499999523162842
02-05,-1.5,-1.3700001239776611,0.0,2.0,-1.4350000619888306
02-06,-1.3700001239776611,-1.4099998474121094,0.0,2.0,-1.3899999856948853
02-07,-1.4099998474121094,-1.0499999523162842,0.0,2.0,-1.2299998998641968
02-10,-1.0499999523162842,-0.5300002098083496,0.0,2.0,-0.7900000810623169
02-11,-0.5300002098083496,-0.4800000190734863,0.0,2.0,-0.505000114440918
02-12,-0.4800000190734863,-0.3399996757507324,0.0,2.0,-0.4099998474121094
02-13,-0.3399996757507324,-0.309999942779541,0.0,2.0,-0.3249998092651367
02-14,-0.309999942779541,0.26000022888183594,1.0,1.0,-0.02499985694885254
02-18,0.26000022888183594,0.2699999809265137,2.0,0.0,0.2650001049041748
02-19,0.2699999809265137,0.039999961853027344,2.0,0.0,0.1549999713897705
02-20,0.039999961853027344,0.07999992370605469,2.0,0.0,0.059999942779541016
02-21,0.07999992370605469,-0.1699995994567871,1.0,1.0,-0.04499983787536621
02-24,0.0,1.0500001907348633,1.0,1.0,0.5250000953674316
02-25,0.0,1.1100001335144043,1.0,1.0,0.5550000667572021
02-26,0.0,2.9699997901916504,1.0,1.0,1.4849998950958252
02-27,0.0,3.6999998092651367,1.0,1.0,1.8499999046325684
02-28,0.11999988555908205,3.934999704360962,2.0,0.0,2.027499794960022
03-02,0.2899999618530273,1.5400002002716064,2.0,0.0,0.9150000810623168
03-03,-0.05000019073486328,1.9600000381469729,1.0,1.0,0.9549999237060548
03-04,-0.05000019073486328,0.93999981880188,1.0,1.0,0.4449998140335083
03-05,-0.05000019073486328,0.3900001049041748,1.0,1.0,0.16999995708465576
03-06,0.06999969482421875,0.35000014305114746,2.0,0.0,0.2099999189376831
03-09,0.5999994277954102,0.8899998664855957,2.0,0.0,0.7449996471405029
03-10,0.4799995422363281,0.9299998283386228,2.0,0.0,0.7049996852874756
03-11,0.4799995422363281,0.8799998760223389,2.0,0.0,0.6799997091293335
03-12,0.4799995422363281,2.390000104904175,2.0,0.0,1.4349998235702517
03-13,0.4799995422363281,3.119999885559082,2.0,0.0,1.799999713897705
03-16,0.39999961853027344,2.6800000667572017,2.0,0.0,1.5399998426437378
