,2018,2019,2020,ups,downs,avg
01-02,-11.770000457763672,7.3400001525878915,-2.0,1.0,2.0,-2.1433334350585938
01-03,-2.0,9.079999923706056,-6.8600006103515625,1.0,2.0,0.07333310445149739
01-04,-6.8600006103515625,7.1100006103515625,-7.19999885559082,1.0,2.0,-2.31666628519694
01-06,-7.19999885559082,9.200000762939453,-11.019998550415039,1.0,2.0,-3.0066655476888022
01-07,-11.019998550415039,9.200000762939453,-10.510000228881836,1.0,2.0,-4.1099993387858085
01-08,-10.510000228881836,10.220001220703123,-9.079999923706056,1.0,2.0,-3.123332977294922
01-09,-9.079999923706056,9.860000610351562,-14.400001525878904,1.0,2.0,-4.540000279744466
01-10,-14.400001525878904,8.550000190734862,-14.010000228881836,1.0,2.0,-6.620000521341961
01-11,-14.010000228881836,8.639999389648438,-9.420000076293944,1.0,2.0,-4.930000305175781
01-13,-9.420000076293944,7.9900007247924805,-8.079999923706055,1.0,2.0,-3.1699997584025064
01-14,-8.079999923706055,7.9900007247924805,-8.610000610351562,1.0,2.0,-2.8999999364217124
01-15,-8.610000610351562,7.950000762939452,-7.6100006103515625,1.0,2.0,-2.7566668192545567
01-16,-7.6100006103515625,8.75999927520752,-8.889999389648438,1.0,2.0,-2.5800002415974936
01-17,-8.889999389648438,8.890000343322754,-7.739999771118164,1.0,2.0,-2.5799996058146157
01-18,-7.739999771118164,8.149999618530272,-6.430000305175781,1.0,2.0,-2.0066668192545567
01-21,-6.430000305175781,8.309999465942383,-7.8800010681152335,1.0,2.0,-2.000000635782877
01-22,-7.8800010681152335,8.309999465942383,-8.460000991821289,1.0,2.0,-2.6766675313313804
01-23,-8.460000991821289,6.880000114440918,-8.130001068115233,1.0,2.0,-3.2366673151652017
01-24,-8.130001068115233,6.680000305175781,-5.460000991821289,1.0,2.0,-2.3033339182535806
01-25,-5.460000991821289,6.05000114440918,-3.0400009155273438,1.0,2.0,-0.8166669209798177
01-27,-3.0400009155273438,7.60999870300293,-3.0400009155273438,1.0,2.0,0.5099989573160807
01-28,-3.0400009155273438,7.60999870300293,-3.560001373291016,1.0,2.0,0.33666547139485675
