,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-29.709999084472656,-36.079994201660156,23.040000915527344,-30.479999542236328,2.679999351501465,-2.929999828338623,2.0,4.0,-12.246665398279823
01-03,-2.929999828338623,-37.27999877929688,23.040000915527344,-29.759998321533203,2.9600000381469727,-3.139999866485596,2.0,4.0,-7.85166597366333
01-04,-3.139999866485596,-37.27999877929688,17.520004272460938,-29.839998245239247,2.479999542236328,-3.2800002098083496,2.0,4.0,-8.923332214355469
01-05,-3.2800002098083496,-39.27999877929688,20.56000518798828,-31.11999893188477,2.239999771118164,-3.630000114440918,2.0,4.0,-9.084998846054075
01-06,-3.630000114440918,-39.44000244140625,14.960006713867188,-6.799999237060548,2.479999542236328,-3.630000114440918,2.0,4.0,-6.0099992752075195
01-07,-3.630000114440918,-37.03999328613281,7.760002136230469,-6.559999465942383,2.479999542236328,-3.779999732971192,2.0,4.0,-6.79499848683675
01-08,-3.779999732971192,-39.1199951171875,7.1199951171875,-6.559999465942383,2.8799991607666016,-3.580000162124634,2.0,4.0,-7.173333366711932
01-09,-3.580000162124634,-35.839996337890625,7.1199951171875,-7.1200008392333975,2.40000057220459,-3.3299999237060547,2.0,4.0,-6.725000262260437
01-10,-3.3299999237060547,-35.839996337890625,10.0,-7.8400001525878915,1.920000076293945,-3.009999990463257,2.0,4.0,-6.349999388058982
01-11,-3.009999990463257,-35.839996337890625,16.879997253417972,-6.720000267028809,2.0,-2.7799997329711914,2.0,4.0,-4.911666512489318
01-12,-2.7799997329711914,-40.08000183105469,17.360000610351562,-5.439999580383301,2.560000419616699,-2.489999771118164,2.0,4.0,-5.144999980926514
01-13,-2.489999771118164,-41.27999877929688,15.040000915527346,-5.919999122619629,2.40000057220459,-2.489999771118164,2.0,4.0,-5.7899993260701486
01-14,-2.489999771118164,-53.44000244140625,19.03999328613281,-5.919999122619629,2.40000057220459,-2.4699997901916504,2.0,4.0,-7.14666787783305
01-15,-2.4699997901916504,-43.67999267578125,21.1199951171875,-5.919999122619629,2.1599998474121094,-2.320000171661377,2.0,4.0,-5.184999465942383
01-16,-2.320000171661377,-43.76000213623047,21.1199951171875,-5.919999122619629,2.1599998474121094,-2.320000171661377,2.0,4.0,-5.17333443959554
01-17,-2.320000171661377,-43.599998474121094,21.1199951171875,-5.7599992752075195,2.4800004959106445,-2.0799999237060547,2.0,4.0,-5.02666703859965
01-18,-2.0799999237060547,-43.599998474121094,19.599998474121094,-5.839999198913574,2.0,-2.125,2.0,4.0,-5.3408331871032715
01-19,-2.125,-43.599998474121094,19.839996337890625,-6.3999996185302725,2.799999713897705,-2.21500015258789,2.0,4.0,-5.283333698908488
01-20,-2.21500015258789,-48.8800048828125,20.480003356933594,-8.079999923706055,2.320000171661377,-2.21500015258789,2.0,4.0,-6.4316669305165615
01-21,-2.21500015258789,-39.600006103515625,24.63999938964844,-7.560000419616699,2.320000171661377,-2.21500015258789,2.0,4.0,-4.105001211166382
01-22,-2.21500015258789,-47.83999633789063,22.400001525878906,-7.560000419616699,2.320000171661377,-1.9399998188018799,2.0,4.0,-5.805832505226135
01-23,-1.9399998188018799,-43.1199951171875,22.400001525878906,-8.519999504089355,2.320000171661377,-1.6400001049041748,2.0,4.0,-5.0833321412404375
01-24,-1.6400001049041748,-35.35999298095703,22.080001831054688,-8.159999847412111,1.8000006675720217,-1.309999942779541,2.0,4.0,-3.7649983962376914
01-25,-1.309999942779541,-35.35999298095703,19.519996643066406,-8.000000953674316,1.1999998092651367,-1.0299999713897705,2.0,4.0,-4.163332899411518
01-26,-1.0299999713897705,-36.4800033569336,23.59999847412109,-8.160000801086426,1.1440000534057615,-1.0299999713897705,2.0,4.0,-3.6593342622121177
01-27,-1.0299999713897705,-21.280006408691406,52.16000366210938,-8.000000953674316,0.7440004348754883,-1.0299999713897705,2.0,4.0,3.5939994653066005
01-28,-1.0299999713897705,-25.040000915527344,67.44000244140625,-7.160000801086426,0.7440004348754883,-1.1400001049041748,2.0,4.0,5.635666847229004
01-29,-1.1400001049041748,-34.800003051757805,67.44000244140625,-7.160000801086426,0.6400003433227539,-1.2100000381469729,2.0,4.0,3.961666464805603
01-30,-1.2100000381469729,-38.0,67.44000244140625,-6.519999504089356,0.3200006484985352,-0.7599999904632568,2.0,4.0,3.5450005928675328
01-31,-0.7599999904632568,-33.68000030517578,64.0,-6.1599998474121085,0.2400007247924805,-0.5799999237060547,2.0,4.0,3.84333344300588
02-01,-0.5799999237060547,-33.68000030517578,60.31999206542969,-6.719999313354492,-0.4000005722045897,-0.4700000286102295,1.0,5.0,3.0783319870630894
02-02,-0.4700000286102295,-9.760002136230467,80.31999969482422,-6.0,-0.8000001907348633,-0.6299998760223389,1.0,5.0,10.443332910537722
02-03,-0.6299998760223389,-6.239997863769531,62.55999755859375,-6.40000057220459,-0.8000001907348633,-0.6299998760223389,1.0,5.0,7.976666529973347
02-04,-0.6299998760223389,-8.800003051757812,66.31999969482422,-6.640000343322754,-0.8000001907348633,-0.6499998569488525,1.0,5.0,8.1333327293396
02-05,-0.6499998569488525,10.480003356933594,70.15999603271484,-6.640000343322754,-0.880000114440918,-0.880000114440918,2.0,4.0,11.931666493415833
02-06,-0.880000114440918,22.87999725341797,70.15999603271484,-7.119999885559082,-2.4800004959106445,-0.6000001430511475,2.0,4.0,13.659998774528505
02-07,-0.6000001430511475,23.759994506835927,70.63999938964844,-7.039999961853027,-0.9600000381469728,-1.0800001621246338,2.0,4.0,14.119998931884766
02-08,-1.0800001621246338,23.759994506835927,71.84000396728516,-6.880000114440918,-1.1599998474121094,-1.2800002098083496,2.0,4.0,14.199999690055847
02-09,-1.2800002098083496,19.279998779296875,69.68000793457031,-6.880000114440918,-1.1999998092651367,-1.1000001430511477,2.0,4.0,13.083334406216938
02-10,-1.1000001430511477,18.79999542236328,78.63999938964844,-3.6399993896484375,-1.119999885559082,-1.1000001430511477,2.0,4.0,15.079999208450316
02-11,-1.1000001430511477,25.759994506835927,89.91999816894531,-3.719999313354492,-1.119999885559082,-0.8700001239776611,2.0,4.0,18.14499886830648
02-12,-0.8700001239776611,22.23999786376953,95.75999450683594,-3.719999313354492,-1.0399999618530271,-0.880000114440918,2.0,4.0,18.581665476163227
02-13,-0.880000114440918,18.080001831054688,95.75999450683594,-5.919999122619629,-1.119999885559082,-0.5399999618530273,2.0,4.0,17.56333287556966
02-14,-0.5399999618530273,15.199996948242188,96.63999938964844,-4.239999771118163,-0.15999984741210938,-0.880000114440918,2.0,4.0,17.669999440511067
02-15,-0.880000114440918,15.199996948242188,100.56000518798828,-4.59999942779541,-0.4000005722045897,-0.619999885559082,2.0,4.0,18.21000035603841
02-16,-0.619999885559082,15.199996948242188,97.1999969482422,-4.879999160766602,-0.8000001907348633,-0.5999999046325684,2.0,4.0,17.583332459131878
02-17,-0.5999999046325684,4.6399993896484375,99.68000030517578,-4.880000114440918,-0.8000001907348633,-0.5999999046325684,2.0,4.0,16.239999930063885
02-18,-0.5999999046325684,4.8000030517578125,102.64000701904295,-4.239999771118163,-0.8000001907348633,-0.5999999046325684,2.0,4.0,16.866668383280434
02-19,-0.5999999046325684,11.120002746582033,101.04000091552734,-4.239999771118163,-0.8000001907348633,-0.9600000381469728,2.0,4.0,17.593333959579468
02-20,-0.9600000381469728,5.9199981689453125,101.04000091552734,-4.239999771118163,-0.3599996566772461,-1.320000171661377,2.0,4.0,16.679999907811478
02-21,-1.320000171661377,1.7600021362304688,101.04000091552734,-4.199999809265137,-0.4800004959106445,-1.2699999809265137,2.0,4.0,15.921667098999025
02-22,-1.2699999809265137,1.7600021362304688,92.87998962402344,-4.079999923706056,-1.2799997329711914,-0.9099998474121094,2.0,4.0,14.51666537920634
02-23,-0.9099998474121094,5.920005798339844,95.1199951171875,-0.4000005722045897,-2.0,-0.8899998664855957,2.0,4.0,16.140000104904175
02-24,-0.8899998664855957,-4.319999694824219,95.76000213623048,-3.4400005340576167,-2.0,-0.8899998664855957,1.0,5.0,14.036667029062905
02-25,-0.8899998664855957,-6.8800048828125,82.4000015258789,-1.920000076293945,-2.0,-0.6800000667572021,1.0,5.0,11.671666105588276
02-26,-0.6800000667572021,-7.1999969482421875,82.23999786376953,-1.920000076293945,-1.920000076293945,-0.6500000953674316,1.0,5.0,11.645000100135805
02-27,-0.6500000953674316,-6.6399993896484375,82.23999786376953,-1.0399999618530271,-2.390000343322754,-0.059999942779541016,1.0,5.0,11.909999688466392
02-28,-0.059999942779541016,-11.040000915527344,81.43999481201172,-2.1600008010864262,-2.2300004959106445,0.309999942779541,2.0,4.0,11.04333209991455
02-29,0.0,-11.040000915527344,0.0,0.0,0.0,0.5199999809265137,1.0,1.0,-1.7533334891001384
03-01,0.5199999809265137,-8.560005187988281,77.60000610351562,-2.3199996948242188,-2.950000286102295,0.3400001525878906,3.0,3.0,10.771666844685877
03-02,0.3400001525878906,-14.720001220703125,72.55998992919922,-2.479999542236328,-3.1700000762939453,0.3400001525878906,3.0,3.0,8.811664899190268
03-03,0.3400001525878906,-9.599998474121094,70.7199935913086,-3.0399999618530287,-3.25,0.35000014305114746,3.0,3.0,9.253332575162252
03-04,0.35000014305114746,-5.599998474121094,71.76000213623047,-2.479999542236328,-3.25,0.1099998950958252,3.0,3.0,10.14833402633667
03-05,0.1099998950958252,-10.080001831054688,68.40000152587889,-2.479999542236328,-3.0100002288818364,0.1400001049041748,3.0,3.0,8.84666665395101
03-06,0.1400001049041748,-9.919998168945312,68.40000152587889,-2.7200002670288086,-2.9800004959106445,0.2799999713897705,3.0,3.0,8.866667111714682
03-07,0.2799999713897705,-9.919998168945312,68.08000183105469,-2.639999389648437,-3.889999866485596,0.4600000381469727,3.0,3.0,8.728334069252014
03-08,0.4600000381469727,-7.279998779296875,71.60000610351562,-2.320000648498535,-4.460000038146973,0.559999942779541,3.0,3.0,9.760001103083294
03-09,0.559999942779541,-2.639999389648437,66.72000122070311,-3.359999656677246,-5.820000648498535,0.559999942779541,3.0,3.0,9.336666901906332
03-10,0.559999942779541,0.4800033569335938,73.04000091552734,-2.9600000381469727,-6.020000457763673,0.5399999618530273,4.0,2.0,10.940000613530476
03-11,0.5399999618530273,-1.6800003051757812,73.68000030517578,-2.9600000381469727,-6.020000457763673,1.2099997997283936,3.0,3.0,10.794999877611797
03-12,1.2099997997283936,3.44000244140625,71.76000213623047,-2.9600000381469727,-6.6599998474121085,1.5399998426437378,4.0,2.0,11.388334055741627
03-13,1.5399998426437378,4.560005187988281,71.76000213623047,-2.399999618530273,-6.5,1.3600001335144043,4.0,2.0,11.72000128030777
03-14,1.3600001335144043,4.560005187988281,69.44000244140625,-2.1599998474121094,-3.839999675750733,1.569999933242798,4.0,2.0,11.821668028831482
03-15,1.569999933242798,5.680000305175781,59.91999816894531,-2.0799999237060547,-4.169999599456787,1.6400001049041748,4.0,2.0,10.426666498184202
03-16,1.6400001049041748,6.8800048828125,52.95999145507813,-2.439999580383301,-4.089999675750732,1.6400001049041748,4.0,2.0,9.431666215260824
03-17,1.6400001049041748,12.0,49.03999328613281,0.07999992370605469,-4.230000019073486,1.6200001239776611,5.0,1.0,10.024998903274538
03-18,1.6200001239776611,12.0,46.55998992919922,-0.2399997711181641,-4.230000019073486,1.8699998855590816,4.0,2.0,9.596665024757383
03-19,1.8699998855590816,14.959999084472654,50.639991760253906,-0.2399997711181641,-4.309999942779541,1.6400001049041748,4.0,2.0,10.759998520215351
03-20,1.6400001049041748,14.400001525878904,50.639991760253906,-0.07999992370605469,-4.449999809265137,1.6199998855590818,4.0,2.0,10.628332257270813
03-21,1.6199998855590818,14.400001525878904,56.639991760253906,1.6000003814697266,-4.9200005531311035,1.430000066757202,5.0,1.0,11.794998844464619
03-22,1.430000066757202,12.959999084472654,64.08000183105469,3.75999927520752,-4.309999942779541,1.190000057220459,5.0,1.0,13.18500006198883
