,2018,2019,2020,ups,downs,avg
01-02,-1.5500001907348633,3.7369003295898438,-3.28147029876709,1.0,2.0,-0.3648567199707031
01-03,-3.28147029876709,3.868399620056152,-4.4825005531311035,1.0,2.0,-1.298523743947347
01-04,-4.4825005531311035,4.0087995529174805,-4.239999771118163,1.0,2.0,-1.5712335904439287
01-06,-4.239999771118163,4.242199897766113,-4.889999866485597,1.0,2.0,-1.629266579945882
01-07,-4.889999866485597,4.242199897766113,-4.749999523162842,1.0,2.0,-1.7992664972941084
01-08,-4.749999523162842,4.011699676513672,-4.5761799812316895,1.0,2.0,-1.7714932759602864
01-09,-4.5761799812316895,3.986599922180176,-5.0,1.0,2.0,-1.8631933530171711
01-10,-5.0,3.947500228881837,-5.499999523162842,1.0,2.0,-2.184166431427002
01-11,-5.499999523162842,4.296400070190431,-4.510000228881836,1.0,2.0,-1.9045332272847493
01-13,-4.510000228881836,4.097700119018556,-3.3311800956726074,1.0,2.0,-1.2478267351786296
01-14,-3.3311800956726074,4.097700119018556,-3.030080318450928,1.0,2.0,-0.7545200983683268
01-15,-3.030080318450928,4.097099304199219,-3.6500000953674316,1.0,2.0,-0.8609937032063802
01-16,-3.6500000953674316,3.487399101257324,-3.795200347900391,1.0,2.0,-1.3192671140034993
01-17,-3.795200347900391,3.505000114440918,-4.215999603271484,1.0,2.0,-1.5020666122436523
01-18,-4.215999603271484,3.696700096130371,-4.1371002197265625,1.0,2.0,-1.5521332422892251
01-21,-4.1371002197265625,4.4800004959106445,-4.343700408935547,1.0,2.0,-1.3336000442504885
01-22,-4.343700408935547,4.4800004959106445,-4.518199443817139,1.0,2.0,-1.4606331189473467
01-23,-4.518199443817139,4.777799606323242,-4.840299606323242,1.0,2.0,-1.5268998146057131
01-24,-4.840299606323242,4.6608991622924805,-4.575100421905519,1.0,2.0,-1.5848336219787598
01-25,-4.575100421905519,4.129499435424806,-4.3491997718811035,1.0,2.0,-1.5982669194539387
01-27,-4.3491997718811035,3.936900138854982,-4.3491997718811035,1.0,2.0,-1.5871664683024092
01-28,-4.3491997718811035,3.936900138854982,-4.645199298858644,1.0,2.0,-1.6858329772949219
01-29,-4.645199298858644,3.9542007446289062,-4.5148701667785645,1.0,2.0,-1.7352895736694336
01-30,-4.5148701667785645,3.7975997924804688,-4.490000247955322,1.0,2.0,-1.7357568740844729
01-31,-4.490000247955322,4.0109004974365225,-4.15000057220459,1.0,2.0,-1.543033440907796
02-01,-4.15000057220459,3.422999382019043,-4.359999656677246,1.0,2.0,-1.6956669489542644
02-03,-4.359999656677246,3.178299903869629,-4.609999656677246,1.0,2.0,-1.930566469828288
02-04,-4.609999656677246,3.178299903869629,-4.340000152587892,1.0,2.0,-1.9238999684651688
02-05,-4.340000152587892,2.7826004028320312,-4.33843994140625,1.0,2.0,-1.9652798970540364
02-06,-4.33843994140625,3.799999237060547,-4.30370044708252,1.0,2.0,-1.6140470504760742
02-07,-4.30370044708252,4.451200485229492,-4.340000152587892,1.0,2.0,-1.3975000381469729
02-08,-4.340000152587892,5.9193010330200195,-3.848979949951172,1.0,2.0,-0.7565596898396809
02-10,-3.848979949951172,5.09160041809082,-3.848979949951172,1.0,2.0,-0.8687864939371744
02-11,-3.848979949951172,5.09160041809082,-3.869999885559082,1.0,2.0,-0.8757931391398112
02-12,-3.869999885559082,5.051800727844238,-3.3687005043029785,1.0,2.0,-0.7289665540059408
