,2018,2019,2020,ups,downs,avg
01-02,-23.6299991607666,-0.07000000774860382,-0.07200000062584877,0.0,3.0,-7.923999723047018
01-03,-0.07200000062584877,-0.07799999415874481,-0.07000000774860382,0.0,3.0,-0.07333333417773248
01-04,-0.07000000774860382,-0.07700000703334814,-0.07399999350309372,0.0,3.0,-0.07366666942834857
01-06,-0.07399999350309372,-0.03200000524520874,-0.0689999908208847,0.0,3.0,-0.05833332985639573
01-07,-0.0689999908208847,-0.03200000524520874,-0.06599999964237213,0.0,3.0,-0.05566666523615519
01-08,-0.06599999964237213,-0.038000017404556274,-0.07100000232458115,0.0,3.0,-0.058333339790503175
01-09,-0.07100000232458115,-0.07300001382827759,-0.06799999624490738,0.0,3.0,-0.07066667079925537
01-10,-0.06799999624490738,-0.06499999761581421,-0.06499999761581421,0.0,3.0,-0.06599999715884526
01-11,0.0,-0.03299999237060547,-0.07299999892711638,0.0,3.0,-0.035333330432573945
01-13,0.0,-0.008000016212463434,-0.07800000160932538,0.0,3.0,-0.02866667260726294
01-14,0.0,-0.008000016212463434,-0.07499999552965164,0.0,3.0,-0.027666670580705027
01-15,0.0,0.009000003337860052,-0.0599999949336052,1.0,2.0,-0.016999997198581713
01-16,0.0,-0.03200000524520874,-0.07500000670552256,0.0,3.0,-0.035666670650243766
01-17,-0.04999995231628418,-0.0399999916553497,-0.06100000441074373,0.0,3.0,-0.050333316127459206
01-18,0.009999990463256836,-0.01299998164176941,-0.07300000265240669,1.0,2.0,-0.025333331276973087
01-21,0.001000046730041504,-0.0040000081062316895,-0.07300000265240669,1.0,2.0,-0.025333321342865627
01-22,0.001000046730041504,-0.0040000081062316895,-0.07099999859929085,1.0,2.0,-0.024666653325160343
01-23,0.001000046730041504,0.030000016093254117,-0.06200000271201134,2.0,1.0,-0.010333313296238572
01-24,0.0,0.03800001740455637,-0.05399999767541885,1.0,2.0,-0.0053333267569541645
01-25,0.019999980926513672,0.02399998903274528,-0.06299999356269836,2.0,1.0,-0.006333341201146471
01-27,0.009999990463256836,0.0,-0.06299999356269836,1.0,2.0,-0.017666667699813843
01-28,0.029999971389770508,0.0,-0.059000000357627876,1.0,2.0,-0.00966667632261912
01-29,0.029999971389770508,-0.01999998092651356,-0.0560000017285347,1.0,2.0,-0.015333337088425915
01-30,0.029999971389770508,-0.02300000190734857,-0.05699999630451201,1.0,2.0,-0.016666675607363363
01-31,0.0,-0.02700001001358032,-0.045000001788139364,0.0,3.0,-0.02400000393390656
02-01,0.039999961853027566,-0.013999998569488524,-0.039999999105930335,1.0,2.0,-0.004666678607463767
02-03,0.039999961853027566,0.0009999871253967283,-0.04900000244379045,2.0,1.0,-0.002666684488455385
02-04,0.10500001907348633,0.0009999871253967283,-0.05799999833106995,2.0,1.0,0.01600000262260437
02-05,0.10500001907348633,0.0009999871253967283,-0.05399999767541887,2.0,1.0,0.017333336174488064
02-06,0.10500001907348633,-0.004999995231628362,-0.04100000113248825,1.0,2.0,0.019666674236456568
02-07,0.0900000333786013,-0.02900001406669617,-0.045000001788139364,1.0,2.0,0.0053333391745885896
02-08,0.04999995231628418,-0.02799999713897705,-0.0429999977350235,1.0,2.0,-0.007000014185905457
02-10,-0.019999980926513672,-0.02000001072883606,-0.0429999977350235,0.0,3.0,-0.02766666313012441
02-11,-0.02999997138977073,-0.02000001072883606,-0.034000001847743974,0.0,3.0,-0.027999994655450253
02-12,-0.02999997138977073,-0.02300000190734864,-0.034000001847743974,0.0,3.0,-0.02899999171495445
02-13,-0.02999997138977073,-0.03499999642372132,-0.04699999839067458,0.0,3.0,-0.037333322068055536
02-14,-0.0700000524520874,-0.013999998569488524,-0.03700000047683717,0.0,3.0,-0.04033335049947103
02-15,-0.0700000524520874,-0.02400001883506775,-0.02699999511241913,0.0,3.0,-0.04033335546652477
02-18,-0.09000003337860107,-0.026000007987022428,-0.020999997854232788,0.0,3.0,-0.045666679739952094
02-19,-0.09000003337860107,-0.026000007987022428,-0.02300000190734862,0.0,3.0,-0.04633334775765737
02-20,-0.09000003337860107,-0.025999993085861185,-0.03199999779462813,0.0,3.0,-0.04933334141969679
02-21,-0.093999981880188,-0.031000003218650818,-0.02400000393390654,0.0,3.0,-0.049666663010915116
02-22,-0.08000004291534446,-0.03000000119209289,-0.028000004589557648,0.0,3.0,-0.046000016232331666
02-24,0.059999942779541016,-0.02300000190734864,-0.03700000047683717,1.0,2.0,-1.986821492513021e-08
02-25,0.02799999713897705,-0.02300000190734864,-0.0379999950528145,1.0,2.0,-0.010999999940395359
02-26,0.02799999713897705,-0.013999998569488524,-0.0299999937415123,1.0,2.0,-0.005333331724007924
02-27,0.02799999713897705,-0.009000003337860106,-0.020000003278255463,1.0,2.0,-0.0003333364923795064
02-28,-0.04999995231628418,-0.031000003218650787,-0.028999999165534963,0.0,3.0,-0.03666665156682331
03-01,-0.04999995231628418,-0.012999996542930577,-0.028999999165534987,0.0,3.0,-0.03066664934158325
03-02,0.001999974250793457,-0.006000012159347506,-0.028999999165534987,1.0,2.0,-0.01100001235802968
03-03,0.016000032424926758,-0.002000004053115817,-0.027000002562999725,1.0,2.0,-0.004333324730396261
03-04,-0.02199995517730713,-0.002000004053115817,-0.017999999225139632,0.0,3.0,-0.013999986151854191
03-05,-0.02199995517730713,-0.01599998772144315,-0.02600000053644179,0.0,3.0,-0.02133331447839736
