,2009,2010,2011,2012,2013,2020,ups,downs,end_day_sum,avg
01-02,0.0,-9.999994654208464e-05,-0.00020000000949949023,0.0,0.0,0.0,0.0,5.0,03-17,-4.9999992673595816e-05
01-03,0.0,0.0009000001009553662,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-18,0.00011666668190931266
01-04,0.0,0.0009000001009553662,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-19,0.00011666668190931266
01-05,0.0,0.0009000001009553662,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-20,0.00011666668190931266
01-06,0.0,0.0009000001009553662,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-21,0.00011666668190931266
01-07,0.0,0.0009000001009553662,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-22,0.00011666668190931266
01-08,0.0,0.0009000001009553662,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-23,0.00011666668190931266
01-09,0.0,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,0.0,5.0,03-24,-0.00011666666250675918
01-10,0.002399999997578561,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-25,0.00028333333708966774
01-11,0.002399999997578561,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-26,0.00028333333708966774
01-12,0.002399999997578561,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-27,0.00028333333708966774
01-13,0.002399999997578561,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-28,0.00028333333708966774
01-14,0.002399999997578561,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-29,0.00028333333708966774
01-15,0.0,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,0.0,5.0,03-30,-0.00011666666250675918
01-16,0.00019999995129182946,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,03-31,-8.333333729145427e-05
01-17,0.00019999995129182946,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,04-01,-8.333333729145427e-05
01-18,0.00019999995129182946,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,04-02,-8.333333729145427e-05
01-19,0.00019999995129182946,-0.0004999999655410648,-0.00020000000949949023,0.0,0.0,0.0,1.0,4.0,04-03,-8.333333729145427e-05
