,2019,2020,ups,downs,avg
04-06,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-07,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-08,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-09,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-13,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-14,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-15,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-16,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-17,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-20,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-21,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-22,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-23,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-24,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-27,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-28,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-29,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
04-30,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-01,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-02,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-03,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-04,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-05,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-06,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-07,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-08,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-09,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-10,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-11,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-12,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
