,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,6.691450003909709,12.844035396892158,9.715643074952506,10.56700875850594,8.598726323576674,14.378024503446591,10.410094637223976,6.104651162790697,-2.9115341545352744,0.7476635514018692,-9.935897435897436,-6.798143416983331,4.27877948870773,-14.18251760841528,0.31007278797238375,-5.176646065284075,8.932634702700868,16.468590565702783,-5.447739049379609,-8.437825614517036,-7.148321292587441,11.787679977340487,10.937681257015743,2.9664782006542536,-3.866513868070492,0.5404226059252788,0.43188301955065955,5.4520670909733004,3.2275871581701336,8.973565530779378,-2.92731113641169,21.0,10.0,2.82362226310037
01-03,5.018587502932282,15.137609959090012,9.715643074952506,10.56700875850594,9.177219797032517,13.680781418970442,11.35646687697161,5.232558139534884,0.4410143329658214,-1.7241379310344827,-6.0278207109737245,-5.606532332832889,2.183506120721286,-12.834100620565728,0.5713445558628703,-10.347963880760291,9.694558772780024,16.468590565702783,-9.773206126812237,-14.986595889883494,-5.554510881260433,10.713529282669887,5.8970115005791754,3.2090909266828485,-4.32681481036653,3.2673220416248894,2.7980003908761133,4.64626060044986,2.7866260936882927,11.462811460541868,-2.164931141862336,21.0,10.0,2.6025460595736702
01-04,5.018587502932282,15.596329071196443,7.506054838755801,7.21925148416716,7.371792426476112,15.309450843899223,9.14826498422713,3.1884057971014492,1.8478260869565217,-0.18867924528301888,-8.90302066772655,-8.734511428727798,0.6837260084863817,-13.445787544710091,-0.5936529303799,-6.746626995338429,9.575041728632295,17.63024100732275,-5.1905569252809,-18.775958639428186,-4.2394991553474135,13.39453774831148,4.520642636185781,2.216588144536809,-4.729184927373228,3.9871212025566094,4.673594589199967,3.024196268966088,2.2292990059171727,6.773204965680854,-3.542986206593967,20.0,11.0,2.1233448927522196
01-05,6.505570720277574,14.523811340332033,9.478674450962936,7.547165853642587,5.769230769230769,14.82085150750742,7.886435331230284,0.5952380952380952,-0.33333333333333337,-1.8867924528301887,-11.446740858505565,-5.308629561795279,3.506491136650148,-12.121933672601235,3.895523299032183,-5.7121519674802705,9.42895858667551,18.782953788409102,-2.3859222554590733,-28.068071782825815,1.1154409936638066,12.121847144373197,3.132415078175043,2.1751145272618393,-4.741388045029783,3.8589872012492115,6.029723251514332,3.454915851877615,1.8128316249432983,5.085577268781947,-5.2002081593980956,21.0,10.0,2.074922120379687
01-06,5.018587502932282,14.72683957666101,8.830550425288656,6.199458987489664,5.608976804293119,12.377854825548418,5.483870967741936,0.2985074626865672,-0.7838745800671892,-6.415094339622642,-17.170111287758345,-4.488705819704069,1.0213123337528032,-9.28505067313288,6.076523569448463,-7.181410996531701,9.123509253857403,19.538408175711037,-4.000001795151655,-38.2873109768951,1.3810176799197456,12.111413036124937,2.349306782412344,1.2813387474973885,-5.652180110732909,7.568729534303404,7.085836450254391,2.4101950298886954,3.417059547788797,3.0379279603599727,-6.319900369192954,21.0,10.0,1.1407607646829545
01-07,4.1275853447952,9.11392949304008,9.397585191752796,3.2345014142244946,5.288461538461538,10.819672401795245,1.0135135135135136,1.1695906432748537,0.4479283314669653,-3.5849056603773586,-17.011128775834656,-4.988056396632274,1.1529859438128218,-7.263868779372112,3.6759257637607554,-5.697156260301707,8.226664225260416,19.8279679687308,-5.880948362366734,-32.330133824505694,0.6728064291697907,12.017529938568492,0.4572220558624796,1.9586192527009705,-7.142005668144982,7.9676543284619274,7.908636150400354,3.645686355494722,4.916195532949943,1.971252036761205,-5.3416681068442795,22.0,9.0,0.9603884522541799
01-08,3.947368534270796,6.138101802664044,10.36144248728713,3.2171581111394945,1.7628229581392727,10.231025620262221,0.6779661016949152,2.631578947368421,3.5834266517357225,-12.741312741312742,-17.896389324960754,-8.729275342508576,2.373031029503778,-6.753306653765099,4.366091193984743,-6.575553426559841,9.660060866925116,19.41773483239664,-2.6579608437196156,-40.179959500058054,-0.6461801561787347,11.211421442026026,1.3592456805957314,0.6233741707260065,-5.991215289491122,6.749328448766004,8.178762037926818,4.60686891839095,2.221280310254319,1.8513926841801063,-6.651307650433182,21.0,10.0,0.20474264197582379
01-09,5.41045045395891,5.626594782547613,10.602408189977004,2.9729770356672742,0.8090639577328581,10.673237316714133,8.641479099678456,-0.29239766081871343,9.162011173184357,-8.88468809073724,-21.915584415584416,-11.0062893081761,4.524286778939521,-7.449522100500319,4.227695772062337,-5.4228640932865115,11.381481326499,20.439842666681056,-2.179998569822035,-51.38249818604108,-4.661316411563209,10.968419125205592,1.7341715668541196,-0.9407165024151966,-5.564126694109798,6.607782814403891,3.7012967196377837,4.0324770954593925,-2.165469705056986,3.4713553178997008,-7.6820554116200315,18.0,13.0,-0.14711277279447202
01-10,5.223886141879887,3.580560848326265,10.45130497989265,1.3736305368102664,7.121214433149858,12.339746035062351,14.790996784565916,-4.491017964071856,7.158590308370044,-7.663551401869159,-17.34375,-9.90566037735849,6.520289680106036,-7.770188703107193,0.8726266036241026,-5.94807151037251,12.713903988967406,20.1121175580831,-5.1993461738647975,-43.856013330974164,-5.73192232146191,7.054943042797046,0.7348615934555586,-1.904114520294595,-5.451126926608041,7.551664323150215,5.42091826184101,4.341087159134278,-1.7582862409192366,0.4753626109669346,-4.5830011221186195,18.0,13.0,0.20102110636007567
01-11,4.6641846652760925,5.999994506835728,8.620688100004454,6.9948243059217905,10.416664396013532,10.897438342754658,10.610932475884244,0.29411764705882354,5.915178571428571,-6.666666666666667,-21.915584415584416,-8.333333333333332,5.375410619569104,-5.361744239324698,0.9787420027866718,-3.667659934601929,12.346302369280512,17.636910294504506,-3.935730077911685,-53.982963044572244,-6.881798181227976,2.9458400308080233,-0.15407994451349613,-2.9405068455984367,-5.691344380535343,6.078265777806178,3.876066745433193,3.5932534305312847,-3.312980749769598,2.8062678249541015,1.5160836914042009,19.0,12.0,-0.04120083920594073
01-12,8.529948086610213,6.598983090743752,9.512200350423662,13.300487473228998,10.119049889700753,10.416669111985428,12.460063897763577,0.8771929824561403,4.530011325028313,-8.411214953271028,-19.642857142857142,-3.1415566447876047,8.37417489797534,-8.695648167719886,-0.24772204858529434,-4.79041437432686,12.18151943808042,12.14399082259263,-8.62682623657546,-46.08084449484227,-2.1537897435026907,0.9177488878122024,-0.08296751516587399,-3.13325311946627,-5.554244003503044,6.612025193177937,5.6708903252323974,4.0857303188238,-3.1310911762819527,5.157557086000657,-1.6757854489609667,17.0,14.0,0.5200009067028992
01-13,7.933584742990606,6.122454580094685,9.732361953623974,14.778320041085982,8.928571428571429,9.646302487445169,14.012738853503185,1.4534883720930232,5.675368898978434,-3.925233644859813,-20.12987012987013,-6.8430387502776595,11.704313498239495,-7.784431137724551,-0.36962553926000863,-5.613772198624653,10.482317075085392,12.556254413678381,-6.405219366745649,-50.98111230554807,-3.7557860428796954,-1.3709483969930194,-0.6658801404860949,-5.037986446343197,-6.496131928883335,6.254096469285873,7.316454151008703,1.8008005021392117,-0.7819945560710455,4.518983938287334,-4.854492585043145,16.0,15.0,0.2548673624677676
01-14,8.941611159342418,5.882351219483641,6.112465934938685,13.793102087503897,7.2727272727272725,2.2950770217414487,14.012738853503185,-0.5899705014749262,3.745743473325766,-0.3738317757009346,-30.067567567567565,-2.7648668892762207,11.8852445240528,-6.8427331805744815,-1.0472821530567222,-3.010033147984655,9.337970191904233,12.463563929386892,-8.26664010132281,-46.24213130425146,-3.8625812694155397,-0.6860791315173356,-1.9695053262374862,-3.8843937691925583,-6.342618341318043,5.61012795848252,6.83544496946697,3.9403482788312667,-0.04776458202482647,3.9010984557975337,-4.043853387278437,15.0,16.0,-0.12942700315178934
01-15,10.733452886904267,8.108113427760115,0.7334963598832915,11.463417929173245,3.7764395681781235,1.8121861217363315,13.738019169329075,1.7699115044247788,6.469920544835414,-7.884615384615384,-27.580372250423014,-2.7648668892762207,12.381345673451518,-6.530605777567181,-1.6941297843077685,-0.08500522892940318,8.974527708622448,8.49492550174714,-7.096478314215171,-46.760455585858594,1.1060345216713785,-0.12156107077953517,-1.822765659654894,-2.174907388688984,-6.46117922492767,4.824280360005501,8.140698306226458,4.721035245628403,-2.42082859197422,3.9977953619025923,-3.5945363442474996,17.0,14.0,-0.18537765496727274
01-16,11.504419688116299,6.633912008827752,0.24449505587235265,9.855772537239789,5.629631890190972,2.6143765917011335,12.903225806451612,0.2949852507374631,7.87139689578714,-3.824091778202677,-27.580372250423014,-3.1941012596842464,13.99091809200899,-7.683065620667251,1.2785332981862265,0.6468838145470268,7.709449996353855,8.486473694441097,-1.8784818955365652,-46.725535762856616,-0.6282733248602226,-0.4991646595957174,-1.896077998723704,-1.9813230127716341,-6.496743872040353,4.25531612243011,8.820941271615657,4.703627387304059,-4.146203997884428,3.7777326328785077,-5.122216118828415,18.0,13.0,-0.013985790883380663
01-17,12.389378164899119,2.702706350464079,-1.7073132879745374,12.383180693753655,5.067068516304744,-0.8403387205066513,11.935483870967742,-0.591715976331361,5.679287305122494,-1.1173184357541899,-31.818181818181817,-1.3513494514755988,12.133713092252227,-6.461682819338874,-0.6227524141039634,0.46492225337779125,8.69113667988211,7.756950276906367,8.290818301240598,-35.64933148782839,1.080804697581355,-1.7291724205518384,-2.3875598090526218,-2.596218158984177,-5.1547571972386566,3.8300234869146195,9.628337729258881,6.185942103309217,-4.077825422829813,2.1517140977260216,-10.131877553920537,16.0,15.0,0.13335718212541925
01-18,12.21238971034738,4.116226302833601,-4.411764705882353,11.137443971409947,8.076356055978112,-0.16807236020570285,10.0,1.1730205278592376,7.12719298245614,-2.0676691729323307,-27.364864864864863,0.6449650074171023,10.285834078418333,-3.4799385924099506,1.0411886856460373,1.133497857502425,8.665187434310404,7.507615832194749,12.15361566800581,-50.18123652882215,0.9448535401321756,-1.1725241614524662,-3.9672023434467656,-3.563699405857547,-4.0148922797506215,4.284303612191074,10.598400547622012,5.376733763081865,-4.369987563047911,-0.3474807044307139,-10.27607507035786,18.0,13.0,0.03527154270790849
01-19,9.838995750004033,5.048076737914572,-1.6706406888523626,12.910799913003412,7.782674781026294,2.352936107806963,11.501597444089457,0.8823529411764706,6.2015503875969,-2.6465028355387523,-25.33783783783784,1.2186089239313644,11.254958150643663,-4.413561198174042,0.49268623534995426,1.973126295521067,8.587359491070174,8.796899062166805,2.4175537856203686,-47.4495830984029,1.7047391793406506,0.16750588583699866,-4.835405910374992,-5.4272434925318045,-2.7828866081225856,4.535991609421129,11.46138523111734,5.574541008441038,-8.615528331079043,2.737126500231157,-5.270863522548091,21.0,10.0,0.2900455450918518
01-20,10.733452886904267,7.494138319891483,-0.4717017289540175,12.676056338028168,8.663732049748761,3.7478756295907476,10.158730158730158,-0.5970149253731344,7.330415754923414,-1.7013232514177694,-23.14189189189189,3.1476979687059967,14.624345033782078,-7.452951905711784,0.6609288676786658,3.050658176749758,11.320026713196967,7.891980190995285,5.047388585530113,-38.52154832780011,4.347083606705882,0.3238424406973275,-4.766488922960565,-5.331365665938505,-3.174420047544789,3.6705359942953026,12.023456473854779,2.55614663899544,-11.134308000816933,4.209390108565423,-9.367472996353094,20.0,11.0,0.9037869120260459
01-21,9.601452039635685,7.0588232759785985,2.6570085166157154,12.910799913003412,10.556350021115247,5.980066293607026,13.719512195121952,3.1976744186046515,9.62800875273523,-0.5671077504725899,-27.848101265822784,5.68262168376113,11.513635061095533,-5.053978062120606,-1.2450126320075277,3.6007951269649556,11.700912947511402,7.0345435857364444,4.083516917559241,-45.95096881194499,5.472211204948155,3.659720922126375,-5.614976683427598,-2.829877965248705,-2.8301876855671195,3.1177443780765506,10.764904634428559,3.34746821544588,-8.150318740561929,1.6165999750302127,-5.819580430573495,21.0,10.0,1.322395485527568
01-22,10.573479437058957,4.600491480774536,1.4492753623188406,12.351540766248572,8.045979203849003,6.907894563476799,13.98176291793313,4.069767441860465,10.393873085339168,3.007518796992481,-28.673835125448026,6.38895289371082,13.21217288017503,-3.6310191802724363,-2.0596434330916162,6.482370298444817,9.245905641649609,9.501119284342257,6.866036444032135,-39.190197305012774,9.367520585019365,2.4147219971681446,-6.195771210285054,-3.7974763599436856,-2.0018471350885623,1.0392425027384158,10.828251173497012,3.3561834303642075,-7.488493336276441,-0.379165080825583,-4.961057199075209,21.0,10.0,1.7969533813443348
01-23,11.64021164021164,4.600491480774536,3.6231884057971016,13.425927691989475,10.987486626011227,5.666664123535156,13.149847094801222,2.3255813953488373,9.56043956043956,2.3679417122040074,-31.26142595978062,8.153132656014133,13.334699675754639,-4.219826524856506,-2.203390248928704,5.370624248798057,9.341025431381148,10.134460766142436,7.101250475555345,-44.628749499434,9.825331204005328,0.2766404696269144,-9.708373349689513,-3.9206901888820056,-1.1044628447951852,2.3325233602768645,15.433551953365054,2.8301843048319406,-6.814445966780097,0.3981324955399576,-5.512963654009617,22.0,9.0,1.6937099527499462
01-24,8.818344842819926,2.663441852876535,2.933985439533166,15.000004681673737,9.09091322875211,4.347821094623198,12.538226299694188,0.5847953216374269,12.5,2.3679417122040074,-47.73662551440329,7.739408028338521,12.926284813688216,-4.929584964565799,-1.7927686275400743,5.118488320638696,5.63117304940396,10.684953161947254,7.493282406896262,-38.45550520550651,9.307435920980362,1.5189589741011615,-9.102385011750384,-4.44718423881722,3.037515814585053,2.027478160583974,16.223157652158914,2.534627519523432,-7.409761025514358,-0.12006267443247462,-6.946619277162984,22.0,9.0,1.1015400566763547
01-25,10.052910052910052,1.4388489208633095,1.703159304430885,17.256641649342694,9.14285516232856,2.6755828009151292,13.761467889908257,3.6619718309859155,10.76923076923077,0.5565862708719851,-26.24113475177305,5.808693099185665,9.337470792489547,-2.183074233287024,-1.7463956758189445,2.3509164842709906,4.496934396575403,12.30935808155391,5.657372005723132,-37.005425733446906,9.429825012985953,0.47873558966462515,-10.79409563259779,-4.121649455272089,3.141892814914847,3.901321961372976,14.394752432284685,2.1815910523025352,-7.112103496147228,-2.2022501160921317,0.46329830403631456,23.0,8.0,1.7279125027326767
01-26,11.463847488322571,-0.7228915928444587,2.4154552515002266,14.79821090362236,10.285714509925068,3.1772550545186595,12.0,3.389830508474576,10.671067106710671,2.389705882352941,-29.432624113475175,9.19734232508415,8.605278189827468,-4.675985321315775,-0.43471881203314844,2.9529889978578625,4.790504203802376,11.282606640224435,-2.6556104927367654,-26.86781430042851,8.685248222389605,-1.3026031762642258,-10.667850871485685,-3.422095845446999,2.835511299166481,2.8134933714654786,11.404143926174216,2.5708372733799942,-6.475852534876555,1.5847991325875677,-8.85333251953125,20.0,11.0,1.3484664744176826
