,2009,2010,2011,2012,2013,2020,ups,downs,avg
01-02,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-03,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-04,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-05,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-06,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-07,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-08,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-09,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-10,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-11,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-12,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-13,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-14,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-15,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-16,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-17,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-18,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-19,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-20,0.0,-9.999994179234232,-20.00000000000001,0.0,0.0,0.0,0.0,5.0,-4.999999029872374
01-22,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-23,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-24,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-25,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-26,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-27,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-28,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-29,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-30,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
01-31,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
02-01,0.0,-9.999994179234232,0.0,0.0,0.0,0.0,0.0,5.0,-1.6666656965390387
02-02,0.0,45.00000291038289,0.0,0.0,0.0,0.0,1.0,4.0,7.500000485063815
02-03,0.0,50.0,0.0,0.0,0.0,0.0,1.0,4.0,8.333333333333334
02-04,0.0,50.0,0.0,0.0,0.0,0.0,1.0,4.0,8.333333333333334
02-05,0.0,50.0,0.0,0.0,0.0,0.0,1.0,4.0,8.333333333333334
02-06,0.0,50.0,0.0,0.0,0.0,0.0,1.0,4.0,8.333333333333334
02-07,0.0,50.0,0.0,0.0,0.0,0.0,1.0,4.0,8.333333333333334
02-08,0.0,-66.66666666666663,0.0,0.0,0.0,0.0,0.0,5.0,-11.111111111111105
02-09,79.99999922389787,-233.3333333333332,0.0,0.0,0.0,0.0,1.0,4.0,-25.555555684905887
