,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.7920000553131104,-0.4119999408721924,0.0,0.15999996662139893,0.07199996709823608,0.07890000939369196,0.005699999630451202,5.0,3.0,02-16,0.06966000571846961
01-03,0.0,0.0,0.0,0.7920000553131104,-0.2979999780654907,0.0,0.15999996662139893,0.07199996709823608,0.07890000939369196,0.004200000315904617,5.0,3.0,02-17,0.08091000206768513
01-04,0.0,0.0,0.0,0.5520000457763672,-0.2979999780654907,0.0,0.15999996662139893,0.07199996709823608,0.07890000939369196,0.002970002591609955,5.0,3.0,02-18,0.05678700134158134
01-05,0.0,0.0,0.0,0.5520000457763672,-0.2979999780654907,0.0,0.15999996662139893,0.07199996709823608,0.07960000634193415,0.0032999999821186135,5.0,3.0,02-19,0.05689000077545643
01-06,0.0,0.0,-94.11999797821045,0.6500000953674316,-0.2979999780654907,0.0,0.15999996662139893,0.07199996709823608,0.1018999814987182,-0.000999998301267617,4.0,4.0,02-20,-9.343509794399143
01-07,0.0,0.0,-94.11999797821045,0.5419998168945317,-0.2979999780654907,0.0,0.15999996662139893,0.07199996709823608,0.11869999766349787,0.001880001276731491,5.0,3.0,02-21,-9.352341820672155
01-08,0.0,0.0,-94.11999797821045,0.5419998168945317,-0.2979999780654907,0.0,0.15999996662139893,0.07199996709823608,0.13779997825622553,0.0023500025272369385,5.0,3.0,02-22,-9.35038482248783
01-09,0.0,0.0,-94.11999797821045,0.48799991607666016,-0.2979999780654907,0.0,0.15999996662139893,0.07199996709823608,0.13779997825622553,0.005150001496076584,5.0,3.0,02-23,-9.355504812672734
01-10,0.0,0.0,-94.11999797821045,0.4779999256134029,-0.2979999780654907,0.0,0.15999996662139893,-0.0040000081062316895,0.13779997825622553,-0.0016999989748001099,3.0,5.0,02-24,-9.364789809286595
01-11,0.0,0.0,-94.11999797821045,0.4779999256134029,-0.6899999976158142,0.0,0.15999996662139893,-0.0040000081062316895,0.4999000000025262,0.0023600012063980103,4.0,4.0,02-25,-9.367373809048877
01-12,0.0,0.0,-93.07999801635742,0.4779999256134029,-0.6899999976158142,0.0,0.15999996662139893,0.03200000524520874,0.04159998893737793,-0.0008400008082389832,4.0,4.0,02-26,-9.305923812836408
01-13,0.0,0.0,-94.31999826431274,0.4779999256134029,-0.7839999794960022,0.0,0.15999996662139893,-0.09999999403953547,0.027199983596801758,0.003760002553462982,4.0,4.0,02-27,-9.453503835946321
01-14,0.0,0.0,-94.31999826431274,0.3780000209808345,-0.7839999794960022,0.0,0.15999996662139893,-0.09999999403953547,-0.0051000118255615234,0.030100001022219658,3.0,5.0,02-28,-9.464099826104938
01-15,0.0,0.0,-94.31999826431274,0.3780000209808345,-0.7839999794960022,0.0,0.15999996662139893,-0.09999999403953547,0.0006099939346314032,0.023270003497600555,4.0,4.0,02-29,-9.464211825281382
01-16,0.0,0.0,-94.31999826431274,0.3780000209808345,-0.7839999794960022,0.0,0.15999996662139893,-0.09999999403953547,0.00011000037193303891,0.022100001573562622,4.0,4.0,03-01,-9.464378824830055
01-17,0.0,0.0,-94.31999826431274,0.4060001373291011,-0.9479999840259552,0.0,0.15999996662139893,-0.09999999403953547,0.05291000008583069,0.0011999979615211487,4.0,4.0,03-02,-9.474788814038039
