,2009,2010,2011,2012,2013,2020,ups,downs,end_day_sum,avg
01-02,0.0,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,5.0,02-16,-1.6666657757014107e-05
01-03,0.0,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,5.0,02-17,-1.6666657757014107e-05
01-04,0.0,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,5.0,02-18,-1.6666657757014107e-05
01-05,0.0,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,5.0,02-19,-1.6666657757014107e-05
01-06,0.0,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,5.0,02-20,-1.6666657757014107e-05
01-07,0.0,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,5.0,02-21,-1.6666657757014107e-05
01-08,0.0,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,5.0,02-22,-1.6666657757014107e-05
01-09,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,02-23,-4.9999992673595816e-05
01-10,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,02-24,-4.9999992673595816e-05
01-11,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,02-25,-4.9999992673595816e-05
01-12,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,02-26,-4.9999992673595816e-05
01-13,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,02-27,-4.9999992673595816e-05
01-14,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,02-28,-4.9999992673595816e-05
01-15,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,02-29,-4.9999992673595816e-05
01-16,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-01,-4.9999992673595816e-05
01-17,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-02,-4.9999992673595816e-05
01-18,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-03,-4.9999992673595816e-05
