,2009,2010,2013,2014,2015,2016,2017,2018,2019,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666665424903186,0.0,1.0,7.0,2.962962824989243
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666665424903186,0.0,1.0,7.0,2.962962824989243
01-04,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,26.666665424903186,0.0,2.0,6.0,9.575648646249988
01-05,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,26.666665424903186,0.0,2.0,6.0,9.575648646249988
01-06,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,26.666665424903186,0.0,2.0,6.0,9.575648646249988
01-07,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,26.666665424903186,0.0,2.0,6.0,9.575648646249988
01-08,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,26.666665424903186,0.0,2.0,6.0,9.575648646249988
01-09,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,26.666665424903186,0.0,2.0,6.0,9.575648646249988
01-10,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,26.666665424903186,0.0,2.0,6.0,9.575648646249988
01-11,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,6.6126858212607456
01-12,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,6.6126858212607456
01-13,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,6.6126858212607456
01-14,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,6.6126858212607456
01-15,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,6.6126858212607456
01-16,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,6.6126858212607456
01-17,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,6.6126858212607456
01-18,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,6.6126858212607456
01-19,0.0,0.0,0.0,0.0,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,6.6126858212607456
01-20,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,0.0,0.0,0.0,1.0,7.0,5.378691100794178
01-21,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,6.0,9.082394804497882
01-22,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,5.0,9.082394804497882
01-23,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,5.0,9.082394804497882
01-24,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,5.0,9.082394804497882
01-25,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,5.0,9.082394804497882
01-26,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,5.0,9.082394804497882
01-27,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,5.0,9.082394804497882
01-28,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,5.0,9.082394804497882
01-29,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,5.0,9.082394804497882
01-30,0.0,0.0,0.0,-11.105952484199108,0.0,59.51417239134671,33.33333333333333,0.0,0.0,2.0,5.0,9.082394804497882
