,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.0625,0.1875,0.28515625,0.265625,0.0234375,0.15625,-0.046875,-0.234375,0.8125,0.96875,-2.234375,2.9149999618530273,0.39500045776366477,-2.545000076293949,1.8799991607666016,0.5699996948242223,-0.7949981689453054,1.3999977111816406,1.989999771118164,-4.369998931884769,-0.9899997711181641,0.010000228881835938,1.6700000762939347,3.5800018310546946,-2.759998321533196,3.7300033569335938,-11.879997253417976,4.7700042724609375,5.309997558593736,9.19000244140625,4.569999694824219,21.0,10.0,02-16,0.6051970143471987
01-03,-0.05859375,0.1875,0.28125,0.2109375,0.046875,0.21875,-0.109375,-0.25,1.203125,0.796875,-2.4375,0.8524999618530273,0.9549999237060511,-1.3299999237060582,1.664999008178711,0.620000839233402,-0.5149993896484375,1.3999977111816406,2.409999847412106,-4.429998397827148,-1.0,0.42000007629394176,1.9099998474121094,3.920001983642578,-2.270000457763672,6.1100006103515625,-10.409996032714844,5.9600067138671875,4.910003662109375,10.290000915527344,5.430000305175781,21.0,10.0,02-17,0.8705600307833761
01-04,-0.0625,0.1875,0.25,0.1484375,0.0,0.296875,-0.140625,0.046875,1.1796875,0.921875,-2.25,0.6962499618530273,0.5799999237060511,-1.245000839233402,1.914999008178711,1.3799991607666016,-0.09999847412110086,1.2599983215332031,3.090000152587894,-5.159999847412109,-0.4200000762939453,1.2300014495849574,0.9600009918212926,4.189998626708984,-1.6199989318847656,5.970001220703125,-7.849998474121094,5.100006103515625,4.190002441406264,7.589996337890611,4.4199981689453125,21.0,10.0,02-18,0.8630445234237175
01-05,-0.06640625,0.18359375,0.265625,0.1328125,0.1015625,0.296875,0.25,0.078125,1.1171875,0.703125,-2.234375,1.1493749618530273,0.8349990844726598,-0.7700004577636719,2.1999988555908168,1.619998931884762,0.2849998474121165,1.6499977111816406,2.4399986267089915,-5.889999389648434,0.12999916076660512,1.1100006103515625,1.0599994659423828,4.810001373291023,-0.979999542236321,6.3899993896484375,-7.44000244140625,5.840003967285156,2.190002441406264,5.860000610351577,5.069999694824219,25.0,6.0,02-19,0.9157257387715021
01-06,-0.078125,0.20703125,0.25390625,0.171875,0.2109375,0.328125,0.484375,0.171875,1.1875,0.359375,-2.203125,1.8787498474121094,0.5749988555908239,-0.4200000762939453,1.0850009918212855,1.5299987792968714,0.6700019836425852,2.180000305175785,2.219999313354492,-6.069999694824219,0.0699996948242223,1.6600017547607422,1.0900001525878906,4.3800010681152415,-1.3299980163574219,6.289993286132798,-5.94000244140625,5.9600067138671875,2.8000030517578267,8.58999633789061,2.8800048828125,25.0,6.0,02-20,1.006209896456811
01-07,-0.0859375,0.19921875,0.2265625,0.1328125,0.15625,0.203125,0.40625,-0.015625,1.3125,-0.03125,-2.5,1.78125,0.25,-0.9750003814697266,1.0850009918212855,1.4249992370605504,0.779998779296875,1.5699996948242223,2.029998779296882,-5.239999771118164,-0.5900001525878906,1.8000011444091797,1.2099990844726562,4.650001525878913,-1.8400001525878835,4.319999694824219,-4.069999694824219,5.25,2.599998474121108,9.409996032714858,3.8100051879882812,22.0,9.0,02-21,0.9438759588426177
01-08,-0.10546875,0.16796875,0.26171875,0.1875,-0.09375,0.1875,0.3125,0.03125,1.3828125,0.171875,-3.21875,2.231249809265135,0.8199996948242223,-1.0849990844726562,1.8050003051757777,0.6450004577636612,0.5949974060058523,2.0299987792968786,2.7899990081787145,-5.060001373291016,-0.4400005340576172,1.8299999237060547,1.5799999237060511,3.8600006103515625,-2.009998321533203,2.8799972534179688,-3.159996032714858,5.6699981689453125,1.94000244140625,8.03000640869142,1.9100036621093608,23.0,8.0,02-22,0.843432734089512
01-09,-0.11328125,0.17578125,0.25,0.1875,-0.125,0.078125,0.296875,-0.078125,1.484375,0.953125,-2.96875,1.4525003433227557,1.3549995422363281,-1.7099990844726562,2.264999389648441,0.4549999237060547,0.2350006103515625,1.8599987030029297,2.649999618530277,-4.2100009918212855,-0.2600002288818395,1.989999771118164,1.6599998474121094,3.759998321533203,-2.2099990844726562,3.9599990844726562,-4.160003662109389,6.180000305175781,0.7899932861328267,8.6300048828125,1.3899993896484375,22.0,9.0,02-23,0.8459069344305226
01-10,-0.1015625,0.1796875,0.265625,0.203125,0.140625,0.078125,0.25,-0.453125,1.5390625,1.296875,-3.078125,0.9837503433227557,1.3400001525878906,-1.75,3.435001373291005,-0.15500068664550426,0.02499771118164773,1.2599983215332031,2.5299987792968786,-4.369999885559084,-0.3199996948242223,1.6800003051757777,0.5200004577636683,3.0900001525878906,-3.020000457763672,5.709999084472642,-3.2099990844726705,5.590003967285156,1.1699981689453125,9.680000305175781,5.569999694824219,22.0,9.0,02-24,0.9702923067154411
01-11,-0.06640625,0.18359375,0.203125,0.1796875,0.109375,-0.15625,0.234375,-0.28125,1.8828125,0.828125,-2.765625,1.0931253433227557,1.7399997711181605,-1.0149993896484375,2.5799999237060547,0.15999984741210582,-0.43000030517578125,0.6800003051757741,2.9200000762939418,-5.1399993896484375,-0.5799999237060547,1.340000152587887,0.4200000762939382,1.839996337890625,-1.5999984741210866,5.880004882812486,-4.779998779296889,5.540000915527344,-0.40000152587889204,8.219993591308608,4.259994506835966,20.0,11.0,02-25,0.7445058207358086
