,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,RYPPF,RYU Apparel Inc,0.09939999878406525,True,2011.0,,,,,,,,,,
1,RYOYF,Ryoyo Electro Corp,$8.76 ,True,,No data fetched for symbol RYOYF using YahooDailyReader,,,,,,,,,
2,RYKKY,Ryohin Keikaku Co Ltd,21.540000915527344,True,2015.0,,,,,,,,,,
3,RYKKF,Ryohin Keikaku Co Ltd,20.850000381469727,True,2013.0,,,,,,,,,,
4,RYOTF,Ryoden Corp,$6.37 ,True,,No data fetched for symbol RYOTF using YahooDailyReader,,,,,,,,,
5,RYBIF,Ryobi Ltd,11.0600004196167,True,2013.0,,,,,,,,,,
6,RHP,Ryman Hospitality Properties Inc,58.68000030517578,False,2009.0,,10-27,01-10,7.0,7.0,4.0,4.0,10-24,01-07,8.493552742594202
7,RYHTY,Ryman Healthcare Ltd,50.560001373291016,True,2013.0,,,,,,,,,,
8,RHCGF,Ryman Healthcare Ltd,7.599999904632568,True,2013.0,,,,,,,,,,
9,RYI,Ryerson Holding Corp,11.119999885559082,True,2014.0,,,,,,,,,,
10,RPMGF,Rye Patch Gold Corp,$0.83 ,True,,No data fetched for symbol RPMGF using YahooDailyReader,,,,,,,,,
11,R,Ryder System Inc,56.79999923706055,False,2009.0,,10-13,12-27,6.0,6.0,5.0,5.0,10-13,12-27,5.351937393399312
12,RYB,RYB Education Inc,2.700000047683716,True,2017.0,,,,,,,,,,
13,RYAOF,Ryanair Holdings PLC,14.199999809265137,True,2016.0,,,,,,,,,,
14,RYAAY,Ryanair Holdings PLC,104.0,False,2009.0,,11-02,01-16,7.0,7.0,4.0,4.0,11-02,01-16,5.724735599996531
15,RWSHF,RWS Holdings PLC,$2.00 ,True,,No data fetched for symbol RWSHF using YahooDailyReader,,,,,,,,,
16,RWNFF,RWE AG,40.0099983215332,True,2011.0,,,,,,,,,,
17,RWNEF,RWE AG,$25.35 ,True,,No data fetched for symbol RWNEF using YahooDailyReader,,,,,,,,,
18,RWEOY,RWE AG,40.40999984741211,False,2009.0,,03-13,05-27,6.0,6.0,5.0,5.0,06-29,09-12,1.3459582192691761
19,RWCI,RWC Inc,3.0,True,2012.0,,,,,,,,,,
20,RVUE,RVUE Holdings Inc,$0.01 ,True,,'Date',,,,,,,,,
21,RUTH,Ruth's Hospitality Group Inc,14.529999732971191,False,2009.0,,02-09,04-24,9.0,9.0,2.0,2.0,02-09,04-24,2.8703623117274666
22,RUSMF,Russel Metals Inc,15.649999618530273,False,2010.0,,07-09,09-22,6.0,5.0,4.0,5.0,12-11,02-24,6.398039404702304
23,RUSPF,RusPetro PLC,$0.26 ,True,,No data fetched for symbol RUSPF using YahooDailyReader,,,,,,,,,
24,RMLFF,Rusoro Mining Ltd,0.036400001496076584,False,2010.0,,08-10,10-24,3.0,3.0,4.0,4.0,08-10,10-24,23.72926738732303
25,RSHYY,RusHydro PJSC,0.9300000071525574,True,2011.0,,,,,,,,,,
26,REXEF,Rush Exploration Inc,$20.00 ,True,,No data fetched for symbol REXEF using YahooDailyReader,,,,,,,,,
27,RUSHB,Rush Enterprises Inc,34.119998931884766,False,2009.0,,10-18,01-01,4.0,4.0,7.0,7.0,10-18,01-01,7.846176991365068
28,RUSHA,Rush Enterprises Inc,37.33000183105469,False,2009.0,,08-26,11-09,6.0,6.0,5.0,5.0,08-26,11-09,6.764745825048911
29,RUSFF,RusForest AB,$0.16 ,True,,No data fetched for symbol RUSFF using YahooDailyReader,,,,,,,,,
30,RFNDF,Rural Funds Group,1.690000057220459,True,2017.0,,,,,,,,,,
31,RUPRF,Rupert Resources Ltd,3.930000066757202,True,2013.0,,,,,,,,,,
32,RFXRF,Running Fox Resource Corp,0.016589999198913574,True,2012.0,,,,,,,,,,
33,RUMOF,Rumo SA,3.452209949493408,True,2015.0,,,,,,,,,,
34,RMBL,RumbleON Inc,34.650001525878906,True,2017.0,,,,,,,,,,
35,RCMGF,Ruicheng (China) Media Group Ltd,0.028999999165534973,True,2020.0,,,,,,,,,,
36,RUHN,Ruhnn Holding Ltd,2.509999990463257,True,2019.0,,,,,,,,,,
37,RBMNF,Rugby Mining Ltd,0.07100000232458115,True,2013.0,,,,,,,,,,
38,RKUS,Ruckus Wireless Inc,$12.87 ,True,,'Date',,,,,,,,,
39,RT,Ruby Tuesday Inc,59989.6015625,True,2018.0,,,,,,,,,,
40,RUBY,Rubius Therapeutics Inc,5.25,True,2018.0,,,,,,,,,,
41,RUBSF,Rubis SCA,34.599998474121094,True,2014.0,,,,,,,,,,
42,RBSFY,Rubis SCA,7.559999942779541,True,2014.0,,,,,,,,,,
43,RBCN,Rubicon Technology Inc,8.800000190734863,False,2009.0,,05-07,07-21,4.0,4.0,7.0,7.0,05-07,07-21,0.038456681197316184
44,ROMJF,Rubicon Organics Inc,2.8499999046325684,True,2018.0,,,,,,,,,,
45,RBCF,Rubicon Financial Inc,$0.03 ,True,,'Date',,,,,,,,,
46,RUBR,Rubber Research Elastomerics Inc,$0.01 ,True,,'Date',,,,,,,,,
47,RTWIQ,RTW Retailwinds Inc,0.033900000154972076,False,2009.0,,02-01,04-16,6.0,6.0,5.0,5.0,02-01,04-16,8.370125050458492
48,RTSO,RTS Oil Holdings Inc,0.550000011920929,True,2012.0,,,,,,,,,,
49,RGLXY,RTL Group SA,4.150000095367432,True,2013.0,,,,,,,,,,
50,RGLXF,RTL Group SA,39.79999923706055,True,2014.0,,,,,,,,,,
51,RTGGF,RTG Mining Inc,0.08160000294446945,True,2019.0,,,,,,,,,,
52,RTTGF,RTG Mining Inc,0.0430000014603138,True,2013.0,,,,,,,,,,
53,RTMFF,RT Minerals Corp,0.12430000305175781,True,2013.0,,,,,,,,,,
54,RSPP,RSP Permian Inc,47.83000183105469,True,2014.0,,,,,,,,,,
55,RSYFF,RSI International Systems Inc,0.03590000048279762,True,2019.0,,,,,,,,,,
56,RSNAY,RSA Insurance Group PLC,8.876999855041504,True,2011.0,,,,,,,,,,
57,RSAIF,RSA Insurance Group PLC,9.050000190734863,True,2012.0,,,,,,,,,,
58,RSHCQ,RS Legacy Corp,$0.02 ,True,,'Date',,,,,,,,,
59,RRM,RR Media Ltd,$13.05 ,True,,'Date',,,,,,,,,
60,RPXC,RPX Corp,10.479999542236328,True,2012.0,,,,,,,,,,
61,RPT,RPT Realty,6.879899978637695,False,2009.0,,10-06,12-20,7.0,7.0,4.0,4.0,10-04,12-18,7.955135364535388
62,RPSGF,RPS Group PLC,0.6299999952316284,True,2015.0,,,,,,,,,,
63,RPM,RPM International Inc,88.86000061035156,False,2009.0,,10-05,12-19,6.0,6.0,5.0,5.0,10-15,12-29,7.447594855022875
64,RPHL,RPHL Acquisition Corp,$0.01 ,True,,'Date',,,,,,,,,
65,RES,RPC Inc,3.0450000762939453,False,2009.0,,10-25,01-08,6.0,6.0,5.0,5.0,10-25,01-08,4.0723359735459805
66,RPCGY,RPC Group PLC,$19.55 ,True,,No data fetched for symbol RPCGY using YahooDailyReader,,,,,,,,,
67,RPCGF,RPC Group PLC,$10.40 ,True,,No data fetched for symbol RPCGF using YahooDailyReader,,,,,,,,,
68,RVT,Royce Value Trust Inc,14.9399995803833,False,2009.0,,10-14,12-28,9.0,6.0,2.0,5.0,12-13,02-26,5.370911011339165
69,RMT,Royce Micro-Cap Trust Inc,9.024999618530273,False,2009.0,,02-01,04-16,7.0,5.0,4.0,6.0,12-13,02-26,4.547565590659186
70,RGT,Royce Global Value Trust Inc,14.114999771118164,True,2013.0,,,,,,,,,,
71,RPRX,Royalty Pharma PLC,41.68000030517578,True,2020.0,,,,,,,,,,
72,RYTTF,Royalty North Partners Ltd,0.2801400125026703,True,2017.0,,,,,,,,,,
73,ROGP,Royale Globe Holding Inc,$1.00 ,True,,'Date',,,,,,,,,
74,ROYL,Royale Energy Inc,0.09000000357627869,False,2009.0,,03-03,05-17,6.0,6.0,5.0,5.0,03-03,05-17,-13.112098392165143
